[00:00:00,000 -> 00:00:01,679] 說句敏感的話題
[00:13:41,039 -> 00:13:42,919] 这个是不可避免的事情
[00:13:42,919 -> 00:13:45,240] 因为亚洲还是离美国远
[00:13:45,240 -> 00:13:48,240] 你虽然在亚太地区有支点
[00:13:48,240 -> 00:13:50,320] 关岛 峡北以西
[00:13:50,320 -> 00:13:51,919] 但你的本土地区是在美洲
[00:13:51,919 -> 00:13:53,120] 在西半球
[00:13:53,120 -> 00:13:57,480] 但是这个东西就是一个老的帝国不愿意退位的一个问题
[00:13:57,480 -> 00:14:00,279] 这个当然就是美国的战略界它是无法接受的
[00:14:00,279 -> 00:14:02,639] 这是一个美国战略界的问题
[00:14:02,639 -> 00:14:03,759] 这是一个客观现实
[00:14:03,759 -> 00:14:04,960] 权力转换的过程中
[00:14:04,960 -> 00:14:06,120] 权力转移理论就确实会产生摩擦点和战略界的问题这是一个客观现实权力转换的过程中权力转移理论
[00:14:06,120 -> 00:14:09,120] 就确实会产生摩擦点和战略冲突点
[00:14:09,120 -> 00:14:10,320] 这个是不可避免的
[00:14:10,320 -> 00:14:10,799] 当然了
[00:14:10,799 -> 00:14:12,600] 你刚刚提到了一个美国战略界
[00:14:12,600 -> 00:14:14,000] 我稍微插一下打断一下
[00:14:14,000 -> 00:14:15,120] 我得在这插一下
[00:14:15,120 -> 00:14:16,879] 因为你说没有戴琪论
[00:14:16,879 -> 00:14:18,919] 然后你觉得美国国内政治更重要
[00:14:18,919 -> 00:14:20,279] 但是又有一个美国战略界
[00:14:20,279 -> 00:14:21,519] 这个美国战略界是什么样的
[00:14:21,519 -> 00:14:23,639] 所谓的Foreign Policy Establishment
[00:14:23,639 -> 00:14:26,000] 就是外交建制派就是因为美国的外交政策什么样的所谓的Foreign Policy Establishment就是这个外交建制派
[00:14:26,000 -> 00:14:29,000] 就是因为美国的外交政策是一个非常精英化的这么一个
[00:14:29,000 -> 00:14:32,000] 所以他这个事情其实说起来很长啊
[00:14:32,000 -> 00:14:35,000] 就是美国人美国的外交精英觉得就是让
[00:14:35,000 -> 00:14:36,000] 他们在下棋吗
[00:14:36,000 -> 00:14:37,000] 不是在下棋
[00:14:37,000 -> 00:14:38,000] 就是把美国民众踢开
[00:14:38,000 -> 00:14:40,000] 就是不让他们管这个外交政策
[00:14:40,000 -> 00:14:42,000] 就是这个所谓一个精英政策
[00:14:42,000 -> 00:14:44,000] 就是这个从腾校毕业的
[00:14:44,000 -> 00:14:46,600] 然后在华盛顿混的这些人就这么一个所谓的精英政策就是這個從騰訊畢業的然後在華盛頓混的這些人
[00:14:46,600 -> 00:14:49,480] 就這麼一個所謂的精英輸送管道
[00:14:49,480 -> 00:14:52,360] 就是一個外交是一個非常專業的話題
[00:14:52,360 -> 00:14:54,399] 安全問題也是一個非常專業的話題
[00:14:54,399 -> 00:14:55,799] 這個你要這個民眾通過
[00:14:55,799 -> 00:14:58,679] 就為什麼讓這個公投來決定很多這些國家大事
[00:14:58,679 -> 00:14:59,480] 是一個不太好的選擇
[00:14:59,480 -> 00:15:00,279] 但是這樣子的話
[00:15:00,279 -> 00:15:01,879] 其實和你那個大棋論
[00:15:01,879 -> 00:15:04,919] 然後和第三點就是美國民眾關注於內政
[00:15:04,919 -> 00:15:06,159] 遠大於外交以及中國人能感受到你那个大棋论然后和第三点就是美国民众关注于内政远大于外交
[00:15:06,159 -> 00:15:08,759] 以及中国人能感受到的美国大棋
[00:15:08,759 -> 00:15:12,120] 和美国对中国的一些设计是不矛盾的了
[00:15:12,120 -> 00:15:14,720] 就是因为这些东西是一小部分
[00:15:14,720 -> 00:15:16,159] 非民选团员
[00:15:16,159 -> 00:15:17,279] 他们本身也没有大棋
[00:15:17,279 -> 00:15:19,759] 他们只是有一套这个自己相信的理论
[00:15:19,759 -> 00:15:21,480] 就是美国霸权
[00:15:21,480 -> 00:15:22,240] 这个全球霸权
[00:15:22,240 -> 00:15:23,080] 当然这有很多人啊
[00:15:23,080 -> 00:15:24,159] 这个有很多流派啊
[00:15:24,159 -> 00:15:25,399] 对什么建构派所谓的这个美国的单极霸权对于很多人美国有很多人啊有很多流派啊建構派
[00:15:25,399 -> 00:15:27,039] 所謂的美國的單極霸權
[00:15:27,039 -> 00:15:27,759] 對於很多人
[00:15:27,759 -> 00:15:30,279] 美國這個所謂的外交界是非常重要
[00:15:30,279 -> 00:15:32,799] 那麼就是維持美國的這個所謂的
[00:15:32,799 -> 00:15:35,000] 民主界自由世界領袖這麼一個地位
[00:15:35,000 -> 00:15:36,600] 這些人對參議員
[00:15:36,600 -> 00:15:38,799] 參議員和眾議員的控制多嗎
[00:15:38,799 -> 00:15:39,879] 這些人沒有控制
[00:15:39,879 -> 00:15:41,720] 他們是具體做事
[00:15:41,720 -> 00:15:43,919] 他們是具體做事
[00:15:43,919 -> 00:15:46,000] 還是他們是propose
[00:15:46,000 -> 00:15:48,000] 最後做了決定是
[00:15:48,000 -> 00:15:50,000] 因為外交政策不是國會管
[00:15:50,000 -> 00:15:54,000] 國會的外交政策其實非常有限
[00:15:54,000 -> 00:15:56,000] 它其實有一定的引導作用
[00:15:56,000 -> 00:15:58,000] 主要外交政策是由行政機構
[00:15:58,000 -> 00:16:00,000] 國務院和相關的機構來做
[00:16:00,000 -> 00:16:04,000] 所以這些人其實才是實際的政策操盤者
[00:16:04,000 -> 00:16:06,000] 說去敏感的話題
[00:16:06,000 -> 00:16:08,000] 未來如果會不會爆發戰爭
[00:16:08,000 -> 00:16:10,000] 是由這些人決定嗎
[00:16:10,000 -> 00:16:12,000] 那戰爭前先前在總統那
[00:16:12,000 -> 00:16:16,000] 但是當有這種衝突的時候
[00:16:16,000 -> 00:16:17,000] 要不要進行干預
[00:16:17,000 -> 00:16:19,000] 這些人的話語權大嗎
[00:16:19,000 -> 00:16:20,000] 我還是想知道
[00:16:20,000 -> 00:16:22,000] 誰在具體的
[00:16:22,000 -> 00:16:25,519] 我們面對的對手是谁对手
[00:16:26,799 -> 00:16:29,120] 就是当届政府的国务卿
[00:16:29,120 -> 00:16:30,200] 国家安全顾问
[00:16:30,200 -> 00:16:30,759] 总统
[00:16:31,960 -> 00:16:33,440] 就是非常简单的这些人
[00:16:33,559 -> 00:16:34,879] 他们类型的比较
[00:16:34,879 -> 00:16:37,200] 主要这些人反正就是自己做事务的这些人
[00:16:37,519 -> 00:16:39,279] 比如说在一些具体政策执行上
[00:16:39,279 -> 00:16:40,240] 他们会影响
[00:16:40,240 -> 00:16:41,759] 他们的思想就是比较惯性的
[00:16:41,759 -> 00:16:43,279] 他们一个思路
[00:16:43,279 -> 00:16:44,120] 可不可以这样说
[00:16:44,120 -> 00:16:47,720] 就是我们面对的对手是国务卿和这套班子
[00:16:47,720 -> 00:16:51,879] 然后这套班子里边有一部分人是来自于这些建制派
[00:16:51,879 -> 00:16:54,519] 现在国务卿就是一个典型的外交建制派
[00:16:54,519 -> 00:16:55,919] OK
[00:16:55,919 -> 00:17:01,000] 这是一个更多像一个帮派或者说是一种
[00:17:01,000 -> 00:17:02,600] 就是一种宗法宗派
[00:17:02,600 -> 00:17:03,519] 宗法
[00:17:03,519 -> 00:17:04,839] 就是一种外交宗法
[00:17:04,839 -> 00:17:06,000] 外交宗法外交宗法 对
[00:17:06,000 -> 00:17:07,200] 然后 OK
[00:17:07,200 -> 00:17:08,319] 它会有影响力
[00:17:08,319 -> 00:17:09,440] 但是这个影响力是软的
[00:17:09,440 -> 00:17:10,640] 而不是硬的
[00:17:10,640 -> 00:17:13,160] 最终拍板还是要靠行政机构的人
[00:17:13,160 -> 00:17:14,720] 最终说不明白
[00:17:14,720 -> 00:17:16,200] 因为外交这个事情
[00:17:16,200 -> 00:17:17,960] 其实主要是以总统为主导
[00:17:17,960 -> 00:17:19,480] 总统的个人意愿
[00:17:19,480 -> 00:17:20,440] 其实占了很大的作用
[00:17:20,440 -> 00:17:21,920] 当然我们也可以看到
[00:17:21,920 -> 00:17:23,119] 拜登政府跟特朗普政府的
[00:17:23,119 -> 00:17:24,079] 外交政策延续
[00:17:24,079 -> 00:17:24,720] 我们看出来
[00:17:24,720 -> 00:17:26,160] 外交政策确实有延续性
[00:17:26,160 -> 00:17:28,960] 这个就是惯性问题 很多很多
[00:17:28,960 -> 00:17:32,000] 但是总统个人的政治意愿是非常大的
[00:17:32,000 -> 00:17:35,759] 1972年尼克松决定中美关系正常化
[00:17:35,759 -> 00:17:37,359] 这是尼克松一个人拍的吧
[00:17:37,359 -> 00:17:39,359] 国会他的农友肯定是不同意的
[00:17:39,359 -> 00:17:42,319] 他的党内可能也有类似的反对声音
[00:17:42,319 -> 00:17:46,000] 但这种大的战略操盘肯定是领袖级别的这个
[00:17:46,000 -> 00:17:49,000] 好的好行
[00:17:49,000 -> 00:17:51,500] 然后那你觉得还有没有什么就是
[00:17:51,500 -> 00:17:53,500] 就是我觉得我们还是回归主题吧
[00:17:53,500 -> 00:17:56,700] 就是对就是怎么样提高或者说这个判断力
[00:17:56,700 -> 00:17:59,200] 其实我觉得阅读V100歌是一个非常好的习惯
