[00:00:00,000 -> 00:00:02,080] 不认为短剧是一个影视行业
[00:14:30,500 -> 00:14:35,700] 这个你感觉拍电影 OK 目光之城是很漂亮 但是没人看
[00:14:35,700 -> 00:14:44,100] 然后狼人就是属于这种你可以拍这个打打杀杀甚至是18禁的这种内容可以拍很多
[00:14:44,100 -> 00:14:47,500] 然后最后发现在网文里面大家就喜欢看狼人
[00:14:47,500 -> 00:14:48,299] 然后他们就好
[00:14:48,299 -> 00:14:53,799] 那我们就拍这个at least狼人和吸血鬼要混合的大大会
[00:14:53,799 -> 00:14:55,100] 然后很多拍狼人那种
[00:14:55,100 -> 00:14:57,399] 所以他们那种内容的成功
[00:14:57,399 -> 00:15:01,399] 其实是从上一个时代这个网文里面积累出来的经验
[00:15:01,399 -> 00:15:05,000] 就是要对观众的感觉必须要不断的说出来
[00:15:05,000 -> 00:15:08,840] 我到现在发一个视频 我觉得会火
[00:15:08,840 -> 00:15:11,399] 然后我就知道为什么的
[00:15:11,399 -> 00:15:14,639] 大凯奇有一个大数据了
[00:15:14,639 -> 00:15:19,039] 中国的短距出海 我们觉得未来肯定能做
[00:15:19,039 -> 00:15:22,120] 所以现在你看越来越多的国内的短距平台
[00:15:22,120 -> 00:15:24,320] 短距的企业也开始做出海
[00:15:24,320 -> 00:15:26,399] 当然成本现在也越来越多的国内的短距平台 短距的企业也开始做出海当然成本现在也越来越往上走
[00:15:26,399 -> 00:15:30,240] 然后整个行业现在也在如画如图也开始卷了
[00:15:30,240 -> 00:15:35,200] 所以你想在信息流的这样的一种流量的整合下面
[00:15:35,200 -> 00:15:38,480] 然后又把合适的边线方式给做上去
[00:15:38,480 -> 00:15:40,320] 让海外只要有合适的平台
[00:15:40,320 -> 00:15:44,879] 因为海外有一个缺点是说没有像微信这样子这么集中的一个平台
[00:15:44,879 -> 00:15:49,200] 在国内微信你只要放到里面微信小程序很容易引流
[00:15:49,200 -> 00:15:52,480] 对 大家的支付非常方便 对吧
[00:15:52,480 -> 00:15:54,799] 但是你在海外的话你real shout自己搭
[00:15:54,799 -> 00:15:57,039] 对吧 肯定是一个做infra的好机会
[00:15:57,039 -> 00:15:59,279] 如果说有同学有这个兴趣的话
[00:15:59,279 -> 00:16:03,200] 没错 其实跟短距相关的AI是一个大家可以多去关注的
[00:16:03,200 -> 00:16:04,399] 在这个生态里
[00:16:04,399 -> 00:16:07,360] 对啊 这个本来就是AIGC最好的
[00:16:07,360 -> 00:16:10,559] 对对对 对于质量的要求没有那么高
[00:16:10,559 -> 00:16:14,600] 然后它对于成本的要求其实是一个很重要的
[00:16:14,600 -> 00:16:16,840] 然后它又需要批量化制作的能力
[00:16:16,840 -> 00:16:18,679] 其实这个很适合AI来做
[00:16:18,679 -> 00:16:21,679] 就是你不知道你火的是什么
[00:16:21,679 -> 00:16:23,519] 花了大功夫去做的未必火
[00:16:23,519 -> 00:16:24,960] 但是随便你做
[00:16:24,960 -> 00:16:25,039] 其实另外还有一块很重要的其实就是刚才我们讲这个中间在线能做很强不知道你火的是什么花了大功夫去做的未必火但是谁都看不到
[00:16:25,039 -> 00:16:26,320] 另外还有一块很重要的
[00:16:26,320 -> 00:16:28,559] 其实就是刚才我们讲的中间在线
[00:16:28,559 -> 00:16:29,279] 他们做很强
[00:16:29,279 -> 00:16:32,679] 就是因为他们知道哪一些内容有效
[00:16:32,679 -> 00:16:33,799] 这个大家爱看
[00:16:33,799 -> 00:16:35,840] 其实AI在这个里面可以扮演很重要的角色
[00:16:35,840 -> 00:16:39,960] 就是帮助大家去找哪一些东西是需要的
[00:16:39,960 -> 00:16:41,039] 这个我们在抖音上刷
[00:16:41,039 -> 00:16:43,000] 经常刷出来这个范贤背诗
[00:16:43,000 -> 00:16:43,679] 对吧
[00:16:43,679 -> 00:16:46,799] 然后一些这种什么张无忌大展光明顶
[00:16:46,799 -> 00:16:49,840] 大家就爱看那么一段 别的我不想看
[00:16:49,840 -> 00:16:51,200] 短剧完全可以做到这一点
[00:16:51,200 -> 00:16:53,600] 那就是说我就是知道哪一个地方
[00:16:53,600 -> 00:16:56,399] 大家就是喜欢看这个电影 我就专门拍这些
[00:16:56,399 -> 00:16:59,039] 其他地方我都一笔带过 打打字幕都行
[00:16:59,039 -> 00:17:00,960] 我根本不拍
[00:17:00,960 -> 00:17:04,160] 传统的电视剧我是要基本上把这个整个事情来龙去脉
[00:17:04,160 -> 00:17:08,319] 有很多这种大家不想看的那种非高潮的那种戏
[00:17:08,319 -> 00:17:11,519] 我为了这个我要去拍整个一部剧
[00:17:11,519 -> 00:17:14,480] 但是短剧我完全可以说我就是拍那些高潮点
[00:17:14,480 -> 00:17:18,240] 我就不用去拍那些频不持续的东西
[00:17:18,240 -> 00:17:23,440] 哪一些是真正的大家爱看的这种剧情高潮
[00:17:23,440 -> 00:17:26,720] 这个时候你AI其实可以扮演一些角色
[00:17:26,720 -> 00:17:28,720] 我觉得在这里边能听到的机会
[00:17:28,720 -> 00:17:30,480] 比如说做这种infrastructure
[00:17:30,480 -> 00:17:30,799] 对吧
[00:17:30,799 -> 00:17:33,039] 游戏这种付费的东西
[00:17:33,039 -> 00:17:36,119] 就是有没有就是哪怕你不是自己做一个平台
[00:17:36,119 -> 00:17:39,279] 你有没有办法让看网剧的人能比较快的付费
[00:17:39,279 -> 00:17:42,359] 且把这个付费比较完整的给到那个作者
[00:17:42,359 -> 00:17:44,720] 对这就是一个很重要的东西
[00:17:44,720 -> 00:18:06,680] 然后包括游戏是跨平台的对吧对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对如果说有留学生觉得自己懂流量能玩抖音的话也可以去考虑拍拍短剧之类的
[00:18:06,680 -> 00:18:08,119] 对可以参与制作
[00:18:08,119 -> 00:18:14,119] 因为这个Creator Economy本身就是从这个内容的产生
[00:18:14,119 -> 00:18:15,519] 它这个基础逻辑是一样的
[00:18:15,519 -> 00:18:17,240] 不管是什么样的一种形式
[00:18:17,240 -> 00:18:19,160] 内容的制作
[00:18:19,160 -> 00:18:20,880] 然后内容的分发
[00:18:20,880 -> 00:18:22,720] 最后的内容的变现
[00:18:22,720 -> 00:18:24,799] 这几个环节是比较明确的
[00:18:24,799 -> 00:18:26,000] 那你就看你在哪一个环节里面
[00:18:26,000 -> 00:18:29,000] 有什么样的一些服务和工具
[00:18:29,000 -> 00:18:32,000] 你能够参与到整个流程里面来
[00:18:32,000 -> 00:18:36,000] 大家对审美或者说对内容有追求
[00:18:36,000 -> 00:18:37,000] 这是很棒的
[00:18:37,000 -> 00:18:39,000] 但是懂人性也很有意思
[00:18:39,000 -> 00:18:41,000] 如果你能玩好人性
[00:18:41,000 -> 00:18:43,000] 然后做出来一些有意思的短剧
[00:18:43,000 -> 00:18:45,000] 大家真的是爆款
[00:18:45,000 -> 00:18:46,000] 能赚很多钱
