[00:00:00,000 -> 00:00:03,560] Hello 大家好 欢迎回到课代表聊数据的第11期
[00:12:40,639 -> 00:12:40,919] 对吧
[00:12:40,919 -> 00:12:43,039] 你很多时候你1% 2%
[00:12:43,039 -> 00:12:43,840] 进去的人
[00:12:43,840 -> 00:12:45,159] 他可能他的top line matrix能涨个10%但是你这10%乘以1%你就最后只很多时候你这个1% 2%进去的人他可能他的top line matrix
[00:12:45,159 -> 00:12:46,279] 能涨个10%
[00:12:46,279 -> 00:12:47,879] 但是你这10%乘以1%
[00:12:47,879 -> 00:12:49,360] 你就最后只剩0.1%了
[00:12:49,360 -> 00:12:50,320] 然后你最后说
[00:12:50,320 -> 00:12:52,399] 哎我的这个top line matrix涨了3%
[00:12:52,399 -> 00:12:54,120] 那肯定不是你因为你的feature涨的
[00:12:54,120 -> 00:12:56,240] 那肯定是因为要么是你的这个
[00:12:56,240 -> 00:12:56,639] bias
[00:12:56,639 -> 00:12:57,840] 要么是一些什么乱七八糟
[00:12:57,840 -> 00:12:59,039] 其他东西就是
[00:12:59,039 -> 00:13:02,120] 所以说就是这句话的重点就是
[00:13:02,120 -> 00:13:04,000] 你不要一上来就看top line matrix
[00:13:04,000 -> 00:13:06,360] 而是要先关注adoption和retention
[00:13:06,360 -> 00:13:06,639] 好的
[00:13:06,639 -> 00:13:08,440] 那我这稍稍总结一下
[00:13:08,440 -> 00:13:11,879] 就是你在做一个新feature的时候
[00:13:11,879 -> 00:13:13,039] 你要关注四步
[00:13:13,039 -> 00:13:15,440] 一个是有多少人eligible可以看到你
[00:13:15,440 -> 00:13:17,000] 有多少人真正看到你
[00:13:17,000 -> 00:13:18,240] 有多少人点击了你
[00:13:18,240 -> 00:13:20,159] 进入到你想要去的surface
[00:13:20,159 -> 00:13:22,240] 有多少人完成了你想要他的步骤
[00:13:22,240 -> 00:13:24,440] 就是完成了新功能的使用
[00:13:24,440 -> 00:13:26,679] 第二点就是不要盲目乐观
[00:13:26,679 -> 00:13:29,480] 去从1%开始有性用你的feature adoption
[00:13:29,480 -> 00:13:31,080] 第三不要流量依赖
[00:13:31,080 -> 00:13:32,440] 要用诚实的方法
[00:13:32,440 -> 00:13:35,000] 去把你的feature adoption和retention做上去
[00:13:35,000 -> 00:13:37,080] 而不是要去搞流量
[00:13:37,080 -> 00:13:38,679] 这样的话非常有害
[00:13:38,679 -> 00:13:41,639] 第四点就是不要一上来就去看top line metrics
[00:13:41,639 -> 00:13:44,679] 而是应该去看feature adoption和retention
[00:13:44,679 -> 00:13:45,759] 在那之前都是扯的
[00:13:45,759 -> 00:13:46,080] 好的
[00:13:46,080 -> 00:13:49,200] 那这期我们的Adoption就讲到这里
[00:13:49,200 -> 00:13:51,639] 我们下期再去详细的讲一下Retention
[00:13:51,639 -> 00:13:52,759] 我感谢大家
[00:13:52,759 -> 00:13:53,679] 我们下期再见
