[00:00:00,000 -> 00:00:02,000] 坐坐坐 你这边没事的
[00:14:36,240 -> 00:14:38,159] 很多其他餐馆来找我做网站
[00:14:38,159 -> 00:14:39,519] 但是我没有时间帮他们做
[00:14:39,519 -> 00:14:41,600] 我就做了视频教他们怎么做
[00:14:41,600 -> 00:14:43,279] 那是我频道的前三个视频
[00:14:43,279 -> 00:14:44,960] 就为这个而开的频道
[00:14:44,960 -> 00:14:45,000] 包括我之前和前女友在纽约开拉面店做了视频教他们怎么做那是我频道的前三个视频就为这个而开的频道
[00:14:45,000 -> 00:14:48,399] 包括我之前和金总在纽约开拉面店
[00:14:48,399 -> 00:14:50,899] 开了四家日本拉面的摊
[00:14:50,899 -> 00:14:53,200] 这还算是挺有缘分
[00:14:53,200 -> 00:14:55,200] 跟餐饮的缘分
[00:14:55,200 -> 00:14:57,200] 但是还有一个就是觉得
[00:14:57,200 -> 00:15:01,200] 自己开一家店会很适合我的性格
[00:15:01,200 -> 00:15:04,200] 我的八字就是属于比肩很多
[00:15:04,200 -> 00:15:06,840] 就是同辈朋友会特别多
[00:15:08,039 -> 00:15:09,000] 有时候是好事
[00:15:09,000 -> 00:15:10,120] 有时候可能也是坏事
[00:15:10,120 -> 00:15:11,840] 但是不管怎么样
[00:15:11,840 -> 00:15:14,679] 就是开一个店就感觉可以
[00:15:14,679 -> 00:15:16,759] 就是遇到有意思的人啊
[00:15:16,759 -> 00:15:19,519] 有一个那个给大家链接的地方啊这样子
[00:15:21,000 -> 00:15:21,840] 但是现在感觉
[00:15:21,840 -> 00:15:25,779] 在这碰到很多东北老乡
[00:15:25,779 -> 00:15:28,580] 然后那天他们有天两个哥们在路上吃饭
[00:15:28,580 -> 00:15:30,580] 然后说是那个西安二的
[00:15:30,580 -> 00:15:32,580] 然后一个喝着白酒
[00:15:32,580 -> 00:15:34,580] 然后就聊着聊着说
[00:15:34,580 -> 00:15:36,580] 我在旁边哪里哪里有个地方
[00:15:36,580 -> 00:15:38,580] 这个觉得挺好的
[00:15:38,580 -> 00:15:40,580] 你要不要来我们这儿
[00:15:40,580 -> 00:15:42,580] 我给你提供地方
[00:15:42,580 -> 00:15:44,580] 也不用你投我上手来干一口
[00:15:44,580 -> 00:15:45,000] 行大哥哈哈哈
[00:15:45,000 -> 00:15:48,200] 其实能碰到这种朋友非常好玩
[00:15:48,200 -> 00:15:51,120] 等再年纪再大一点吧
[00:15:51,120 -> 00:15:53,440] 现在还是专心去把工作做好
[00:15:53,440 -> 00:15:55,039] 过个一两年
[00:15:55,039 -> 00:15:57,279] 对
[00:15:57,279 -> 00:15:59,759] 觉得
[00:15:59,759 -> 00:16:01,639] 挺好的
[00:16:01,639 -> 00:16:02,399] 不错
[00:16:02,399 -> 00:16:03,480] 这是我自己的路
[00:16:03,480 -> 00:16:08,000] 其实每个人的选择都是最好的
