[00:00:00,000 -> 00:00:01,600] 从业咖啡有这么一个好事
[00:14:22,320 -> 00:14:23,039] 之前打过
[00:14:23,039 -> 00:14:24,159] 之前在国内也打过
[00:14:24,159 -> 00:14:25,799] 但是在美国打就完全不一样了对我觉得打比赛之前打过之前在国内也打过但是在美国打就完全不一样了
[00:14:25,799 -> 00:14:26,399] 对
[00:14:27,100 -> 00:14:29,799] 我觉得打比赛和开店又是两个大话题
[00:14:29,799 -> 00:14:30,200] 对
[00:14:30,600 -> 00:14:32,600] 开店的话可能
[00:14:34,200 -> 00:14:35,100] 其实怎么说呢
[00:14:35,100 -> 00:14:36,799] 其实你开店每天的运营
[00:14:37,299 -> 00:14:39,100] 也都能浓缩到比赛当中
[00:14:39,600 -> 00:14:40,899] 其实也都能浓缩到比赛当中
[00:14:40,899 -> 00:14:43,799] 因为比赛最终的目的还是要回归吧台的
[00:14:43,799 -> 00:14:45,440] 还是要回归到你的流程
[00:14:45,440 -> 00:14:47,679] 你的日常运营的
[00:14:47,679 -> 00:14:51,480] 只是说你在咖啡豆的选择上可能会有些不一样
[00:14:51,480 -> 00:14:54,440] 因为你的客人是评委
[00:14:54,440 -> 00:14:56,440] 他们会更加的专业一些
[00:14:56,440 -> 00:14:57,399] 你需要用更好
[00:14:57,399 -> 00:15:00,039] 更优质的咖啡去服务他们
[00:15:00,039 -> 00:15:03,360] 但是在其他的customer service上面其实是差不多的
[00:15:03,360 -> 00:15:06,399] 都是能够必须要保持一个高的专业度
[00:15:06,399 -> 00:15:06,600] 对
[00:15:06,600 -> 00:15:10,799] 因为你在美国消费可能咖啡的好坏
[00:15:10,799 -> 00:15:14,799] 就像你去看美国这家每家店的评价
[00:15:14,799 -> 00:15:18,799] 你会发现很少有客人会抱怨你的咖啡不好喝
[00:15:18,799 -> 00:15:23,500] 他大部分的差评一定是抱怨你的客服服务不好
[00:15:23,500 -> 00:15:24,799] 你的体验不好
[00:15:24,799 -> 00:15:27,000] 所以说我们在比赛过程中
[00:15:27,000 -> 00:15:31,200] 也有在你的客服服务
[00:15:31,200 -> 00:15:32,000] 你的hygiene
[00:15:32,000 -> 00:15:33,200] 就是你的卫生
[00:15:33,200 -> 00:15:34,200] 你的各方面这些东西
[00:15:34,200 -> 00:15:36,200] 其实都是有分数的体现的
[00:15:36,200 -> 00:15:39,399] 所以说比赛我觉得可能就是
[00:15:39,399 -> 00:15:44,000] 对于说我对于日常运营过程中的一个总结
[00:15:44,000 -> 00:15:44,799] 一个提炼
[00:15:44,799 -> 00:15:47,600] 去升华去打去比赛中再去
[00:15:47,600 -> 00:15:52,399] 让更加专业的角度去给我一个肯定或者说给我一个反馈
[00:15:52,399 -> 00:15:53,200] 嗯
[00:15:53,200 -> 00:15:54,799] 我是在深挖一下啊
[00:15:54,799 -> 00:15:56,799] 就是我觉得在做任何一个东西
[00:15:56,799 -> 00:15:59,000] 你做到前10%不太需要天赋
[00:15:59,000 -> 00:16:02,799] 也不太需要就是超出常人的努力
[00:16:02,799 -> 00:16:06,000] 你就是用心基本上都能做到前10%
[00:16:06,000 -> 00:16:07,840] 但是做到前1%就很难了
[00:16:07,840 -> 00:16:08,799] 但是做到冠军
[00:16:08,799 -> 00:16:11,919] 就像你说的天赋运气努力缺一不可
[00:16:11,919 -> 00:16:13,919] 对 我觉得更多的还是
[00:16:14,559 -> 00:16:16,360] 就我回过头看
[00:16:16,360 -> 00:16:17,960] 因为每个人可能
[00:16:21,480 -> 00:16:24,320] 可能每个人对自己的总结会不一样
[00:16:24,320 -> 00:16:26,159] 那我对我自己的总结是说
[00:16:26,159 -> 00:16:29,559] 我认为我能够一路走过来拿到这个冠军
[00:16:29,559 -> 00:16:31,320] 可能更多的是因为我觉得
[00:16:31,320 -> 00:16:34,720] 我对咖啡这件事情的热爱这个passion
[00:16:34,720 -> 00:16:36,639] 所以你每天花多长时间
[00:16:36,639 -> 00:16:37,840] 就是你过去十年吗
[00:16:37,840 -> 00:16:40,840] 你是具体的话
[00:16:40,840 -> 00:16:43,320] 你在这上面花的时间
[00:16:43,320 -> 00:16:45,240] 当然就是你不是你intensive
[00:16:45,240 -> 00:16:48,039] 就是你那么高强度的去为比赛训练
[00:16:48,039 -> 00:16:49,320] 如果是高强度的比赛训练
[00:16:49,320 -> 00:16:52,519] 可能每天花几个小时去训练比赛这件事
[00:16:52,519 -> 00:16:55,000] 但是你的对咖啡本身
[00:16:55,000 -> 00:16:57,679] 就是你在打工
[00:16:57,679 -> 00:16:58,799] 运营
[00:16:58,799 -> 00:17:01,879] 销售和这个学语言等等等等
[00:17:01,879 -> 00:17:03,360] 这些所有的事情之外
[00:17:03,360 -> 00:17:07,640] 你为把咖啡的技艺提高这件事情上
[00:17:08,039 -> 00:17:10,880] 你每天都在做吗?或者说是一直都在做吗?
[00:17:11,279 -> 00:17:14,079] 嗯,这对于我们当从业一段时间以后
[00:17:14,079 -> 00:17:17,880] 其实属于说时时刻刻都在做这件事情
[00:17:18,400 -> 00:17:19,839] 因为我们不管说
[00:17:20,079 -> 00:17:22,680] 我每天自己给自己冲一杯咖啡的时候
[00:17:23,039 -> 00:17:25,599] 其实我都会去关注数据
[00:17:25,599 -> 00:17:28,799] 都会去关注喝到的感受感官
[00:17:28,799 -> 00:17:31,200] 然后我都会潜移默化的告诉自己
[00:17:31,200 -> 00:17:33,680] 下次再冲这杯咖啡的时候
[00:17:33,680 -> 00:17:35,559] 我会去做出什么样的改变
[00:17:35,559 -> 00:17:38,039] 然后对这样的改变进行一个预判
[00:17:38,680 -> 00:17:40,839] 看最终能不能达到这样的一个预判
[00:17:40,839 -> 00:17:42,400] 所以这是一个不断在进行的
[00:17:42,400 -> 00:17:46,000] 而这种看起来很细微的日常的这种
[00:17:46,200 -> 00:17:48,119] 怎么说这种
[00:17:48,640 -> 00:17:50,440] 这种流程的话
[00:17:50,480 -> 00:17:53,079] 其实是潜移默化不断的去提高你
[00:17:53,759 -> 00:17:55,440] 这一支咖啡的应变能力
[00:17:55,480 -> 00:17:56,640] 我觉得这里有两个点
[00:17:56,680 -> 00:17:58,240] 一个是你训练的足够多
[00:17:58,279 -> 00:17:59,839] 然后你有这个提高的意识
[00:17:59,880 -> 00:18:02,079] 但是另外一个是你有没有一个
[00:18:02,240 -> 00:18:03,400] 提高的
[00:18:03,960 -> 00:18:06,039] 思维框架能力或者怎么样
[00:18:06,039 -> 00:18:07,039] 我不知道怎么形容它
[00:18:07,039 -> 00:18:08,880] 但是我说一下这个意思是什么
[00:18:09,240 -> 00:18:11,480] 我自己也做咖啡喝咖啡
[00:18:11,480 -> 00:18:13,440] 然后我去学过
[00:18:13,440 -> 00:18:15,240] 学完了以后就一直做
[00:18:15,599 -> 00:18:18,759] 但是我可能做10次做100次
[00:18:19,200 -> 00:18:20,279] 我每次都在想
[00:18:20,279 -> 00:18:21,400] 哎这杯做的不好
[00:18:21,400 -> 00:18:22,880] 我应该怎么样子做的更好
[00:18:22,880 -> 00:18:25,119] 对但是我没有办法提高
[00:18:25,359 -> 00:18:28,960] 就是我做了140我的进步很少
[00:18:29,119 -> 00:18:32,079] 可是你做140可能每一次都能有一些进步
[00:18:32,519 -> 00:18:32,759] 对
[00:18:32,759 -> 00:18:34,640] 包括你在就在我们群里
[00:18:34,759 -> 00:18:36,400] 你看每个人都是每天练
[00:18:36,400 -> 00:18:37,599] 然后每天都很烂
[00:18:37,599 -> 00:18:39,000] 就很明显
[00:18:39,480 -> 00:18:42,480] 大多数人是想进步有这个意识
[00:18:42,480 -> 00:18:44,079] 可是没有这个能力的
[00:18:44,440 -> 00:18:48,000] 其实只是因为爱好者来说
[00:18:48,000 -> 00:18:52,000] 他缺乏的是很多的理论的框架
[00:18:52,000 -> 00:18:55,000] 对就是很多时候我们在学在改正
[00:18:55,000 -> 00:18:59,000] 其实是在照葫芦画瓢的那种感觉
[00:18:59,000 -> 00:19:02,000] 对就是你你只是在学他的形
[00:19:02,000 -> 00:19:05,599] 但是你并不了解你做出这样的改变
[00:19:05,599 -> 00:19:07,000] 是基于什么样的理论
[00:19:07,000 -> 00:19:08,400] 而做于它做出了改变
[00:19:08,400 -> 00:19:12,000] 其实咖啡不管是拉花冲煮任何方面
[00:19:12,400 -> 00:19:14,900] 虽然说咖啡行业是一个比较基层的行业
[00:19:14,900 -> 00:19:17,299] 但是它都有它对应的理论知识
[00:19:17,299 -> 00:19:19,200] 你倒下去的牛奶
[00:19:19,200 -> 00:19:21,400] 其实都因为重力的作用
[00:19:21,400 -> 00:19:25,640] 全部都沉到液体液面的下面是不是
[00:19:25,640 -> 00:19:27,640] 这样的话你是没有白色的
[00:19:27,640 -> 00:19:29,960] 所以说在钢钢石上稍微倾斜一点
[00:19:29,960 -> 00:19:31,000] 你看倾斜一点
[00:19:31,000 -> 00:19:35,519] 你看是不是我们黄金的点一般来说是一厘米到两厘米之间
[00:19:35,519 -> 00:19:37,160] 也不要太贴
[00:19:37,200 -> 00:19:40,319] 但是保持在一厘米左右是最佳的一个出涂的
[00:19:40,319 -> 00:19:41,400] 我来试一下
[00:19:41,400 -> 00:19:45,599] 它就可以让你整个奶泡沉浮在液体的表面
[00:19:45,599 -> 00:19:48,599] 所以说都先不急着倒
[00:19:48,599 -> 00:19:51,400] 对正常我们教拉花式的时候
[00:19:51,400 -> 00:19:52,400] 先从水开始
[00:19:52,400 -> 00:19:54,400] 先从水或先从姿势
[00:19:54,400 -> 00:19:57,799] 先要纠正看你熟练了你这个姿势以后
[00:19:57,799 -> 00:20:00,000] 我当时去学的时候也是这么学的
[00:20:00,000 -> 00:20:02,200] 但是我觉得他教的没有你专业
