[00:00:00,000 -> 00:00:01,840] 大家沒有意識到這樣的思維方式
[00:14:36,240 -> 00:14:37,139] ok 好
[00:14:37,740 -> 00:14:38,899] 反正我是觉得很具体啊
[00:14:38,899 -> 00:14:39,840] 不知道大家怎么想
[00:14:40,100 -> 00:14:42,039] 好的呀那嗯
[00:14:42,399 -> 00:14:44,899] ok 就是在pilot的过程中
[00:14:44,899 -> 00:14:45,879] 你也得到了resource
[00:14:45,879 -> 00:14:48,639] 更多的resource去做你觉得有意义的事情
[00:14:48,639 -> 00:14:50,720] 和make你觉得有意义的impact
[00:14:51,120 -> 00:14:53,519] 这个也挺make sense的
[00:14:54,080 -> 00:14:54,600] 嗯
[00:14:55,840 -> 00:14:59,080] 那你现在这个怎么说
[00:14:59,240 -> 00:15:00,320] 就是职业
[00:15:00,919 -> 00:15:02,639] 你现在职业的开心
[00:15:03,080 -> 00:15:05,799] 是来自于你觉得你在這樣一條路徑上嗎
[00:15:05,799 -> 00:15:08,899] 主要我覺得還是看到就是自己
[00:15:09,399 -> 00:15:13,299] 負責的那些產品啊項目
[00:15:13,299 -> 00:15:15,799] 然後會發展的比以前更好
[00:15:15,799 -> 00:15:17,399] 然後這個是最主要的
[00:15:17,399 -> 00:15:19,700] 但同樣一部分就是你說
[00:15:19,700 -> 00:15:22,200] 誒會不會說我明天被promote成director
[00:15:22,200 -> 00:15:23,000] 或者senior director
[00:15:23,000 -> 00:15:24,500] 然後會不會有更開心
[00:15:24,500 -> 00:15:25,440] 那肯定是會的
[00:15:25,440 -> 00:15:27,399] 我覺得這個我沒有辦法說
[00:15:27,399 -> 00:15:29,000] 我是完全不看重那些東西
[00:15:29,000 -> 00:15:32,200] 我來說一個就是大家會現在可能遇到的一個struggle
[00:15:32,200 -> 00:15:35,080] 就是他們可能之前覺得這件事情是有意義的
[00:15:35,080 -> 00:15:37,279] 後來竟然覺得這是在給資本家打工
[00:15:37,279 -> 00:15:39,120] 就是你付出了你的勞動時間
[00:15:39,480 -> 00:15:41,360] 然後你讓這個產品變得更好了
[00:15:41,360 -> 00:15:43,320] 但是你並沒有capture the reward
[00:15:43,320 -> 00:15:45,720] 這個怎麼說呢
[00:15:45,720 -> 00:15:47,679] 我不希望大家會把我這個看法
[00:15:47,679 -> 00:15:49,639] 就是當成一個資本家看法這樣一笑而過
[00:15:49,639 -> 00:15:49,840] 對吧
[00:15:49,840 -> 00:15:53,360] 就是其實你在工作中你得到的東西呢
[00:15:53,399 -> 00:15:55,240] 呃我覺得大家大部分講的時候
[00:15:55,240 -> 00:15:57,039] 你就是沒有capture the reward
[00:15:57,039 -> 00:15:58,679] 可能更多說是一個monitor
[00:15:58,679 -> 00:15:59,639] 就是這個錢對吧
[00:15:59,639 -> 00:16:00,399] 你沒有得到那麼多
[00:16:00,399 -> 00:16:01,480] 你打工了啊
[00:16:01,480 -> 00:16:02,559] 這個產品上市了
[00:16:02,559 -> 00:16:02,960] I don't know
[00:16:02,960 -> 00:16:04,279] 你比如說你在Facebook工作
[00:16:04,279 -> 00:16:06,960] 你產生了一個billion的incremental revenue
[00:16:06,960 -> 00:16:09,279] 最后你只是拿到了几十万的工资
[00:16:09,279 -> 00:16:10,879] 你会觉得凭什么呀
[00:16:10,879 -> 00:16:11,759] 我做了那么多
[00:16:11,759 -> 00:16:12,559] 我没拿到这么多钱
[00:16:12,559 -> 00:16:13,279] 但是实际上
[00:16:13,759 -> 00:16:17,840] 首先一个方面讲
[00:16:17,840 -> 00:16:18,879] 你没有这个平台
[00:16:18,879 -> 00:16:19,840] 你可能做不到
[00:16:19,840 -> 00:16:20,320] 肯定的
[00:16:20,320 -> 00:16:22,240] 一个billion的incremental revenue
[00:16:22,240 -> 00:16:23,120] 那第二个角度讲
[00:16:23,120 -> 00:16:24,559] 你换一个方向盘
[00:16:24,559 -> 00:16:25,840] 就是你完全不同一個角度
[00:16:25,840 -> 00:16:30,000] 就是你得到其實未必只是那幾十萬的工資
[00:16:30,000 -> 00:16:35,039] 你拿到的就是有你合作過程中的那些體驗
[00:16:35,039 -> 00:16:36,799] 你得到的知識
[00:16:36,799 -> 00:16:40,000] 然後別人甚至說你把這些東西寫到你的resume
[00:16:40,000 -> 00:16:43,279] LinkedIn上會吸引到別的獵頭來找你說
[00:16:43,279 -> 00:16:45,000] 誒你之前做過I don't know
[00:16:45,000 -> 00:16:46,159] 比如現在TikTok上行
[00:16:46,159 -> 00:16:51,120] 我聽說就是很多人會找那個Meta做過reels這方面的人去嘛
[00:16:51,120 -> 00:16:52,440] 對啊這些都是
[00:16:52,440 -> 00:16:54,000] 反過來猜哈哈哈哈
[00:16:54,000 -> 00:16:55,279] 我猜啊對
[00:16:55,279 -> 00:16:57,200] 我很想argue a point
[00:16:57,200 -> 00:17:00,320] 就是這些東西你可以說它值多少錢你可以argue
[00:17:00,320 -> 00:17:02,679] 但是可能大部分人都可以argue
[00:17:02,679 -> 00:17:04,480] 就是沒有辦法去argue它不值錢
[00:17:04,480 -> 00:17:06,160] 對吧它是有一定value的
[00:17:06,160 -> 00:17:08,000] 那這些東西就是有多大的value
[00:17:08,000 -> 00:17:08,960] 我覺得這個是
[00:17:08,960 -> 00:17:12,240] 大家會有一個不同的觀點
[00:17:12,240 -> 00:17:14,000] 我說一下我對這件事情的理解
[00:17:14,000 -> 00:17:15,279] 就是其實很差不多
[00:17:15,279 -> 00:17:18,000] 就是這個世界本身不是公平的
[00:17:18,000 -> 00:17:20,160] 不是說你一分收更容易一分收穫
[00:17:20,160 -> 00:17:22,960] 然後就像你說的那個收穫本身
[00:17:22,960 -> 00:17:24,559] 是因為這個世界的機制
[00:17:24,559 -> 00:17:25,000] financial各種各樣的economics然後就像你說的那個收穫本身是因為這個世界的機制啊
[00:17:25,000 -> 00:17:28,000] financial各種各樣的economics
[00:17:28,000 -> 00:17:32,000] 然後你就是不能capture你的reward
[00:17:32,000 -> 00:17:36,000] 而且這不是你不做這件事情的理由
[00:17:36,000 -> 00:17:39,000] 就是你說世界不存在絕對公正
[00:17:39,000 -> 00:17:40,000] 所以我去死算了
[00:17:40,000 -> 00:17:41,000] 也不是這樣對吧
[00:17:41,000 -> 00:17:47,200] 所以說你關鍵還是說更重要的问题是你想不想做
[00:17:47,900 -> 00:17:50,200] 你在做这件事情你开不开心
[00:17:50,200 -> 00:17:52,000] 如果这两个东西成立的话
[00:17:52,000 -> 00:17:53,500] 那ok钱被别人赚了
[00:17:53,500 -> 00:17:56,200] 但是你开心你获得了开心和成就感
[00:17:56,700 -> 00:17:57,599] 我觉得挺好的
[00:17:57,599 -> 00:17:58,599] 对我觉得没有什么
[00:17:58,599 -> 00:17:59,299] 我觉得应该这么说
[00:17:59,299 -> 00:18:03,400] 就是说如果存在一个完完全全由你自己主导
[00:18:03,400 -> 00:18:05,640] 你可以决定一切規則的事件
[00:18:05,640 -> 00:18:06,839] 你說那我做這個事情
[00:18:06,839 -> 00:18:08,680] 我是不是應該capture我的financial reward
[00:18:08,680 -> 00:18:09,680] obviously of course
[00:18:09,680 -> 00:18:11,240] why wouldn't you do that
[00:18:11,240 -> 00:18:11,839] 對吧
[00:18:11,839 -> 00:18:15,880] 但是其實說真的就是某種程度上
[00:18:15,880 -> 00:18:18,960] 就是你一定會需要接受一些
[00:18:18,960 -> 00:18:20,359] 你暫時沒有辦法改變的事
[00:18:20,359 -> 00:18:21,200] 我用暫時啊
[00:18:21,200 -> 00:18:24,000] 也許有一天你真的可以就是強大到足夠的地步
[00:18:24,000 -> 00:18:24,720] you are a leader
[00:18:24,720 -> 00:18:27,099] you lead entire society to change something
[00:18:27,099 -> 00:18:28,200] so that it doesn't happen that way
[00:18:28,200 -> 00:18:29,900] 這個其實是一個非常宏大的理想
[00:18:29,900 -> 00:18:31,099] 我覺得如果有人能這樣做
[00:18:31,900 -> 00:18:32,299] 非常棒
[00:18:32,299 -> 00:18:32,900] 我很佩服
[00:18:33,299 -> 00:18:33,700] 啊
[00:18:35,000 -> 00:18:35,400] 對
[00:18:35,599 -> 00:18:38,700] 但是同樣就是說你一定會需要
[00:18:38,799 -> 00:18:40,500] 一定程度上的接受現實
[00:18:40,500 -> 00:18:43,099] 就像你一定會明白就是每個人都會死一樣
[00:18:43,099 -> 00:18:44,500] 就是有些事情就可能是
[00:18:44,700 -> 00:18:47,000] 我不能說完完全全不因为你的意志而改变
[00:18:47,000 -> 00:18:48,500] 他就很难因为你的意志而改变
[00:18:48,500 -> 00:18:50,000] 但是这个不是不应该是一个
[00:18:51,000 -> 00:18:54,000] 阻止你去move forward的一件事情
[00:18:54,000 -> 00:18:55,000] 没错
[00:18:59,000 -> 00:19:00,000] 好嘞
[00:19:00,000 -> 00:19:02,000] 还有没有什么想聊的
[00:19:04,000 -> 00:19:06,160] 没有啊 我觉得现在这个
[00:19:06,400 -> 00:19:08,640] 经济这个状况就是大家也知道
[00:19:08,640 -> 00:19:11,240] 各处裁员啊 大厂都在裁员
[00:19:12,200 -> 00:19:15,240] 最后一点就是如果觉得
[00:19:15,480 -> 00:19:17,799] 自己很难过 然后
[00:19:18,279 -> 00:19:19,319] 自己很
[00:19:20,200 -> 00:19:22,839] 觉得没有明天啊这种时候就是
[00:19:23,400 -> 00:19:25,400] 多找周围的朋友聊一聊
[00:19:25,400 -> 00:19:27,960] 如果今天剛提到這個話題
[00:19:27,960 -> 00:19:28,799] 我正好問一下
[00:19:29,000 -> 00:19:31,599] 如果今天dolash把你裁了
[00:19:31,599 -> 00:19:35,400] 然後你覺得你有辦法通過開
[00:19:36,200 -> 00:19:38,799] 密使或者其他的方式養活自己嗎
[00:19:39,599 -> 00:19:41,200] 養活自己沒問題
[00:19:41,640 -> 00:19:43,519] 養活你家沒問題
[00:19:43,559 -> 00:19:44,799] ok 因為
[00:19:46,279 -> 00:19:47,240] 對於物質的需求每个人是不一样的
[00:19:47,240 -> 00:19:53,160] 然后我也觉得我有不够多想去自己做的事情
[00:19:53,160 -> 00:19:56,440] 所以我可以让自己开心很长时间
[00:19:58,599 -> 00:20:01,319] 有机会可以介绍一下这方面的经验
[00:20:01,759 -> 00:20:02,920] 可以没问题
[00:20:02,960 -> 00:20:04,839] 好 那我们今天就先聊到这
[00:20:04,839 -> 00:20:08,039] 如果大家对这个Cafe的这些东西感兴趣的话
[00:20:08,539 -> 00:20:10,539] 多留言 我们再来找你聊一聊
[00:20:10,539 -> 00:20:13,740] 好 谢谢赫大利亚 谢谢大家 拜拜
