[00:00:00,000 -> 00:00:03,680] 独立董事来你也要给他一定的就是说报酬嘛
[00:14:50,240 -> 00:14:51,879] 非常详实的这样一本书
[00:14:51,879 -> 00:14:54,399] 就这种故事其实很多人都不知道
[00:14:54,399 -> 00:14:55,919] 对我还蛮吃惊的
[00:14:55,919 -> 00:14:56,679] 是的
[00:14:56,679 -> 00:14:58,600] 所以说就是刚刚说了这个Dynamic
[00:14:58,600 -> 00:15:01,039] 就是这个创投的生态资本
[00:15:01,039 -> 00:15:03,440] 然后董事会到底是如何代表资本的
[00:15:03,440 -> 00:15:05,360] 就是这里边他们可能有的是投资人
[00:15:05,360 -> 00:15:07,679] 尤其是大的这个投资人
[00:15:07,679 -> 00:15:11,000] 那一般会是一个VC指定一个人
[00:15:11,000 -> 00:15:14,320] 他们一般是他们内部的一个partner去做这个board
[00:15:14,320 -> 00:15:15,679] 或者是做deal的这个partner
[00:15:15,679 -> 00:15:18,720] 比如说我这个deal就是我代表我的基金
[00:15:18,720 -> 00:15:19,519] 我去投的
[00:15:19,519 -> 00:15:20,960] 因为我看好这个公司
[00:15:20,960 -> 00:15:21,759] 唱好这个创始人
[00:15:21,759 -> 00:15:22,639] 看好这个故事
[00:15:22,639 -> 00:15:26,519] 所以那肯定一般就是你这个partner去上这个董事会
[00:15:26,519 -> 00:15:31,279] 对,然后那还有一些独立董事和创始人团队
[00:15:31,279 -> 00:15:33,480] 就是创始人的这个比如说
[00:15:33,480 -> 00:15:36,320] 新报好友啊或者trusted united一些人
[00:15:36,320 -> 00:15:39,200] 对,嗯,那在这种情况下呢
[00:15:39,200 -> 00:15:40,960] 自然而然的就会有一些博弈
[00:15:40,960 -> 00:15:43,879] 就是当大家都好的时候就很简单
[00:15:43,879 -> 00:15:45,919] 都好,就互相帮忙啊
[00:15:45,919 -> 00:15:47,360] 然后你帮我赚钱
[00:15:47,360 -> 00:15:48,559] 然后我信任你
[00:15:48,559 -> 00:15:49,840] 就是都很开心
[00:15:49,840 -> 00:15:52,639] 但是当事情出现分歧不可避免的
[00:15:52,639 -> 00:15:53,200] 对吧
[00:15:53,200 -> 00:15:55,159] 对就是不管是经济情况啊
[00:15:55,159 -> 00:15:57,360] 大家对未来的判断出现分歧了呀
[00:15:57,360 -> 00:15:59,559] 这个时候就要互相说服
[00:15:59,559 -> 00:16:00,960] 一起寻找solution
[00:16:00,960 -> 00:16:01,679] 找不到的时候
[00:16:01,679 -> 00:16:02,879] 有的时候要刀兵相见
[00:16:02,879 -> 00:16:03,720] 把你fire了
[00:16:03,720 -> 00:16:04,480] 是的是的
[00:16:04,480 -> 00:16:05,799] 然后我们这些
[00:16:05,799 -> 00:16:06,399] 对
[00:16:06,399 -> 00:16:09,399] 就当时大家很吃惊于就是openAI
[00:16:09,399 -> 00:16:11,559] 为什么就是什么announcement没有
[00:16:11,559 -> 00:16:13,039] 就去把sam给fire了
[00:16:13,039 -> 00:16:15,080] 我说这是必然的
[00:16:15,080 -> 00:16:16,919] 就是如果你去跟sam沟通一下的话
[00:16:16,919 -> 00:16:18,080] sam先把你给干掉
[00:16:18,080 -> 00:16:18,519] 对吧
[00:16:18,519 -> 00:16:24,200] 对因为他会发现你们有在本质上有着原则上的不可调和的分析
[00:16:24,200 -> 00:16:28,399] 这种情况下一定是他会发生一个商战
[00:16:28,399 -> 00:16:32,200] 然后通常商战一开打就是你死我活
[00:16:32,200 -> 00:16:35,799] 就是因为以前我还对商战报有幻想
[00:16:35,799 -> 00:16:38,799] 我说难道大家的这个初心不都是为了这公司好吗
[00:16:38,799 -> 00:16:40,240] 为了我们能够一起赚钱
[00:16:40,240 -> 00:16:44,559] 公司能够成长成一个超级大的独角兽或DECA-CON
[00:16:44,559 -> 00:16:47,200] 然后做成一个伟大的公司可是人�成长成一个超级大的独角兽或者DECA-COR然后做成一个伟大的公司
[00:16:47,200 -> 00:16:48,600] 人心不是这样的
[00:16:48,600 -> 00:16:50,000] 所以这个很简单
[00:16:50,000 -> 00:16:51,399] 就是大家都是为了这个
[00:16:51,399 -> 00:16:54,000] 但是大家是希望通过自己
[00:16:54,000 -> 00:16:54,600] 对吧
[00:16:54,600 -> 00:16:57,000] 你不能看到就是他成为了一个独角兽
[00:16:57,000 -> 00:16:58,799] 然后跟你没有半毛钱关系
[00:16:58,799 -> 00:17:00,399] 双战结果就是
[00:17:00,399 -> 00:17:01,700] 就是如果对方赢了
[00:17:01,700 -> 00:17:04,700] 那他们以他们的方式成为了好公司
[00:17:04,700 -> 00:17:05,839] 跟你就没有关系了对那要看赢了对方赢了那他们以他们的方式成为了好公司跟你就没有关系了
[00:17:05,839 -> 00:17:06,339] 对
[00:17:06,339 -> 00:17:09,700] 那要看赢了的对方能不能再让这个
[00:17:09,700 -> 00:17:11,900] 就是上战中没有胜利的这一方
[00:17:11,900 -> 00:17:15,019] 还让不让他在一个桌子上一起说话
[00:17:15,019 -> 00:17:16,940] 很多情况下是不让的
[00:17:16,940 -> 00:17:18,460] 也有一些是
[00:17:18,460 -> 00:17:20,099] 也有一些格局大的创始人
[00:17:20,099 -> 00:17:21,700] 或格局大的董事会
[00:17:21,700 -> 00:17:24,980] 他会让这个输的那一方再回来
[00:17:24,980 -> 00:17:26,319] 因为他看到他的价值
[00:17:26,319 -> 00:17:29,599] 但是这个前提一定是赢的这一方控制了全局
[00:17:29,599 -> 00:17:31,680] 对 而且再让输的这一方回来
[00:17:31,680 -> 00:17:33,440] 而输的这一方还不能有ego
[00:17:33,440 -> 00:17:36,559] 你不能心里面总是愤愤不平的说
[00:17:36,559 -> 00:17:38,960] 双方都要有格局
[00:17:38,960 -> 00:17:41,599] 然后这个矛盾也能调和
[00:17:41,599 -> 00:17:45,000] 而且一方面不会受到挑战
[00:17:45,000 -> 00:17:45,319] 对的
[00:17:45,319 -> 00:17:47,960] 如果有一和有一丝受到挑战的威胁
[00:17:47,960 -> 00:17:50,319] 就不能就不可能在感叹出根
[00:17:50,319 -> 00:17:50,839] 对对对
[00:17:50,839 -> 00:17:52,720] 就不可能在一个桌子上说话
[00:17:52,720 -> 00:17:53,440] 对
[00:17:53,440 -> 00:17:53,839] 嗯
[00:17:53,839 -> 00:17:54,440] 好的
[00:17:54,440 -> 00:17:55,920] 我们已经猜差不多了
[00:17:55,920 -> 00:17:57,000] 来讲几个
[00:17:57,000 -> 00:17:58,480] 你一开始可能就是
[00:17:58,480 -> 00:18:00,440] 我觉得就是你职业生涯中
[00:18:00,440 -> 00:18:02,559] 你觉得比较大的一次
[00:18:02,559 -> 00:18:03,799] 或者说波及比较远的
[00:18:03,799 -> 00:18:07,240] 或者还有就是你可能入行以后你第一次经历
[00:18:07,240 -> 00:18:08,880] 就是你不是说一开始要幻想吗
[00:18:08,880 -> 00:18:10,759] 然后打破你幻想的故事是什么
[00:18:10,759 -> 00:18:12,640] 我们可以捡几个说
[00:18:12,640 -> 00:18:16,000] 但是第一个一般大家会印象比较深刻
[00:18:16,000 -> 00:18:17,599] 对好
[00:18:17,599 -> 00:18:20,759] 那因为这里因为这个故事涉及到很多就是说
[00:18:20,759 -> 00:18:24,400] 当事人比较蛮有名的一些投资人和创业者
[00:18:24,400 -> 00:18:25,880] 所以我全部都得匿名
[00:18:25,880 -> 00:18:28,079] 对 我觉得这真的都是
[00:18:28,079 -> 00:18:31,119] 初次创业者没有什么经验
[00:18:31,119 -> 00:18:33,480] 他低估了这个上架的残酷性
[00:18:33,480 -> 00:18:34,599] 但是我认为吧
[00:18:34,599 -> 00:18:36,880] 就是说我们作为投资人都有自己的理念
[00:18:36,880 -> 00:18:38,519] 对吧 我是属于那排投资人
[00:18:38,519 -> 00:18:41,920] 我认为这个公司的创始人总是公司的灵魂
[00:18:41,920 -> 00:18:46,599] 尤其是非常非常有技术能力背景很强的创始人本身这个某个这个公司可能就是个技术型的公司的创始人总是公司的灵魂尤其是非常有技术能力背景很强的创始人
[00:18:46,599 -> 00:18:50,240] 本身某个公司可能就是个技术型的公司
[00:18:50,240 -> 00:18:54,240] 再加上创始人又非常hardworking
[00:18:54,240 -> 00:18:55,839] 他其实很green
[00:18:55,839 -> 00:18:58,440] 我觉得是一定成长的
[00:18:58,440 -> 00:19:00,519] 是coachable的
[00:19:00,519 -> 00:19:02,039] 只是说他需要时间成长
[00:19:02,039 -> 00:19:04,400] 比如说他的沟通能力
[00:19:04,400 -> 00:19:05,319] 讲故事的能力透明度他都需要时间成长比如说他的这个沟通啊沟通能力啊讲故事的能力啊
[00:19:05,319 -> 00:19:06,319] 透明度啊
[00:19:06,319 -> 00:19:08,119] 他都需要去成长
[00:19:08,119 -> 00:19:10,279] 或者你你能够像当年的Facebook
[00:19:10,279 -> 00:19:12,319] 像Zuckerberg就找到了一个
[00:19:12,319 -> 00:19:13,839] 他当时的贵人应该是上吧
[00:19:13,839 -> 00:19:14,519] 我记得
[00:19:14,519 -> 00:19:17,319] 就是他找到这样一个人去帮他成长
[00:19:17,319 -> 00:19:18,279] 我觉得如果没有上
[00:19:18,279 -> 00:19:21,319] 那可能Zuckerberg也被董事会干掉无数次了
[00:19:21,319 -> 00:19:21,799] 对对对
[00:19:21,799 -> 00:19:23,119] 早就干掉无数次了
[00:19:23,119 -> 00:19:24,920] 所以我觉得就是说
[00:19:24,920 -> 00:19:25,920] 可能这两个
[00:19:25,920 -> 00:19:27,519] 我经历的这个案例呢
[00:19:27,519 -> 00:19:29,039] 这个创始人就没有像
[00:19:29,039 -> 00:19:30,559] Zuckerberg这样的运气
[00:19:30,559 -> 00:19:32,799] 就是如果他们有这样的一个投资人
[00:19:32,799 -> 00:19:34,240] 他们应该也不会被干掉
[00:19:34,240 -> 00:19:35,119] 哦
[00:19:35,119 -> 00:19:36,400] 一鸣二蕴三风水
[00:19:36,400 -> 00:19:37,599] 啊真的是真的是
[00:19:37,599 -> 00:19:38,319] 一鸣二蕴三风水
[00:19:38,319 -> 00:19:39,839] 所以我我觉得就是说
[00:19:39,839 -> 00:19:42,160] 一个公司换掉灵魂创始人
[00:19:42,160 -> 00:19:43,279] 他应该也不会死
[00:19:43,279 -> 00:19:45,599] 但是他这个公司的成长后面
[00:19:45,880 -> 00:19:47,799] 嗯我认为是
[00:19:48,039 -> 00:19:50,440] 是就是比起他有可能顺的
[00:19:50,440 -> 00:19:51,519] 我刚刚是不一样了
[00:19:51,519 -> 00:19:53,519] 他就是整个就被改命了
[00:19:53,519 -> 00:19:54,119] 就是对
[00:19:54,119 -> 00:19:55,920] 所以我觉得这是一个很遗憾的故事
[00:19:55,920 -> 00:19:57,079] 这是一个很遗憾的故事
[00:19:57,079 -> 00:19:58,960] 有机会想采访一下那两个创始人
[00:19:58,960 -> 00:19:59,880] 如果创始人能够
[00:19:59,880 -> 00:20:02,200] 就是我觉得学到很多的教训哈
[00:20:02,200 -> 00:20:02,759] 就是说
[00:20:03,000 -> 00:20:06,920] 当事人就是真的要去加强自己讲故事的能力
[00:20:07,519 -> 00:20:09,720] 还有在跟董事会的沟通能力
[00:20:09,720 -> 00:20:11,319] 以及自己的领导力
[00:20:11,319 -> 00:20:13,519] 这方面是一定要一定要加强的
[00:20:13,519 -> 00:20:16,240] 就是不论你的公司技术有多难
[00:20:16,240 -> 00:20:18,200] 你要花很多的时间去琢磨技术
[00:20:18,200 -> 00:20:19,519] 搭建技术团队
[00:20:19,519 -> 00:20:20,799] 或者是把商业进行
[00:20:20,799 -> 00:20:22,200] 把技术进行商业落地
[00:20:22,200 -> 00:20:23,759] 我知道很忙很忙
[00:20:23,759 -> 00:20:26,880] 但是你另外的三件事你一定要做
[00:20:26,880 -> 00:20:29,640] 这就是一个创始人的修炼
[00:20:29,640 -> 00:20:29,960] 对
[00:20:29,960 -> 00:20:32,079] 就你不能说我因为我在做事
[00:20:32,079 -> 00:20:33,440] 我就忽略了其他的东西
[00:20:33,440 -> 00:20:34,160] 这是不行的
[00:20:34,160 -> 00:20:36,519] 这个世界上的所有东西都是人去构成的
[00:20:36,519 -> 00:20:36,799] 对
[00:20:36,799 -> 00:20:38,480] 不是事情构成的
[00:20:38,480 -> 00:20:38,839] 是的
[00:20:38,839 -> 00:20:41,240] 然后我之前也出过一个视频
[00:20:41,240 -> 00:20:42,640] 就是说比种族更重要
[00:20:42,640 -> 00:20:44,400] 或者同样重要的32个因素
[00:20:44,400 -> 00:20:45,519] 而且都是过程因素
[00:20:45,519 -> 00:20:46,079] 对对对
[00:20:46,079 -> 00:20:47,160] 大家看不见
[00:20:47,160 -> 00:20:48,519] 似乎觉得它不重要
[00:20:48,519 -> 00:20:49,079] 对对对
[00:20:49,079 -> 00:20:49,640] 无比重要
[00:20:49,640 -> 00:20:50,640] 是的是的
[00:20:50,640 -> 00:20:52,279] 然后因为以此为教训
[00:20:52,279 -> 00:20:54,000] 我后来在投的公司中
[00:20:54,000 -> 00:20:56,359] 我就非常看重这个创始人的
[00:20:56,359 -> 00:20:57,720] 除了技术能力之外的
[00:20:57,720 -> 00:20:59,480] 他的一种沟通能力
[00:20:59,480 -> 00:21:01,359] 讲故事的能力和领导能力
[00:21:01,359 -> 00:21:03,240] 然后也有一些正面的案例
[00:21:03,240 -> 00:21:03,839] 好呀
[00:21:03,839 -> 00:21:06,000] 我觉得这两个真的是night and day
[00:21:06,000 -> 00:21:10,000] 而且从游戏的你的视角对创始人的叙述
[00:21:10,000 -> 00:21:11,000] 就让我们知道了
[00:21:11,000 -> 00:21:13,000] 创始人不是说技术牛逼
[00:21:13,000 -> 00:21:14,000] 就这么简单的
[00:21:14,000 -> 00:21:16,000] 做事情就这么简单的
[00:21:16,000 -> 00:21:17,000] 那些soft skill
[00:21:17,000 -> 00:21:18,000] 其实真的很重要
[00:21:18,000 -> 00:21:19,000] 很难激励 而且很难
[00:21:19,000 -> 00:21:21,000] 而且真的就是你能看出来
[00:21:21,000 -> 00:21:24,000] 和就是能保证这件事情的成功
[00:21:24,000 -> 00:21:29,000] 想要掌控自己的命运真的就是在这些方面上是要提高很多
[00:21:29,000 -> 00:21:29,480] 是的
[00:21:29,480 -> 00:21:30,000] 对
[00:21:30,000 -> 00:21:33,319] 那你就是应该还有很多的其他的故事啊
[00:21:33,319 -> 00:21:35,519] 但是不一定有狗血或者dramatic
[00:21:35,519 -> 00:21:38,799] 但是day to day就是你还有没有什么其他的观察
[00:21:38,799 -> 00:21:40,440] 对创始人的建议
[00:21:40,440 -> 00:21:42,440] 或者说对大家平时吧
[00:21:42,440 -> 00:21:43,200] 就比如说我
[00:21:43,200 -> 00:21:44,880] 我如果不去做founder的话
[00:21:44,880 -> 00:21:47,079] 那好像这些东西对我来说我知道了
[00:21:47,079 -> 00:21:48,440] 未必跟我有关
[00:21:48,440 -> 00:21:51,119] 你觉得有什么东西其实是对我们每个人都有关的吗
[00:21:51,119 -> 00:21:54,000] 我觉得在这个过程中你要去多观察
[00:21:54,000 -> 00:21:56,640] 多去看成功的团队的案例
[00:21:56,640 -> 00:21:59,640] 然后如果你身边有一些狗血的故事
[00:21:59,640 -> 00:22:02,880] 你也可以总结他们的这种失败的原因和教训
[00:22:02,880 -> 00:22:05,440] 这样的话当你有一天想就冲天火星
[00:22:05,440 -> 00:22:06,839] 做自己的事情的时候
[00:22:06,839 -> 00:22:09,680] 你就会这些故事和这些教训就会浮现出来
[00:22:09,680 -> 00:22:12,039] 然后帮助你成就一个更好的自己
[00:22:12,039 -> 00:22:14,359] 其实就是华语老师那天
[00:22:14,359 -> 00:22:17,359] 他就说他在开了个三分钟的上课的时候
[00:22:17,359 -> 00:22:18,680] 第一句话一般都是
[00:22:18,680 -> 00:22:20,799] 我今天会跟你讲很多
[00:22:20,799 -> 00:22:22,319] 然后你们都不会听
[00:22:22,319 -> 00:22:24,200] 对这很正常的
[00:22:24,200 -> 00:22:25,099] 不是大家的错,
[00:22:25,099 -> 00:22:26,599] 人性就是这样子。
[00:22:26,599 -> 00:22:28,940] 但是他希望做到的就是在两三年之后,
[00:22:28,940 -> 00:22:31,599] 当大家开始犯错,有问题的时候,
[00:22:31,599 -> 00:22:33,140] 能回想到这个课的内容,
[00:22:33,140 -> 00:22:34,740] 然后去想得更深一点。
[00:22:34,740 -> 00:22:37,400] 是的,他最后就当你遇到事情的时候,
[00:22:37,400 -> 00:22:40,099] 你之前的一些经验或你学到的一些 lesson,
[00:22:40,099 -> 00:22:41,240] 它会浮现出来,
[00:22:41,240 -> 00:22:47,039] 然后这个时候就是你可以在这个时候去应用到你当年所学的东西去实践的时候了
[00:22:47,039 -> 00:22:48,599] 嗯嗯嗯
[00:22:48,599 -> 00:22:52,279] 那我们正常就普通人
[00:22:52,279 -> 00:22:55,000] 怎么样子才能去观察到这些故事呢
[00:22:56,599 -> 00:22:58,039] 嗯这是个好问题
[00:22:58,039 -> 00:23:01,400] 因为我觉得你最大的learning都是你身体力行
[00:23:01,400 -> 00:23:02,559] 你在里面的时候
[00:23:02,559 -> 00:23:02,799] 对
[00:23:02,799 -> 00:23:03,119] 对吧
[00:23:03,119 -> 00:23:04,720] 你人在江湖中的时候
[00:23:04,720 -> 00:23:07,000] 你才会被这个刀光剑影伤到
[00:23:07,000 -> 00:23:08,480] 你才会变得更强大
[00:23:08,480 -> 00:23:08,920] 明白了
[00:23:08,920 -> 00:23:09,720] 作为一个普通人
[00:23:09,720 -> 00:23:11,119] 我能够给的建议就是
[00:23:11,119 -> 00:23:12,640] 一旦你心中有一个梦想
[00:23:12,640 -> 00:23:13,920] 你想要做一件事情的时候
[00:23:13,920 -> 00:23:15,160] 因为人生真的很短
[00:23:15,200 -> 00:23:17,359] 我是几个月前刚刚有了宝宝
[00:23:17,359 -> 00:23:19,680] 当你有了就是人生中发生一些变化的时候
[00:23:19,680 -> 00:23:20,440] 你就知道
[00:23:20,480 -> 00:23:22,599] 你在你比如说20到30
[00:23:22,599 -> 00:23:24,319] 30到40岁这个阶段的时间
[00:23:24,319 -> 00:23:25,319] 是多么的宝贵
[00:23:25,319 -> 00:23:29,000] 所以当你一定找到自己的passion和梦想之后
[00:23:29,000 -> 00:23:30,599] 你一定要去实践它
[00:23:30,599 -> 00:23:33,759] 因为你错过了这个人生的这十年
[00:23:33,759 -> 00:23:35,480] 你会很遗憾的
[00:23:35,480 -> 00:23:38,240] 所以一定要去通过去做事
[00:23:38,240 -> 00:23:39,759] 然后去学到这些经验
[00:23:39,759 -> 00:23:41,319] 就去栽根头
[00:23:41,319 -> 00:23:43,200] 对就想的东西没有用
[00:23:43,200 -> 00:23:45,480] 就是那我相信那两个创始人
[00:23:45,480 -> 00:23:47,039] 他们等可能
[00:23:47,039 -> 00:23:48,559] 这也没有这些故事
[00:23:48,559 -> 00:23:49,000] 对吧
[00:23:49,000 -> 00:23:49,279] 对
[00:23:49,279 -> 00:23:51,200] 就是那这两个故事再难受
[00:23:51,200 -> 00:23:53,000] 总比啥都不做要好
[00:23:53,000 -> 00:23:53,640] Exactly
[00:23:53,640 -> 00:23:53,960] 对
[00:23:53,960 -> 00:23:55,480] 我相信就是
[00:23:55,480 -> 00:23:56,680] 栽过根头的创始人
[00:23:56,680 -> 00:23:57,960] 最后都会变得很聪明
[00:23:57,960 -> 00:24:00,440] 就最后都会有一个彻底的改变
[00:24:00,440 -> 00:24:01,519] 会变得成熟
[00:24:01,519 -> 00:24:02,480] 嗯
[00:24:02,480 -> 00:24:03,079] 好的
[00:24:03,079 -> 00:24:03,480] 对
[00:24:03,480 -> 00:24:04,400] 谢谢今天呢
[00:24:04,400 -> 00:24:05,079] 跟我分享
[00:24:05,079 -> 00:24:06,440] 也谢谢给大家的经验
[00:24:06,440 -> 00:24:06,880] 谢谢
[00:24:06,880 -> 00:24:07,200] 谢谢
[00:24:07,200 -> 00:24:07,519] 好的
[00:24:07,519 -> 00:24:08,400] 希望对大家有用
[00:24:08,400 -> 00:24:09,000] 我们下期再见
[00:24:09,000 -> 00:24:09,359] 帮助
