[00:00:00,000 -> 00:00:02,879] 大家好 今天我想跟大家聊一聊PM
[00:16:35,679 -> 00:16:37,679] 就是product versus sense
[00:16:37,679 -> 00:16:40,480] 然后一个好的pm这两个都应该知道
[00:16:40,480 -> 00:16:42,240] 好的ds这两个也都应该知道
[00:16:42,240 -> 00:16:45,279] 这就是我们之间有很多可以相互学习的东西
[00:16:45,279 -> 00:16:51,120] 最后一句话就是最后再总结再说一个点
[00:16:51,120 -> 00:16:53,600] 就是在我看来什么是有能力但是不好的PM
[00:16:53,600 -> 00:16:56,080] PM的嘴骗人的鬼
[00:16:56,080 -> 00:16:58,080] 就是所有有能力的PM
[00:16:58,080 -> 00:17:01,120] 他们一定都是非常会articulate的
[00:17:01,120 -> 00:17:03,679] 就是他任何一件事情都可以把你说的
[00:17:03,679 -> 00:17:06,400] 都可以说的让你觉得OK这个事情很厉害
[00:17:06,400 -> 00:17:07,759] 好值得做
[00:17:07,759 -> 00:17:08,559] 怎么样
[00:17:08,559 -> 00:17:11,279] 就是这个我觉得很多PM都有这个能力
[00:17:11,279 -> 00:17:14,559] 但是好的PM一定是有所为有所不为
[00:17:14,559 -> 00:17:16,240] 他一定是会
[00:17:16,240 -> 00:17:19,519] 他首先他不会invest in这个项目本身
[00:17:19,519 -> 00:17:20,400] 他要知
[00:17:20,400 -> 00:17:23,759] 他会从一个客观的角度去看这个项目到底是不是好的
[00:17:23,759 -> 00:17:24,960] 如果不好就把它干掉
[00:17:24,960 -> 00:17:26,640] 如果好的话再把它留下
[00:17:26,640 -> 00:17:28,960] 如果你看到一个有能力但是不好的pm
[00:17:28,960 -> 00:17:30,559] 他可能是会为了升职
[00:17:30,559 -> 00:17:34,640] 可能是会为了有的时候是为了取悦自己的盟友
[00:17:34,640 -> 00:17:38,319] 他就会让一个好的没有前途的项目
[00:17:38,319 -> 00:17:39,839] drag on for too long
[00:17:39,839 -> 00:17:41,759] 他就会说这个东西值得做
[00:17:41,759 -> 00:17:43,039] 其实根本不值得做
[00:17:43,039 -> 00:17:44,640] 大家投入了很多资源以后
[00:17:44,640 -> 00:17:46,440] 反而是浪费了这些资源
[00:17:46,720 -> 00:17:48,400] 或者说影响了公司的发展
[00:17:48,680 -> 00:17:50,680] 在我看来PM有这个能力
[00:17:50,880 -> 00:17:53,079] 你选择做什么和选择不做什么
[00:17:53,240 -> 00:17:57,079] ultimately是决定你PM到底好不好的最重要的因素
[00:17:57,519 -> 00:17:59,079] 好的 今天就要讲到这里
[00:17:59,279 -> 00:18:00,119] 讲的有点琐碎
[00:18:00,119 -> 00:18:01,200] 希望对大家有帮助
[00:18:01,200 -> 00:18:03,039] 如果说有什么地方讲的没清楚的话
[00:18:03,240 -> 00:18:05,079] 我们也可以把这个视频重新做一下
[00:18:05,079 -> 00:18:06,440] 把它讲的更好调理一下
[00:18:06,440 -> 00:18:08,319] 希望大家都给我留反馈
[00:18:08,319 -> 00:18:11,440] 然后我会多产出这样的内容的
[00:18:11,440 -> 00:18:13,759] 希望大家留言点赞转发
[00:18:13,759 -> 00:18:15,359] 好 下次再见
