[00:00:00,000 -> 00:00:01,199] 推薦三款
[00:14:47,120 -> 00:14:51,000] 那蘇黛本身是有一個叫蘇黛葡萄酒嘛
[00:14:51,000 -> 00:14:53,559] 它是一種很珍貴的葡萄酒
[00:14:53,559 -> 00:14:55,039] 而且是甜型葡萄酒
[00:14:55,039 -> 00:14:56,320] 產量非常非常低
[00:14:56,320 -> 00:15:01,840] 而且這些的產量只能是這個片區法定產區才能叫蘇黛酒
[00:15:01,840 -> 00:15:05,659] 所以它本身得到蘇黛酒的酥带桶就很少
[00:15:05,659 -> 00:15:08,659] 所以他本身的量就那么少
[00:15:08,659 -> 00:15:10,460] 一瓶大概多少钱
[00:15:10,460 -> 00:15:11,700] 自己去查吧
[00:15:11,700 -> 00:15:13,299] 我很久没买酒了
[00:15:13,299 -> 00:15:14,200] 不知道
[00:15:14,200 -> 00:15:15,080] 他收不起了
[00:15:15,080 -> 00:15:16,240] 但是看起来应该还好
[00:15:16,240 -> 00:15:17,159] 应该还好
[00:15:17,159 -> 00:15:17,779] 应该还好
[00:15:17,779 -> 00:15:18,960] 应该就我没记错
[00:15:18,960 -> 00:15:21,419] 应该就应该不到一千块钱
[00:15:21,419 -> 00:15:21,919] 对对对
[00:15:21,919 -> 00:15:22,740] 所以送长辈
[00:15:22,740 -> 00:15:25,159] 长辈也觉得也不会不好意思收了
[00:15:25,159 -> 00:15:26,679] 就是晚辈你不要去
[00:15:26,679 -> 00:15:27,639] 不要去破费嘛
[00:15:27,639 -> 00:15:28,120] 对对对
[00:15:28,120 -> 00:15:29,399] 但是他有故事可以讲
[00:15:29,399 -> 00:15:31,559] 而且应该比较适合大多数中国人的口味
[00:15:31,559 -> 00:15:32,440] 对啊对啊对啊
[00:15:32,440 -> 00:15:34,799] 所以这个也是我其中一个
[00:15:34,799 -> 00:15:36,000] 想不到喝什么威士忌
[00:15:36,000 -> 00:15:37,799] 我也会选的一款
[00:15:37,799 -> 00:15:39,080] OK好的
[00:15:39,080 -> 00:15:41,600] 那就是自己的口粮酒呢
[00:15:41,600 -> 00:15:43,279] 自己口粮酒啊
[00:15:43,279 -> 00:15:44,759] 我看一下
[00:15:44,759 -> 00:15:47,340] 口粮酒呢自己口粮酒啊我看一下口粮酒的话
[00:15:47,340 -> 00:15:50,440] 其实我喜欢那个拉夫格十年的
[00:15:50,440 -> 00:15:51,240] 哦
[00:15:51,240 -> 00:15:53,240] 在第二排
[00:15:53,240 -> 00:15:54,039] 对
[00:15:54,039 -> 00:15:55,240] 谢谢
[00:15:55,240 -> 00:15:56,240] 对对对
[00:15:56,240 -> 00:15:57,240] 拉夫格十年
[00:15:57,240 -> 00:15:58,740] 是你要的桶吗
[00:15:58,740 -> 00:15:59,740] 对
[00:15:59,740 -> 00:16:01,240] 我现在就要注意这些桶了
[00:16:01,240 -> 00:16:02,240] 他应该没写
[00:16:02,240 -> 00:16:04,740] 但是我知道应该就是波本桶了
[00:16:04,740 -> 00:16:06,399] 主要是波本桶为主
[00:16:08,000 -> 00:16:08,799] 口粮酒
[00:16:08,799 -> 00:16:09,600] 为什么口粮酒
[00:16:09,600 -> 00:16:11,200] 因为它不贵
[00:16:11,200 -> 00:16:14,000] 风味又很突出
[00:16:14,000 -> 00:16:16,000] 然后拉夫格为什么我喜欢它呢
[00:16:16,000 -> 00:16:18,559] 因为它也有一些好玩的故事
[00:16:18,559 -> 00:16:20,399] 口粮酒有时候你自己喝
[00:16:20,399 -> 00:16:22,240] 有时候你会跟朋友去分享
[00:16:22,240 -> 00:16:24,320] 有没有发现这个瓶子
[00:16:24,320 -> 00:16:26,000] 跟很多的威士忌瓶子不一样
[00:16:26,000 -> 00:16:28,000] 颜色搭配还有它的颜色深度
[00:16:28,000 -> 00:16:31,000] 以前在美国禁酒令的时候
[00:16:31,000 -> 00:16:34,000] 只有苏格兰威士忌它是能出口
[00:16:34,000 -> 00:16:36,000] 以药品的名义去出口
[00:16:36,000 -> 00:16:37,000] 然后说生命之水嘛
[00:16:37,000 -> 00:16:39,000] 我喝威士忌可以止痛啊
[00:16:39,000 -> 00:16:40,000] 对吧
[00:16:40,000 -> 00:16:43,000] 甚至是连当时的英国的首相
[00:16:43,000 -> 00:16:49,000] 他们去不同的地方去做這個工作的時候
[00:16:49,000 -> 00:16:51,000] 他們都說我要喝威士忌
[00:16:51,000 -> 00:16:52,000] 因為威士忌是藥
[00:16:52,000 -> 00:16:55,000] 還有醫生寫的一些證明的文件
[00:16:55,000 -> 00:16:56,000] 非常非常好玩
[00:16:56,000 -> 00:16:58,000] 為什麼我會喜歡這個口糧酒呢
[00:16:58,000 -> 00:17:02,000] 因為第一它的泥煤的味道
[00:17:02,000 -> 00:17:07,119] 就是像消毒水的味道很鮜明的同时它的底层香气
[00:17:07,119 -> 00:17:08,640] 有一些坚果呀
[00:17:08,640 -> 00:17:10,039] 海洋的风味
[00:17:10,039 -> 00:17:11,559] 刚好他们的一个
[00:17:11,559 -> 00:17:12,799] 陈年的仓库
[00:17:12,799 -> 00:17:13,359] 我喝一点
[00:17:13,359 -> 00:17:14,039] 你喝一下
[00:17:14,039 -> 00:17:15,640] 陈年的仓库就是在海边嘛
[00:17:15,640 -> 00:17:16,200] 嗯
[00:17:16,200 -> 00:17:18,000] 所以真的一方水土
[00:17:18,000 -> 00:17:19,799] 真的是养一方人更久的
[00:17:21,759 -> 00:17:22,920] 除了泥煤味道
[00:17:22,920 -> 00:17:24,720] 还有什么吗
[00:17:24,720 -> 00:17:29,359] 海洋啊坚果呀还还有一些木头的味道都会有
[00:17:29,359 -> 00:17:32,559] 但是木头味道它没有那么的明显,谢谢
[00:17:36,920 -> 00:17:39,160] 我真的很少喝酒
[00:17:40,440 -> 00:17:41,519] 喝得好礼貌
[00:17:41,519 -> 00:17:46,000] 好的,然后第三个,在妹子面前装逼的酒
[00:17:46,000 -> 00:17:50,000] 那你看你要应对的是哪种妹子啊?
[00:17:50,000 -> 00:17:52,000] 要显示出
[00:17:52,000 -> 00:17:55,000] 显示出我是一个
[00:18:07,200 -> 00:18:09,640] 这样啊要不用whisky做个鸡尾酒吧
[00:18:09,640 -> 00:18:11,799] 然后再把鸡尾酒的故事讲出来嘛
[00:18:13,119 -> 00:18:14,000] 有些
[00:18:14,000 -> 00:18:14,319] 对啊
[00:18:14,319 -> 00:18:14,880] fashion吗
[00:18:17,799 -> 00:18:18,720] 我想想啊
[00:18:20,240 -> 00:18:23,000] 也要看那个妹子喜不喜欢重口味的东西
[00:18:23,000 -> 00:18:23,880] 假设不喜欢吧
[00:18:23,880 -> 00:18:25,519] 不喜欢重口味的东西假设不喜欢吧不喜欢重口味的东西啊
[00:18:26,440 -> 00:18:27,519] 我说什么三八
[00:18:27,519 -> 00:18:29,119] 你说什么
[00:18:41,960 -> 00:18:44,240] 语中不同就来一个语中不同的推荐吧
[00:18:44,240 -> 00:18:45,279] 语中不同推�一个语中不同的推荐吧语中不同推荐
[00:18:45,279 -> 00:18:45,880] 对就是
[00:18:45,880 -> 00:18:47,680] 像是有人说红色那么山奇
[00:18:47,680 -> 00:18:48,480] 对对对
[00:18:48,480 -> 00:18:49,279] 是的
[00:18:49,279 -> 00:18:50,279] 语中不同
[00:18:50,279 -> 00:18:50,680] 嗯
[00:18:52,279 -> 00:18:55,079] 这是可以用明弟式的黑麦
[00:18:55,079 -> 00:18:57,079] 或者是明弟式的那个双麦牙
[00:18:57,079 -> 00:18:58,079] 哇都没听过
[00:18:58,079 -> 00:18:58,680] 明弟式
[00:18:58,680 -> 00:18:59,680] 在后面
[00:18:59,680 -> 00:19:00,880] 好远
[00:19:00,880 -> 00:19:02,079] 下面有的
[00:19:02,079 -> 00:19:02,680] 没有没有
[00:19:02,680 -> 00:19:04,480] 在这个架子这个架子
[00:19:04,480 -> 00:19:05,000] 对这个有一个公仔后面的啊没事吗好遠下面有的沒有沒有就這個架子這個架子
[00:19:05,000 -> 00:19:06,000] 對這個
[00:19:06,000 -> 00:19:08,000] 有一個公仔後面的
[00:19:08,000 -> 00:19:09,000] 啊Mitchell嗎
[00:19:09,000 -> 00:19:12,000] 你看是不是有一瓶是黑麥威士忌
[00:19:12,000 -> 00:19:13,000] 哦對
[00:19:13,000 -> 00:19:15,000] 還是Straight Robin
[00:19:15,000 -> 00:19:16,000] 對對對
[00:19:16,000 -> 00:19:18,000] 所以這個就很裝嘛
[00:19:18,000 -> 00:19:19,000] 這個還好吧
[00:19:19,000 -> 00:19:21,000] 這個調酒很常用
[00:19:21,000 -> 00:19:24,000] 這個可以有不同的裝的方式
[00:19:24,000 -> 00:19:26,799] 它可裝的方式可以很多变
[00:19:27,559 -> 00:19:29,200] 这比如说你可以纯饮的装
[00:19:29,880 -> 00:19:31,400] 我想知道这个装
[00:19:31,400 -> 00:19:32,599] 这个到底是什么装
[00:19:33,279 -> 00:19:35,200] 你就想喝就说嘛 不要再
[00:19:35,200 -> 00:19:36,119] 没开了吗
[00:19:36,480 -> 00:19:37,920] 没啊 难说啊
[00:19:39,400 -> 00:19:40,599] 买了 切皮买了
[00:19:41,319 -> 00:19:42,079] 不用
[00:19:43,559 -> 00:19:46,160] 没有 这个纤木�干掉了 开不了
[00:19:46,160 -> 00:19:48,759] 让大家开吧
[00:19:48,759 -> 00:19:52,400] 真实情况
[00:19:52,400 -> 00:19:54,000] 这个有你没味吗
[00:19:54,000 -> 00:19:55,200] 没有你没味
[00:19:55,200 -> 00:19:57,920] 因为我之前有一本学鸡尾酒的书
[00:19:57,920 -> 00:20:00,000] 他应该推荐的那个
[00:20:00,000 -> 00:20:02,640] 调鸡尾酒的Bourbon是
[00:20:02,640 -> 00:20:08,440] Reyli是Eli Craig推荐的
[00:20:08,440 -> 00:20:11,039] 推荐的Rye就是他们的Rye
[00:20:11,039 -> 00:20:12,640] 哦,Mitchell's的Rye
[00:20:12,640 -> 00:20:14,440] 看我是不是很有品味
[00:20:14,440 -> 00:20:16,440] 但是我并不知道他为什么推荐
[00:20:16,440 -> 00:20:17,440] 他推荐我就买了
[00:20:17,440 -> 00:20:18,440] 也不贵,确实也不贵
[00:20:18,440 -> 00:20:20,240] 那我推荐我会说为什么吗
[00:20:20,240 -> 00:20:21,240] 对,为什么
[00:20:21,240 -> 00:20:22,640] 给大家看一下
[00:20:22,640 -> 00:20:27,000] 是来自于美国的米丽�师的黑麦威士忌
[00:20:27,000 -> 00:20:29,000] 为什么我说他装呢?
[00:20:29,000 -> 00:20:33,000] 因为我们可以把整个美国历史都可以在一杯酒里面讲完
[00:20:33,000 -> 00:20:34,000] 好吧
[00:20:34,000 -> 00:20:35,000] 讲
[00:20:36,000 -> 00:20:38,000] 没有,你闻这个
[00:20:43,000 -> 00:20:45,720] 你闻一下你先说你觉得有什么风味它是不是有一點水果的味道?你看,我聞一下啊
[00:20:45,720 -> 00:20:49,119] 你先說你覺得有什麼風味
[00:20:49,119 -> 00:20:53,319] 我的第一反應是蜂蜜,但是感覺比蜂蜜酸
[00:20:53,319 -> 00:20:56,880] 它比蜂蜜酸的那個更像酸麵包的味道吧
[00:20:56,880 -> 00:20:59,200] 嗯,還有呢?
[00:20:59,200 -> 00:21:01,200] 然後
[00:21:01,200 -> 00:21:03,200] 然後
[00:21:03,200 -> 00:21:05,759] 如果一下子闻不到的话
[00:21:05,759 -> 00:21:06,720] 它酒精度高嘛
[00:21:06,720 -> 00:21:08,599] 可以倒一点再手心
[00:21:08,599 -> 00:21:11,000] 然后再搓一下
[00:21:11,000 -> 00:21:11,720] 对
[00:21:11,720 -> 00:21:15,279] 你看这个是不是一个装的一个办法嘛
[00:21:15,279 -> 00:21:17,160] 啊你闻不到什么风味没关系
[00:21:17,160 -> 00:21:19,000] 哥哥教你哦
[00:21:20,880 -> 00:21:23,079] 上一闻感觉像洗手液的味道
[00:21:23,079 -> 00:21:27,200] 但是要保证我们手没有那个�手霜的味道的影响
[00:21:27,200 -> 00:21:28,000] 很明显的
[00:21:28,000 -> 00:21:36,200] 我现在怎么觉得是玉米面包的味道
[00:21:36,200 -> 00:21:38,400] OK,很有趣,为什么呢?
[00:21:38,400 -> 00:21:41,799] 为什么我会去问大家闻到什么香味
[00:21:41,799 -> 00:21:46,000] 因为黑麦威士忌这个品类本身就比较小众
[00:21:46,000 -> 00:21:49,000] 我们很容易可以去印象深刻
[00:21:49,000 -> 00:21:52,000] 就是令到大家会记得住我的选择
[00:21:52,000 -> 00:21:55,000] 第一个黑麦呢是在美国
[00:21:55,000 -> 00:21:59,000] 现在威士忌里面是可以走高端路线的一个谷物
[00:21:59,000 -> 00:22:00,000] 这是第一个 第二个
[00:22:00,000 -> 00:22:03,000] 为什么美国会出这个黑麦威士忌
[00:22:03,000 -> 00:22:07,839] 而且高端黑麦威士忌会越来越多是因为以前美国刚刚建国的时候
[00:22:07,839 -> 00:22:08,720] 其实它没什么人
[00:22:08,720 -> 00:22:11,359] 然后当时美国政府是鼓励很多移民
[00:22:11,359 -> 00:22:12,640] 包括爱尔兰的移民
[00:22:12,640 -> 00:22:13,759] 德国的移民
[00:22:13,759 -> 00:22:14,799] 意大利的移民
[00:22:14,799 -> 00:22:17,839] 去肯塔基这个地方去种很多的玉米
[00:22:17,839 -> 00:22:20,079] 所以为什么美国的波本威士忌
[00:22:20,079 -> 00:22:22,480] 它绝大部分的原材料是玉米
[00:22:22,480 -> 00:22:25,240] 其实当时很多人就觉得我能种玉米其實當時韓教授就覺得
[00:22:25,240 -> 00:22:26,839] 我能種玉米的地方
[00:22:26,839 -> 00:22:29,119] 其實黑麥它什麼植被都能種
[00:22:29,119 -> 00:22:30,279] 我也不是種黑麥
[00:22:30,279 -> 00:22:33,880] 因為黑麥它是哪裡都可以能夠種植
[00:22:33,880 -> 00:22:38,279] 而且我記得有一些做麵包的農田
[00:22:38,279 -> 00:22:40,720] 他們說你要種一年普通的麥子
[00:22:40,720 -> 00:22:41,759] 然後種一年Rye
[00:22:41,759 -> 00:22:42,759] 然後再空一年
[00:22:42,759 -> 00:22:46,920] 對 要去令到这个土地
[00:22:46,920 -> 00:22:49,880] 不能只是长期种植一种植物
[00:22:49,880 -> 00:22:52,480] 要不然它的营养就会没掉了
[00:22:52,480 -> 00:22:55,000] 像我10月份去法国干预的时候
[00:22:55,000 -> 00:22:55,680] 他们说对啊
[00:22:55,680 -> 00:22:57,279] 我们这个干预的葡萄树
[00:22:57,279 -> 00:22:59,200] 种了有几十年之后
[00:22:59,200 -> 00:22:59,920] 我们要换
[00:22:59,920 -> 00:23:01,079] 要变成橄榄
[00:23:01,079 -> 00:23:01,960] 要变成柠檬树
[00:23:01,960 -> 00:23:02,960] 要变成其他的东西的
[00:23:02,960 -> 00:23:03,680] 都会有
[00:23:03,680 -> 00:23:06,079] 那黑麦威士忌为什么我会去推荐
[00:23:06,079 -> 00:23:07,559] 第一 陈颖的话
[00:23:07,559 -> 00:23:09,519] 我去把那个再重置一下
