[00:00:00,000 -> 00:00:05,759] 就是你给他了一些data supported result
[00:16:46,200 -> 00:16:47,200] 这个信息就很好用
[00:16:47,200 -> 00:16:47,799] 它就告诉我
[00:16:47,799 -> 00:16:51,399] 我现在这个视频是比我过去的几个视频做的好还是不好
[00:16:51,399 -> 00:16:53,200] 在这个时的选择里是有一些讲究的
[00:16:53,200 -> 00:16:55,399] 就是我不care我过去的一百个视频里面
[00:16:55,399 -> 00:16:56,899] 这个视频排第几个
[00:16:56,899 -> 00:17:01,100] 我care是过去十个视频里面它排第几
[00:17:01,100 -> 00:17:04,799] 但真正排第几就是需要按照发布的时间来的
[00:17:04,799 -> 00:17:07,279] 可是你又没有办法控制你發布的那個時間點
[00:17:07,279 -> 00:17:10,039] 就有的時候大家都在一個時間打開
[00:17:10,039 -> 00:17:12,039] 但是起碼你有用的信息是
[00:17:12,039 -> 00:17:14,680] 當他發布了這麼長的Duration以後
[00:17:14,680 -> 00:17:17,000] 他的relative performance是什麼樣子
[00:17:19,000 -> 00:17:21,000] 我覺得這個還是
[00:17:21,000 -> 00:17:22,440] 我今天跟一個朋友聊
[00:17:22,440 -> 00:17:24,839] 就是我自己不是很喜歡玩遊戲
[00:17:24,839 -> 00:17:26,279] 但我又是做游戏的
[00:17:26,279 -> 00:17:26,960] 他就说不行
[00:17:26,960 -> 00:17:29,359] 你要去玩更多的游戏
[00:17:29,359 -> 00:17:30,319] 这是绝对不行的
[00:17:30,319 -> 00:17:32,640] 这是一个产品的DS或者PM
[00:17:32,640 -> 00:17:33,640] 如果不懂产品
[00:17:33,640 -> 00:17:34,759] 不喜欢产品的话
[00:17:34,759 -> 00:17:35,880] 他不可能做得好
[00:17:35,880 -> 00:17:40,480] 这个是谁跟我说
[00:17:40,480 -> 00:17:41,519] Otherwise我都不信
[00:17:41,519 -> 00:17:44,960] 对就是一个PM和一个产品DS
[00:17:44,960 -> 00:17:45,000] 如果对这个产品本身不够熟的话他说然我都不信對,就是一個PM和一個產品DS
[00:17:45,000 -> 00:17:47,000] 如果對這個產品本身不夠熟的話
[00:17:47,000 -> 00:17:49,000] 他說什麼我都不信
[00:17:50,000 -> 00:17:52,000] 確實是
[00:17:52,000 -> 00:17:54,000] 但是我暈3滴啊
[00:17:54,000 -> 00:17:57,000] 我打瘋了打一下我就會有點想吐
[00:17:58,000 -> 00:17:59,000] 可以吃暈船藥啊
[00:17:59,000 -> 00:18:01,000] 可以吃暈船藥,是的
[00:18:01,000 -> 00:18:02,000] 還是有很多可以做的事情
[00:18:02,000 -> 00:18:04,000] 我覺得還有這個減掉啊
[00:18:04,000 -> 00:18:06,000] 我覺得剛剛那個就是我们在讲
[00:18:06,000 -> 00:18:08,000] 哪个剪掉 余承斌
[00:18:08,000 -> 00:18:10,000] 就是我不喜欢玩游戏的事情
[00:18:10,000 -> 00:18:12,000] 我还是会每天都强迫自己玩一下
[00:18:12,000 -> 00:18:14,000] 我还是会很努力的玩游戏
[00:18:14,000 -> 00:18:16,000] 需要剪掉吗 不需要吧
[00:18:16,000 -> 00:18:18,000] 需要吗
[00:18:18,000 -> 00:18:20,000] 那你把我的脸打上马赛克
[00:18:20,000 -> 00:18:22,000] 我觉得还有一个
[00:18:22,000 -> 00:18:24,000] 好像刚才那一段打上马赛克
[00:18:24,000 -> 00:18:26,599] 我觉得还有一个好像就刚才那一段大家慢慢在做哈哈哈我觉得还有一个点啊
[00:18:26,599 -> 00:18:27,099] 就是说
[00:18:27,099 -> 00:18:29,400] 以为不愿意透露名字的
[00:18:29,400 -> 00:18:32,000] 就是还有一个还有一个就是
[00:18:32,500 -> 00:18:35,900] 好像我确实还是想要一个很完美的答案
[00:18:35,900 -> 00:18:37,299] 比如说其实没有
[00:18:37,299 -> 00:18:40,599] 对我完全可以问他你现在的
[00:18:40,859 -> 00:18:43,599] 就是你现在的decision making的过程中
[00:18:43,720 -> 00:18:46,339] 你是不是感受到了什么不顺畅的地方
[00:18:46,339 -> 00:18:48,339] 所以你才想要去完成
[00:18:48,339 -> 00:18:49,000] 这个问题太宽泛了
[00:18:49,000 -> 00:18:51,500] 我觉得就是我会问他的方式是
[00:18:51,500 -> 00:18:53,299] 我会可能拿几个选项来问他
[00:18:53,299 -> 00:18:54,799] 显得我也懂数据的样子
[00:18:54,799 -> 00:18:56,500] 就是你trust your data吗
[00:18:56,500 -> 00:19:01,500] 而且这个东西你听了就是背后很明显的lead to你工作的重点
[00:19:01,500 -> 00:19:03,500] 然后你觉得你想看的数据
[00:19:03,500 -> 00:19:04,700] 我们的数据库里有吗
[00:19:04,700 -> 00:19:09,839] 但是比如说他第一个问题我是知道他不trust我们的data
[00:19:09,839 -> 00:19:11,640] 对那就是data quality的问题
[00:19:11,640 -> 00:19:13,640] 那比如说那我要怎么解决呢
[00:19:13,640 -> 00:19:17,480] 就是首先你要survey他对吧就是你看的数据有没有
[00:19:17,480 -> 00:19:18,960] 然后你trust不trust我们的data
[00:19:18,960 -> 00:19:21,200] 然后你想要的data你能及时看到吗
[00:19:21,200 -> 00:19:26,220] 然后你觉得你这个data就是当他有了这些数据了以后
[00:19:26,220 -> 00:19:28,539] 你能用正确的方式去看他们吗
[00:19:28,539 -> 00:19:30,059] 你觉得这些data有insight吗
[00:19:30,059 -> 00:19:31,660] 我觉得是四个层次的问题
[00:19:31,660 -> 00:19:33,140] 在你不trust data的情况下
[00:19:33,140 -> 00:19:35,140] 你是不可能让data产生insight的
[00:19:35,140 -> 00:19:38,660] 所以说你这个时候就再带入你的一些专业知识
[00:19:38,660 -> 00:19:40,099] 去跟他说我们现在
[00:19:40,099 -> 00:19:41,380] 如果说你不trust data
[00:19:41,380 -> 00:19:43,420] 我以我专业的角度来说
[00:19:43,420 -> 00:19:46,000] 我觉得我最应该解决data quality的问题
[00:19:46,000 -> 00:19:50,000] 对啊 但是我不会解决data quality的问题
[00:19:50,000 -> 00:19:52,000] data quality的问题
[00:19:52,000 -> 00:19:54,000] 所有的东西都是你们的代码产生的
[00:19:54,000 -> 00:19:56,000] 只要你找到那个代码
[00:19:56,000 -> 00:19:58,000] 你一定可以找到最根本的数据是什么
[00:19:58,000 -> 00:20:00,000] 这看你的
[00:20:00,000 -> 00:20:02,000] 这看你的mischief
[00:20:02,000 -> 00:20:08,000] 就是如果说你能去跟那个产生这个数据的那个程序员
[00:20:08,000 -> 00:20:10,000] 就是他写的这行代码产生了这个数据的程序员聊
[00:20:10,000 -> 00:20:14,000] 你一定能知道这个数据代表的是什么意思
[00:20:14,000 -> 00:20:17,000] 但是我们当时因为是有很多数据嘛
[00:20:17,000 -> 00:20:21,000] 所以我做的事情其实更多的是在做一个Data的Health Check
[00:20:21,000 -> 00:20:23,000] 就在做一些
[00:20:23,000 -> 00:20:26,000] 这我觉得就是表面功夫
[00:20:26,000 -> 00:20:28,000] 就是你没有get to the codes
[00:20:28,000 -> 00:20:30,000] 就是我觉得如果说
[00:20:30,000 -> 00:20:32,000] 如果当有人不trust这个data的话
[00:20:32,000 -> 00:20:34,000] 你一定要想方设法的知道
[00:20:34,000 -> 00:20:36,000] 这个data是哪行code产生的
[00:20:36,000 -> 00:20:38,000] 但是它有很多很多data
[00:20:38,000 -> 00:20:40,000] 那就从最重要的那一个开始做
[00:20:40,000 -> 00:20:42,000] 就那一个数据
[00:20:42,000 -> 00:20:44,000] 比如说你们的收入
[00:20:44,000 -> 00:20:46,000] 就是想方设法的找到哪些数据比如说你们的收入这是想方设法来找到
[00:20:46,000 -> 00:20:48,000] 哪些数据
[00:20:48,000 -> 00:20:50,000] 怎么通过什么样的链路
[00:20:50,000 -> 00:20:52,000] 产生了这个收入的
[00:20:52,000 -> 00:20:54,000] 这行数
[00:20:54,000 -> 00:20:56,000] 这中间你会发现无数无数可以做的问题
[00:20:56,000 -> 00:20:58,000] 这是他如果说
[00:20:58,000 -> 00:21:00,000] 对的那你也知道了你们所有数据的血源
[00:21:00,000 -> 00:21:02,000] 就最重要的数据的血源是什么
[00:21:02,000 -> 00:21:04,000] 如果说他不对的话
[00:21:04,000 -> 00:21:06,359] 那你也找到了很多就是需要fix的东西
[00:21:06,359 -> 00:21:09,680] 而且你得到了code
[00:21:09,680 -> 00:21:12,319] 你可以win任何argument
[00:21:12,319 -> 00:21:14,920] 就是有任何的人跟你说是哪样的
[00:21:14,920 -> 00:21:16,160] 你都可以show them the code
[00:21:16,160 -> 00:21:19,720] 就是我这个数据就是这么来的
[00:21:19,720 -> 00:21:20,640] 我是对的
[00:21:23,640 -> 00:21:30,000] 我觉得就是你可能在职业生涯早期就是我所说的所谓的需要有靠谱的execution就这个意思
[00:21:31,000 -> 00:21:40,000] 但是这个问题的难点就在于我的老板可能并不要求我去把这个code翻出来
[00:21:40,000 -> 00:21:42,000] 这是你对自己的要求
[00:21:42,000 -> 00:21:45,000] 对他就会说你就是you don't have to get down the rabbit hole
[00:21:45,000 -> 00:21:48,000] 但是我是不是就應該get down the rabbit hole
[00:21:48,000 -> 00:21:49,000] 我覺得是的
[00:21:51,000 -> 00:21:54,000] 不然呢不然怎麼知道你怎麼能trust your data呢
[00:21:58,000 -> 00:22:00,000] 就是除非你有很多cross check的方式
[00:22:00,000 -> 00:22:05,000] 但是每一行就是所有的cross check的数据都不值得信任的话
[00:22:05,000 -> 00:22:07,000] 我同意你的方法就是确实是
[00:22:07,000 -> 00:22:08,000] 这件事没那么难
[00:22:08,000 -> 00:22:10,000] 该测的code没这么难
[00:22:10,000 -> 00:22:12,000] 我觉得这是一个一周的活
[00:22:12,000 -> 00:22:14,000] 就除非你找不到人
[00:22:14,000 -> 00:22:15,000] 就是如果能找到人的话
[00:22:15,000 -> 00:22:16,000] 这是一个一周的活
[00:22:16,000 -> 00:22:20,000] 我觉得现在还有一个问题就是
[00:22:20,000 -> 00:22:22,000] 就是你这个数就是一个SQL产生的
[00:22:22,000 -> 00:22:26,359] 然后这个SQL会指向一个数据库然后那个数据库是有人做出来的这也是C库产生的然后这个C库会指向一个数据库
[00:22:26,359 -> 00:22:28,240] 然后那个数据库是有人做出来的
[00:22:28,240 -> 00:22:29,400] 这也是一个ETL产生的
[00:22:29,400 -> 00:22:30,640] 然后你就去看那个ETL
[00:22:30,640 -> 00:22:32,920] 那个ETL最后就会指向一堆Login Data
[00:22:32,920 -> 00:22:34,880] 然后这个Login Data是有人去做出来的
[00:22:34,880 -> 00:22:37,200] 然后你就去看怎么产生的这个Login Data
[00:22:37,200 -> 00:22:38,240] 一个周就搞定了
[00:22:38,240 -> 00:22:40,160] 只要你能找到正确的未来
[00:22:42,720 -> 00:22:44,519] 好吧 我想了想就觉得
[00:22:46,240 -> 00:22:52,359] 这很复杂就比如说我可能花了一个周的时间才搞清楚这个database里面的东西
[00:22:52,359 -> 00:22:55,359] 不然你会花一年的时间还不知道正确答案是什么
[00:22:55,359 -> 00:22:57,359] 这周绝对值得花
[00:22:57,359 -> 00:23:00,599] 你说的 我觉得那是可能这个工作量可能要一个月
[00:23:00,599 -> 00:23:02,880] 但是一个月也是值得的
[00:23:02,880 -> 00:23:03,920] 我觉得是值得的
[00:23:03,920 -> 00:23:07,000] 而且这一个月不是说你搞清楚这件事情
[00:23:07,000 -> 00:23:11,000] 是把你的这个Linux的Data的序源给画清楚了
[00:23:11,000 -> 00:23:12,000] 我觉得这个还是挺重要的
[00:23:12,000 -> 00:23:14,000] 就是我老板没有对我有这么高的要求
[00:23:14,000 -> 00:23:16,000] 但是确实如果这一步不搞好的话
[00:23:16,000 -> 00:23:18,000] 我们就一直在做一些cross-track
[00:23:18,000 -> 00:23:22,000] 这是一个可以让你经验你的老板和经验你老板的老板
[00:23:22,000 -> 00:23:26,099] 和所有人都对你产生respect的方式
[00:23:27,700 -> 00:23:28,000] 那你是怎么意识到这一点
[00:23:30,200 -> 00:23:30,960] 不是这是这件事情的唯一正确方式在我看来
[00:23:32,059 -> 00:23:33,500] 不然呢不然什么是正确方式
[00:23:33,500 -> 00:23:36,099] 所以我在做我在做cross check的时候
[00:23:36,539 -> 00:23:38,059] 我自己也觉得就是
[00:23:38,059 -> 00:23:38,660] bullshit
[00:23:38,740 -> 00:23:39,900] 就是也不是bullshit
[00:23:39,900 -> 00:23:42,359] 就是好像没有那么有说服力
[00:23:42,559 -> 00:23:44,259] 但是我又要去做这件事情
[00:23:44,259 -> 00:23:46,900] 然后我就会就觉得有点奇怪
[00:23:46,900 -> 00:23:49,339] 就是你在拿一堆近似的东西
[00:23:49,339 -> 00:23:50,900] 然后你全都不确定正确
[00:23:50,900 -> 00:23:54,039] 然后去试图去verify一个东西是对的
[00:23:54,039 -> 00:23:55,140] 不如直接去
[00:23:55,400 -> 00:23:57,940] 就是code这件事情是不会说谎的
[00:23:57,940 -> 00:23:59,700] 所以说你明明是有一个
[00:23:59,700 -> 00:24:00,799] 真实的情况在那里
[00:24:00,799 -> 00:24:02,140] 只要花点时间都可以找到他
[00:24:02,140 -> 00:24:03,640] 干嘛不去找嗯
[00:24:03,900 -> 00:24:04,640] 你说的也有道理
[00:24:04,640 -> 00:24:06,500] 而且这个问题迟到是会出现的
[00:24:06,500 -> 00:24:08,500] 就现在不出现它之后也会出现
[00:24:08,500 -> 00:24:11,559] 你还不如在这个系统还没有完全建立之前
[00:24:11,559 -> 00:24:13,200] 这是我对我们
[00:24:13,200 -> 00:24:16,200] 我们数据工程同学的
[00:24:16,200 -> 00:24:17,500] 最基础的要求
[00:24:17,500 -> 00:24:20,460] 就是你要知道你这个指标它是哪
[00:24:20,460 -> 00:24:21,859] 它是怎么产生的
[00:24:21,859 -> 00:24:23,359] 嗯
[00:24:26,000 -> 00:24:28,000] 这是一个不合理的要求吗
[00:24:28,000 -> 00:24:30,000] 我觉得这是一个很合理的要求
[00:24:30,000 -> 00:24:32,000] 我觉得这是一个很合理的要求
[00:24:32,000 -> 00:24:34,000] 只是
[00:24:34,000 -> 00:24:36,000] 就是它的难度还是很大的
[00:24:36,000 -> 00:24:38,000] 这不是那么简单
[00:24:38,000 -> 00:24:40,000] 所以可能对我来说
[00:24:40,000 -> 00:24:42,000] 就是它的压力就会很大
[00:24:42,000 -> 00:24:44,000] 好吧我现在告诉你
[00:24:44,000 -> 00:24:45,500] 这个是一个值得投入时间解决的问题
[00:24:45,500 -> 00:24:49,000] 而且在这个解决问题的过程中,你能阐述很多有益的结果
[00:24:49,000 -> 00:24:51,000] 你可以选择信或者不信
[00:24:51,000 -> 00:24:55,000] 我信了,我当然是信了,我只是,我觉得很对
[00:24:55,000 -> 00:25:00,000] 就比如说我们还有一个问题,就是当初写这个code的人可能就已经不在了
[00:25:00,000 -> 00:25:02,000] 这也是需要解决的问题
[00:25:02,000 -> 00:25:03,000] 所以大家就
[00:25:03,000 -> 00:25:06,200] 这是一个需要解决且可能值得解决的问题
[00:25:06,200 -> 00:25:09,400] 可能值得解决是看你们culture到底是什么样子的
[00:25:09,400 -> 00:25:11,000] 但是在我看来这绝对是
[00:25:11,000 -> 00:25:13,299] 就是既然这个人不在了
[00:25:13,299 -> 00:25:16,200] 既然没有人知道就是truth是什么
[00:25:16,200 -> 00:25:20,000] 难道找到这个truth的人不是值得更多的鼓励吗
[00:25:20,000 -> 00:25:20,599] 嗯
[00:25:21,400 -> 00:25:23,400] 当然这里面可能要有一些技巧
[00:25:23,400 -> 00:25:28,799] 就是你怎么样子要让老板答应你这件事情的价值和难度
[00:25:28,799 -> 00:25:32,559] 然后在你做这件事情的时候老板能给你相应的时间
[00:25:32,559 -> 00:25:37,039] 然后你真的做好这件事情老板也能给你对应的recognition
[00:25:37,039 -> 00:25:41,519] 比如说我靠着我自己的experience
[00:25:41,519 -> 00:25:50,559] 我其实是很难得到这个结论的比如说当我老板跟我说,你不需要给他们说的code,你只要做一些cross check就好了的时候
[00:25:50,559 -> 00:25:53,880] 现在像你一样的同学,看了这些视频就知道了
[00:25:53,880 -> 00:25:59,000] 我是很难,因为这个事情其实并不容易
[00:25:59,000 -> 00:26:03,200] 它不只是说技术上难,而且是流程上也很难
[00:26:03,200 -> 00:26:06,720] 就是本来这些东西就是分散在很多很多个数据库里面
[00:26:06,720 -> 00:26:09,519] 有不同的人在不同的时间写进来的
[00:26:09,519 -> 00:26:13,240] 但是确实大家都对这个东西是不comfortable的
[00:26:13,240 -> 00:26:15,440] 但是大家都对这些事情不comfortable
[00:26:15,440 -> 00:26:17,200] 那你就去找几个最不comfortable
[00:26:17,200 -> 00:26:19,000] 然后他们影响力又足够大的人
[00:26:19,000 -> 00:26:20,720] 然后你去跟他们说
[00:26:20,720 -> 00:26:22,559] 我现在觉得有这样这样的问题
[00:26:22,559 -> 00:26:24,799] 然后你可能会找到那么一两个case
[00:26:24,799 -> 00:26:25,640] 说这个问题你估计有多大这就是我说的所谓20%对吧你不能跟他们说我现在觉得有这样这样的问题然后你可能会找到那么一两个case
[00:26:25,640 -> 00:26:28,160] 说这个问题你估计有多大
[00:26:28,160 -> 00:26:30,160] 这就是我说的所谓20%对吧
[00:26:30,160 -> 00:26:32,000] 你不能跟他们说你觉得有一个问题
[00:26:32,000 -> 00:26:33,759] 你要说你有一个问题
[00:26:33,759 -> 00:26:35,200] 且这里有一些你没收到证据
[00:26:35,200 -> 00:26:36,880] 然后还有一点点的问题
[00:26:36,880 -> 00:26:39,279] 他已经显示这个问题很重要了
[00:26:39,279 -> 00:26:41,200] 你觉得我们需不需要去解决他
[00:26:41,200 -> 00:26:44,039] 我觉得你解决了这个困扰了我好几个月的问题
[00:26:44,039 -> 00:26:45,799] 我一直在想实习的时候好的这期视频已经可以到这里了
[00:26:45,799 -> 00:26:49,799] 我实习的时候就是遇到了这个问题我想完了
[00:26:49,799 -> 00:26:53,599] 我到时候回去工作如果还让我负责这件事情我怎么搞
[00:26:53,599 -> 00:26:55,000] 对
[00:26:55,000 -> 00:26:56,599] 但这个确实是一个问题
[00:26:56,599 -> 00:26:57,799] 听懂了刚才的事情吧
[00:26:57,799 -> 00:26:59,299] 就是有几个点很关键
[00:26:59,299 -> 00:27:00,799] 第一个是得到recognition
[00:27:00,799 -> 00:27:02,700] 就第一个这件事我觉得是对的
[00:27:02,700 -> 00:27:04,900] 但是不是所有人一上来都认为它是对的
[00:27:04,900 -> 00:27:06,000] 所以说你要raise awareness然后raise awareness就是你已经说了大家都觉得不comfortable首先,你必须提高自己的意识首先,你必须提高自己的意识首先,你必须提高自己的意识
[00:27:06,000 -> 00:27:08,000] 首先,你必须提高自己的意识
[00:27:08,000 -> 00:27:10,000] 首先,你必须提高自己的意识
[00:27:10,000 -> 00:27:12,000] 首先,你必须提高自己的意识
[00:27:12,000 -> 00:27:14,000] 首先,你必须提高自己的意识
[00:27:14,000 -> 00:27:16,000] 首先,你必须提高自己的意识
[00:27:16,000 -> 00:27:18,000] 首先,你必须提高自己的意识
[00:27:18,000 -> 00:27:20,000] 首先,你必须提高自己的意识
[00:27:20,000 -> 00:27:22,000] 首先,你必须提高自己的意识
[00:27:22,000 -> 00:27:24,000] 首先,你必须提高自己的意识
[00:27:24,000 -> 00:27:26,240] 首先,你必须提高自己的意识是这么困难但是这个问题就在于我没有信心要求这么多的resources
[00:27:26,240 -> 00:27:28,400] 要求这么多的时间去做这件事情
[00:27:28,400 -> 00:27:29,440] 在之前的话
[00:27:29,940 -> 00:27:31,740] 我没有得到一个confirmation
[00:27:31,740 -> 00:27:33,099] 你的resources是什么
[00:27:33,099 -> 00:27:34,299] 是找人帮你做吗
[00:27:34,440 -> 00:27:36,240] 就是一个人给你一个令牌呗
[00:27:36,240 -> 00:27:37,400] 然后你拿这个令牌说
[00:27:37,539 -> 00:27:39,900] 我也要我也要free up我的时间
[00:27:39,900 -> 00:27:41,240] 就我要跟我老板说
[00:27:41,240 -> 00:27:43,559] 你的时间真的在产生那么大的价值吗
[00:27:43,940 -> 00:27:45,200] 不是就是我的老板我要跟他说我产生那么大的价值吗不是就是我的老板
[00:27:45,200 -> 00:27:48,319] 我要跟他说我做这件事情是有价值的
[00:27:48,319 -> 00:27:49,279] 我不可以
[00:27:49,279 -> 00:27:51,039] 就比如说你做一个cross track
[00:27:51,039 -> 00:27:52,400] 可能就是一个星期的事情
[00:27:52,400 -> 00:27:54,319] 但是如果我做一个这样的东西
[00:27:54,319 -> 00:27:56,680] 我可能就要去找很多engineer
[00:27:56,680 -> 00:27:58,319] 然后我要不停的去联系他们说
[00:27:58,319 -> 00:28:00,680] 你帮我看一下这个code从哪里来的
[00:28:00,680 -> 00:28:02,079] 他们又要花他们的时间
[00:28:02,079 -> 00:28:03,200] 这个问题已经讨论过了
[00:28:03,200 -> 00:28:04,279] 反正我的答案就是说
[00:28:04,279 -> 00:28:06,000] 你在过程中想方设法的进行
[00:28:06,000 -> 00:28:07,000] 是接单性的产出
[00:28:07,000 -> 00:28:10,000] 对接单性的产出我觉得做这件事不难产出
[00:28:10,000 -> 00:28:14,000] 但是这个问题就是我在我在想为什么我之前做不到的原因
[00:28:14,000 -> 00:28:18,000] 就是因为我没有得到一个很有力的
[00:28:18,000 -> 00:28:20,000] 就是你的confirmation说这个事情必须要这么做
[00:28:20,000 -> 00:28:24,000] 我频道里面很多事情都是大家已经知道的事情
[00:28:24,000 -> 00:28:25,299] 然后我重新说一遍
[00:28:25,299 -> 00:28:28,599] 但是大家因为在工作中有各种各样的原因
[00:28:28,599 -> 00:28:31,900] 不会觉得自己想的那个东西是对的
[00:28:31,900 -> 00:28:34,000] 然后我告诉大家好像
[00:28:34,000 -> 00:28:37,000] 就是反正起码提供一个data point说这个事情是对的
[00:28:37,000 -> 00:28:38,000] 大家就去做吧
[00:28:38,000 -> 00:28:40,599] 我觉得这也是很多东西的意义
[00:28:40,599 -> 00:28:43,799] 我觉得今天解决了一个问题
[00:28:43,799 -> 00:28:46,000] 就比如说就解决了我的问题
[00:28:46,000 -> 00:28:48,000] 就是我要怎么样improve这个data quality的问题
[00:28:48,000 -> 00:28:52,000] 如果我以后工作中还遇到这样的事情
[00:28:52,000 -> 00:28:55,000] 就比如说我不知道应该从什么地方下手
[00:28:55,000 -> 00:28:57,000] 然后老板给我的direction
[00:28:57,000 -> 00:28:59,000] 其实我也没有那么comfortable
[00:28:59,000 -> 00:29:03,000] 但是我又没有足够的experience去正确的做法是什么的时候
[00:29:03,000 -> 00:29:05,900] 那我在這個情況下
[00:29:05,900 -> 00:29:07,400] 就來看我的視頻就對了
[00:29:07,400 -> 00:29:08,900] 就來看你的視頻就好了
[00:29:10,000 -> 00:29:11,299] 在我頻道下面請問
