[00:00:00,000 -> 00:00:02,680] 我突然明白了孙总见我的真正意义
[00:13:47,200 -> 00:13:48,000] 对对对
[00:13:48,000 -> 00:13:51,320] 就你往往想特别想得到
[00:13:51,320 -> 00:13:52,480] 这王牌是我的结果
[00:13:52,480 -> 00:13:54,240] 往往想得到的时候
[00:13:54,240 -> 00:13:55,360] 就得不到
[00:13:55,360 -> 00:13:57,399] 因为我好像见过你在康城追妹子的
[00:13:57,399 -> 00:13:59,039] 手法
[00:13:59,039 -> 00:13:59,799] 不是很克制
[00:13:59,799 -> 00:14:02,000] 但是可能还有个人这么多天没见了
[00:14:02,000 -> 00:14:03,200] 应该已经
[00:14:03,200 -> 00:14:03,879] 来
[00:14:05,399 -> 00:14:06,799] 应该已经level已经上去了
[00:14:06,799 -> 00:14:07,200] 对吧
[00:14:07,200 -> 00:14:07,799] 对
[00:14:07,799 -> 00:14:08,799] 但是从结果来看呢
[00:14:08,799 -> 00:14:09,799] 可能也不太克制
[00:14:09,799 -> 00:14:10,799] 哈哈哈
[00:14:12,000 -> 00:14:14,200] 但是克制是让对方也知道
[00:14:15,000 -> 00:14:17,200] 你是对对对方有特别好感
[00:14:17,200 -> 00:14:18,399] 但是又能克制
[00:14:19,000 -> 00:14:20,000] 这个就很关键
[00:14:21,000 -> 00:14:22,600] 不克制就显得很轻浮
[00:14:22,600 -> 00:14:23,399] 哈哈哈
[00:14:23,399 -> 00:14:24,000] 哎对
[00:14:24,000 -> 00:14:26,639] 就让人觉得你是不是见人不如见到喜欢的
[00:14:26,639 -> 00:14:27,559] 就是喜欢的
[00:14:27,559 -> 00:14:30,240] 太对不起了
[00:14:30,240 -> 00:14:31,600] 今天打击了王博山
[00:14:31,600 -> 00:14:33,200] 你怎么打击他
[00:14:33,200 -> 00:14:34,759] 你们吃饭的时候说了他啥
[00:14:34,759 -> 00:14:39,919] 要不在身边多待几天
[00:14:39,919 -> 00:14:41,200] 介绍一下
[00:14:41,200 -> 00:14:42,840] 挺好的
[00:14:42,840 -> 00:14:44,879] 重拾一下感情的价值
[00:14:44,879 -> 00:14:45,480] 今天连个线
[00:14:45,480 -> 00:14:46,519] 你们交流好不好
[00:14:47,360 -> 00:14:48,960] 你们把我当成个案例
[00:14:48,960 -> 00:14:50,320] 你们好好聊好不好
[00:14:50,320 -> 00:14:51,399] 我先撤了
[00:14:52,000 -> 00:14:53,159] 我们已经有结果了
[00:14:53,159 -> 00:14:54,080] 不需要再聊了
[00:14:54,080 -> 00:14:55,159] 我们聊这个干嘛
[00:14:55,840 -> 00:14:56,600] 我不孝心
[00:14:56,600 -> 00:14:57,159] 死了
[00:14:57,159 -> 00:14:57,679] 你呢
[00:15:03,519 -> 00:15:04,639] 刚刚晚上干嘛去了
[00:15:04,639 -> 00:15:05,840] 唱NK唱NK之后我就带他去吃排鸟朋友set up了吗还是说就是班滿你幹嘛去了唱K
[00:15:05,840 -> 00:15:08,200] 唱完K之後我就帶他去吃海底撈
[00:15:08,200 -> 00:15:09,120] 朋友set up了嗎
[00:15:09,120 -> 00:15:09,720] 還是說就
[00:15:09,720 -> 00:15:10,360] 沒有set up
[00:15:10,360 -> 00:15:12,159] 我最後抓了幾個
[00:15:12,159 -> 00:15:13,200] 抓了幾個重點
[00:15:13,200 -> 00:15:14,000] 重點他
[00:15:14,000 -> 00:15:15,639] 真的是單獨去吃海底撈
[00:15:15,639 -> 00:15:16,639] 那有四個人嗎
[00:15:16,639 -> 00:15:17,240] 四個人
[00:15:17,240 -> 00:15:17,840] 你好
[00:15:17,840 -> 00:15:19,200] Super sour and grunny是哪一位
[00:15:19,200 -> 00:15:19,840] 對我
[00:15:21,240 -> 00:15:22,240] 找了重點人
[00:15:22,240 -> 00:15:23,600] 反正都跟他有關係的
[00:15:23,600 -> 00:15:24,320] 然後
[00:15:24,320 -> 00:15:25,639] Clubbers跟Clubbing
[00:15:25,639 -> 00:15:28,080] 就是有一个Rum
[00:15:28,080 -> 00:15:30,200] 然后再送班兰叶
[00:15:30,200 -> 00:15:31,440] 我只想要Rum
[00:15:31,440 -> 00:15:32,360] 对 班兰叶
[00:15:32,360 -> 00:15:34,000] 就只有你一个人
[00:15:34,000 -> 00:15:34,759] 等等等等
[00:15:34,759 -> 00:15:36,320] 然后一个Mindy Julie
[00:15:36,320 -> 00:15:37,799] 这是我的
[00:15:39,799 -> 00:15:41,960] 它上面的话是有一个巧克力
[00:15:41,960 -> 00:15:43,679] 没事 我可以帮你尝
[00:15:43,679 -> 00:15:45,320] 我吃这个巧克力然后再放这个没事 我可以帮你尝不过我吃这个巧克力
[00:15:46,399 -> 00:15:47,240] 不吃了
[00:15:47,799 -> 00:15:48,639] 太甜了
[00:15:48,639 -> 00:15:50,399] 你那个有点像老时尚
[00:15:50,399 -> 00:15:51,440] 它那个巧克力
[00:15:51,440 -> 00:15:51,759] 那个巧克力
[00:15:51,759 -> 00:15:51,799] 那个巧克力
[00:15:51,799 -> 00:15:51,840] 那个巧克力
[00:15:51,840 -> 00:15:51,879] 那个巧克力
[00:15:51,879 -> 00:15:51,919] 那个巧克力
[00:15:51,919 -> 00:15:51,960] 那个巧克力
[00:15:51,960 -> 00:15:52,000] 那个巧克力
[00:15:52,000 -> 00:15:52,039] 那个巧克力
[00:15:52,039 -> 00:15:52,120] 那个巧克力
[00:15:52,120 -> 00:15:52,159] 那个巧克力
[00:15:52,159 -> 00:15:52,200] 那个巧克力
[00:15:52,200 -> 00:15:52,240] 那个巧克力
[00:15:52,240 -> 00:15:52,279] 那个巧克力
[00:15:52,279 -> 00:15:52,320] 那个巧克力
[00:15:52,320 -> 00:15:52,360] 那个巧克力
[00:15:52,360 -> 00:15:52,399] 那个巧克力
[00:15:52,399 -> 00:15:52,440] 那个巧克力
[00:15:52,440 -> 00:15:52,480] 那个巧克力
[00:15:52,480 -> 00:15:52,519] 那个巧克力
[00:15:52,519 -> 00:15:52,559] 那个巧克力
[00:15:52,559 -> 00:15:52,600] 那个巧克力
[00:15:52,600 -> 00:15:52,639] 那个巧克力
[00:15:52,639 -> 00:15:52,679] 那个巧克力
[00:15:52,679 -> 00:15:52,720] 那个巧克力
[00:15:52,720 -> 00:15:52,759] 那个巧克力
[00:15:52,759 -> 00:15:52,799] 那个巧克力
[00:15:52,799 -> 00:15:52,840] 那个巧克力
[00:15:52,840 -> 00:15:52,919] 那个巧克力
[00:15:52,919 -> 00:15:52,960] 那个巧克力
[00:15:52,960 -> 00:15:53,000] 那个巧克力
[00:15:53,000 -> 00:15:53,039] 那个巧克力
[00:15:53,039 -> 00:15:53,080] 那个巧克力
[00:15:53,080 -> 00:15:53,120] 那个巧克力
[00:15:53,120 -> 00:15:53,159] 那个巧克力
[00:15:53,159 -> 00:15:53,200] 那个巧克力
[00:15:53,200 -> 00:15:53,240] 那个巧克力
[00:15:53,240 -> 00:15:53,320] 那个巧克力
[00:15:53,320 -> 00:15:53,399] 那个巧克力
[00:15:53,399 -> 00:15:53,440] 那个巧克力
[00:15:53,440 -> 00:15:53,480] 那个巧克力
[00:15:53,480 -> 00:15:53,519] 那个巧克力
[00:15:53,519 -> 00:15:53,559] 那个巧克力
[00:15:53,559 -> 00:15:53,600] 那个巧克力
[00:15:53,600 -> 00:15:53,639] 那个巧克力
[00:15:53,639 -> 00:15:53,679] 那个巧克力
[00:15:53,679 -> 00:15:53,720] 那个巧克力
[00:15:53,720 -> 00:15:53,759] 那个巧克力
[00:15:53,759 -> 00:15:53,799] 那个巧克力
[00:15:53,799 -> 00:15:53,840] 那个巧克力
[00:15:53,840 -> 00:15:53,919] 那个巧克力
[00:15:53,919 -> 00:15:53,960] 那个巧克力
[00:15:53,960 -> 00:15:54,039] 那个巧克力
[00:15:54,039 -> 00:15:54,120] 那个巧克力
[00:15:54,120 -> 00:15:54,159] 那个巧克力
[00:15:54,159 -> 00:15:54,200] 那个巧克力
[00:15:54,200 -> 00:15:54,240] 那个巧克力
[00:15:54,240 -> 00:15:54,320] 那个巧克力
[00:15:54,320 -> 00:15:54,399] 那个巧克力
[00:15:54,399 -> 00:15:54,480] 那个巧克力
[00:15:54,480 -> 00:15:54,559] 那个巧克力
[00:15:54,559 -> 00:15:54,639] 那个巧克力
[00:15:54,639 -> 00:15:54,679] 那个巧克力
[00:15:54,679 -> 00:16:06,000] 那个巧克力那个那你就还可以 还不错Super sour你要尝一下吗
[00:16:06,000 -> 00:16:08,000] 你在这喝
[00:16:10,000 -> 00:16:12,000] 我今天刚检测了阳性
[00:16:12,000 -> 00:16:13,000] 这样还不错
[00:16:13,000 -> 00:16:14,000] 其实挺好喝的
[00:16:14,000 -> 00:16:16,000] 你去哪检测的呀
[00:16:16,000 -> 00:16:19,000] 我还去Hong Kong那个Airport检测的
[00:16:19,000 -> 00:16:21,000] 什么阳性你先说清楚
[00:16:21,000 -> 00:16:22,000] 阳性
[00:16:22,000 -> 00:16:23,000] 什么阳性
[00:16:23,000 -> 00:16:24,000] 对啊 我操
[00:16:24,000 -> 00:16:25,159] 好多东西都可以阳
[00:16:26,960 -> 00:16:27,440] 你到底测什么病毒你说一下
[00:16:29,120 -> 00:16:30,639] 最近好多人
[00:16:32,320 -> 00:16:33,759] 前两天那个就是啥病
[00:16:34,799 -> 00:16:39,679] 啥病啊
[00:16:40,240 -> 00:16:41,360] 所以保持正面
[00:16:41,360 -> 00:16:42,080] 我觉得就是
[00:16:42,080 -> 00:16:42,919] 作为个人
[00:16:42,919 -> 00:16:44,080] 如果真的待在深圳的话
[00:16:44,080 -> 00:16:45,759] 应该可以给他介绍不少美食的
[00:16:45,759 -> 00:16:48,480] 我这不就是现在了解她了吗
[00:16:48,480 -> 00:16:51,440] 完了就先了解她的花俏
[00:16:51,440 -> 00:16:52,639] 花俏半天花俏
[00:16:52,639 -> 00:16:53,600] 再帮她去评价
[00:16:53,600 -> 00:16:54,879] 评价到底哪里
[00:16:54,879 -> 00:16:57,679] 评价过程是吧
[00:16:57,679 -> 00:16:59,039] 为啥
[00:16:59,039 -> 00:17:02,080] 你为什么会这么觉得很好奇
[00:17:02,080 -> 00:17:03,679] 我去把那个灯打开
[00:17:03,679 -> 00:17:06,000] 她是把灯我先闪一下吧
[00:17:07,000 -> 00:17:08,000] 他是把灯关了吗深圳怎么
[00:17:08,000 -> 00:17:09,000] 为什么
[00:17:09,000 -> 00:17:10,000] 深圳
[00:17:10,000 -> 00:17:11,000] 深圳
[00:17:11,000 -> 00:17:12,000] 那不特别吗
[00:17:12,000 -> 00:17:14,000] 你就附和了
[00:17:14,000 -> 00:17:16,000] 那我觉得是啥
[00:17:16,000 -> 00:17:17,000] 因为
[00:17:17,000 -> 00:17:18,000] 因为
[00:17:18,000 -> 00:17:19,000] 打个比方
[00:17:19,000 -> 00:17:20,000] 你在深圳这种圈子
[00:17:20,000 -> 00:17:21,000] 熟人的圈子里面
[00:17:21,000 -> 00:17:22,000] 你认识到的女生
[00:17:22,000 -> 00:17:24,000] 那一定是经过熟人的筛选
[00:17:24,000 -> 00:17:25,160] 我们都筛选过都筛选过了
[00:17:25,160 -> 00:17:27,480] 筛选过就像对吧
[00:17:27,480 -> 00:17:30,079] 高位的情况是一样的
[00:17:30,079 -> 00:17:32,359] 筛选过你的成功率会高很多
[00:17:32,359 -> 00:17:32,960] 嗯
[00:17:33,319 -> 00:17:34,640] 比你在大海
[00:17:34,640 -> 00:17:35,480] 当然了
[00:17:35,480 -> 00:17:36,839] 比你这里有小鲜肉
[00:17:36,839 -> 00:17:40,440] 而且这个设置的时机又很合适
[00:17:40,440 -> 00:17:42,400] 就会给你们创造一些
[00:17:43,240 -> 00:17:45,000] 就是你在
[00:17:45,000 -> 00:17:48,000] 认识新妹子的时候
[00:17:48,000 -> 00:17:49,000] 你可能要
[00:17:49,000 -> 00:17:51,000] 尽快地表达自己
[00:17:51,000 -> 00:17:53,000] 然后让她产生兴趣
[00:17:53,000 -> 00:17:55,000] 但这个事情一旦一做
[00:17:55,000 -> 00:17:56,000] 就很容易做过火
[00:17:56,000 -> 00:17:57,000] 就变成了展翅羽毛
[00:17:57,000 -> 00:17:59,000] 然后就让别人觉得你是个傻逼
[00:17:59,000 -> 00:18:01,000] 就可能觉得很
[00:18:04,000 -> 00:18:05,599] 为什么要下来
[00:18:05,960 -> 00:18:06,799] 为什么下来
[00:18:06,799 -> 00:18:07,400] 就这样来
[00:18:07,400 -> 00:18:08,400] 我觉得他可能
[00:18:08,400 -> 00:18:10,720] 部分情况都是这样的
[00:18:11,079 -> 00:18:12,039] 就失败了
[00:18:12,039 -> 00:18:14,319] 为什么就觉得就是这样的
[00:18:14,319 -> 00:18:15,519] 我说了就是这样的
[00:18:16,359 -> 00:18:17,119] 他就笑
[00:18:17,119 -> 00:18:18,160] 笑成这样
[00:18:18,160 -> 00:18:19,079] 今天晚上不该来
[00:18:19,079 -> 00:18:19,960] 是你来的
[00:18:19,960 -> 00:18:21,359] 这是一个共同问题
[00:18:21,359 -> 00:18:22,480] 这个东西很难解
[00:18:22,480 -> 00:18:25,079] 但是熟人介绍就可以避免这个问题
[00:18:25,079 -> 00:18:26,920] 因为你熟人已经帮你介绍了
[00:18:26,920 -> 00:18:27,920] 他该知道的东西
[00:18:27,920 -> 00:18:29,119] 你就天铺天网
[00:18:29,119 -> 00:18:32,279] 所以说你就可以更自如的展示自我
[00:18:32,279 -> 00:18:34,519] 这是一个很正常的问题
[00:18:34,519 -> 00:18:35,000] 对对对
[00:18:35,000 -> 00:18:35,880] 这观点
[00:18:37,039 -> 00:18:40,559] 就是说别人帮你已经设置好你的这个画像了
[00:18:41,799 -> 00:18:43,960] 你再展示就基于那个画像再展示
[00:18:44,880 -> 00:18:46,000] 就自然懂我意思吗就自然动物医生嘛
[00:18:46,000 -> 00:18:47,000] 就自然很多
[00:18:47,000 -> 00:18:49,000] 更丝滑
[00:18:51,000 -> 00:18:52,000] 我只会闭嘴
[00:18:52,000 -> 00:18:53,000] 你们别闹了
[00:18:53,000 -> 00:18:54,000] 你们别闹了
[00:18:55,000 -> 00:18:57,000] 所以你啥时候离开深圳啊
[00:19:00,000 -> 00:19:03,000] 你可以对屏幕面前的同学们
[00:19:03,000 -> 00:19:04,000] 向个歉
[00:19:04,000 -> 00:19:05,640] 我想起来了
[00:19:05,640 -> 00:19:06,200] 对啊
[00:19:06,200 -> 00:19:07,839] 你啥时候回加拿大
[00:19:07,839 -> 00:19:09,839] 回加拿大到8月份
[00:19:09,839 -> 00:19:11,960] 好 那你接下来去哪
[00:19:11,960 -> 00:19:15,039] 接下来在国内逛一逛
[00:19:15,039 -> 00:19:16,640] 所以说妹子找你
[00:19:16,640 -> 00:19:18,039] 现在可以跟你一起旅游了
[00:19:18,039 -> 00:19:20,000] 可以 欢迎欢迎
[00:19:20,000 -> 00:19:21,960] 你看这句话就是错的
[00:19:21,960 -> 00:19:23,279] 就不能说可以
[00:19:23,279 -> 00:19:25,279] 只有来者不�只有来者不惧
[00:19:25,279 -> 00:19:26,640] 来者不惧
[00:19:26,640 -> 00:19:28,720] 这段掐掉
[00:19:28,720 -> 00:19:30,960] 这段叫放弃试
[00:19:30,960 -> 00:19:33,279] 太惨了
[00:19:33,279 -> 00:19:35,920] 今晚简直被失误了
[00:19:35,920 -> 00:19:37,119] 你说那也不是
[00:19:37,119 -> 00:19:38,559] 我将你同心说
[00:19:38,559 -> 00:19:39,200] 你说
[00:19:39,200 -> 00:19:39,839] 你说
[00:19:39,839 -> 00:19:41,759] 你说
[00:19:41,759 -> 00:19:42,559] 你说
[00:19:42,559 -> 00:19:45,680] 哎 要不每个人给他一起来去
[00:19:45,680 -> 00:19:47,799] 你会怎么说就这个时候
[00:19:47,799 -> 00:19:50,960] 一起去旅游啊
[00:19:50,960 -> 00:19:52,400] 介绍他怎么说的话
[00:19:52,400 -> 00:19:53,720] 你肯定就
[00:19:53,720 -> 00:19:58,480] 反正核心就是肯定不能所有人都能跟你去旅游啊
[00:19:58,480 -> 00:20:01,839] 核心就是欢迎多多交流对吧
[00:20:01,839 -> 00:20:04,839] 但是旅游这个事太私密了
[00:20:04,839 -> 00:20:08,559] 那肯定要慢慢相处以后才有可能去旅游
[00:20:08,559 -> 00:20:09,720] 对这也合理
[00:20:09,720 -> 00:20:10,640] 是
[00:20:10,640 -> 00:20:12,079] 旅游代表很多东西的
[00:20:12,079 -> 00:20:13,400] 比如你跟一个妹子去旅游
[00:20:13,400 -> 00:20:16,559] 这背后代表你有很多可能性
[00:20:16,559 -> 00:20:17,279] 嗯
[00:20:18,519 -> 00:20:19,359] 合理
[00:20:20,039 -> 00:20:21,000] 魏振泽
[00:20:21,000 -> 00:20:21,519] 我
[00:20:21,519 -> 00:20:22,599] 魏振泽我
[00:20:22,599 -> 00:20:23,559] 魏振泽
[00:20:25,839 -> 00:20:27,119] 振泲你怎么说
[00:20:28,680 -> 00:20:29,680] 我肯定会说
[00:20:31,279 -> 00:20:33,279] 希望在这个过程当中
[00:20:34,119 -> 00:20:36,200] 遇到那个最懂我的人
[00:20:42,599 -> 00:20:43,960] 不是一个好的意思
[00:20:44,240 -> 00:20:46,160] 这个方式很有效
[00:20:46,160 -> 00:20:47,680] 但是不是每个人都能驾驭的
[00:20:47,680 -> 00:20:48,960] 这个问题
[00:20:48,960 -> 00:20:51,279] 你没有 你要是不能
[00:20:51,279 -> 00:20:52,640] 你有没有办法
[00:20:52,640 -> 00:20:55,599] 这么正经的说出这句话
[00:20:55,599 -> 00:20:57,359] 如果你不能这么正经的说出这句话
[00:20:57,359 -> 00:20:58,240] 你就不能说了
[00:20:58,240 -> 00:21:00,160] 重复一遍试试呗
[00:21:00,160 -> 00:21:01,680] 你说了啥
[00:21:01,680 -> 00:21:06,519] 希望在旅途当中遇上君子冬晚那个人
[00:21:06,519 -> 00:21:07,839] 你不要拿来我想了一下
[00:21:07,839 -> 00:21:08,519] 应该是这样的
[00:21:08,519 -> 00:21:11,799] 就是说我的兴趣是旅游
[00:21:11,799 -> 00:21:13,519] 欢迎有不同兴趣的
[00:21:13,519 -> 00:21:15,960] 我们可以多多交流
[00:21:15,960 -> 00:21:16,279] 对吧
[00:21:16,279 -> 00:21:18,559] 我也可以说旅游对我真的很重要
[00:21:18,559 -> 00:21:20,319] 如果我们不是一路人的话
[00:21:20,319 -> 00:21:21,880] 咱就最好都不是旅游了吧
[00:21:21,880 -> 00:21:26,000] 最好还是干旅游哥的吧
[00:21:28,000 -> 00:21:30,000] 或者在飞机上分开走
[00:21:30,000 -> 00:21:32,000] 从一个极端走向另一个极端
[00:21:32,000 -> 00:21:33,000] 劝退姐
[00:21:33,000 -> 00:21:35,000] 你这个视频真的是劝退的
[00:21:35,000 -> 00:21:39,000] 旅行是一个互相发现对方的过程
[00:21:39,000 -> 00:21:41,000] 是一个机会
[00:21:42,000 -> 00:21:43,000] 你看吧
[00:21:43,000 -> 00:21:45,640] 你又把目的抱向了認識對方
[00:21:45,640 -> 00:21:47,039] 我覺得一開始的目的
[00:21:47,039 -> 00:21:50,279] 就不要認識對方為目的
[00:21:50,279 -> 00:21:54,079] 發現這個就給了一個對結果的壓力
[00:21:54,079 -> 00:21:55,680] 不要給對結果的壓力
[00:21:55,680 -> 00:21:56,880] 那這個應該是
[00:21:56,880 -> 00:21:59,880] 就是我正好要去這裡
[00:21:59,880 -> 00:22:01,920] 對吧 我正好要去這些國家
[00:22:01,920 -> 00:22:04,559] 哦 你這就顯得很隨意
[00:22:04,559 -> 00:22:05,640] 不是 不是 不是对吧 我正好要去这些国家哦 你这就显得很随意不是不是不是
[00:22:07,000 -> 00:22:08,000] 这人说就是
[00:22:08,000 -> 00:22:10,599] 这个就是别人求着要见你
[00:22:10,599 -> 00:22:12,400] 就是你给自己的姿态力太高了
[00:22:12,400 -> 00:22:14,359] 就别人要主动来reach out你
[00:22:14,359 -> 00:22:14,960] 对
[00:22:17,599 -> 00:22:19,039] 就是多多交流
[00:22:19,039 -> 00:22:20,160] 不用讲太多的
[00:22:20,839 -> 00:22:23,359] 那孙总你怎么说
[00:22:23,359 -> 00:22:25,359] 多多交流不用讲太多是挺好的
[00:22:25,359 -> 00:22:27,400] 就是说比如我刚刚说的那句话以后
[00:22:27,400 -> 00:22:29,799] 你就说其实很愿意跟大家多多交流
[00:22:29,799 -> 00:22:32,160] 就完了
[00:22:32,160 -> 00:22:34,000] 但是不要再结束就完了
[00:22:34,000 -> 00:22:37,599] 然后这时候就有很多的妹子涌向你
[00:22:37,599 -> 00:22:40,799] 然后你就可以通过跟她非常平静的交流
[00:22:40,799 -> 00:22:43,839] 但是暗自内心可能有各种的波澜起伏
[00:22:43,839 -> 00:22:45,319] 但是不要表露出來
[00:22:45,319 -> 00:22:48,000] 在這個過程中篩選你想要的位置
[00:22:48,000 -> 00:22:50,079] 你可能高估了我頻道的作用
[00:22:50,079 -> 00:22:52,400] 我頻道10%是女生
[00:22:52,400 -> 00:22:53,759] 90%是男生
[00:22:53,759 -> 00:22:55,680] 沒有這種作用
[00:22:57,680 -> 00:22:58,759] 我倒沒有過
[00:22:58,759 -> 00:23:00,279] 遇到男孩也挺好的
[00:23:00,279 -> 00:23:01,759] 如果我是你的話
[00:23:01,759 -> 00:23:02,960] 我可能會怎麼說
[00:23:02,960 -> 00:23:03,559] 說說
[00:23:03,559 -> 00:23:07,000] 就是我可能要多說几句话的话怎么说
[00:23:07,000 -> 00:23:10,000] 就是在这种没有那么多人看
[00:23:10,000 -> 00:23:12,000] 可能4000个比我们3000个
[00:23:12,000 -> 00:23:14,000] 就是1000个看到这儿
[00:23:14,000 -> 00:23:16,000] 然后10%女生100个
[00:23:16,000 -> 00:23:18,000] 这种时候怎么能提升转化率呢
[00:23:18,000 -> 00:23:20,000] 可能会多说一些
[00:23:20,000 -> 00:23:22,000] 就是少说几句当然是好
[00:23:22,000 -> 00:23:24,000] 我一般没有少说几句的这个能力
[00:23:24,000 -> 00:23:25,839] 我多说一些的话可能会说就是
[00:23:26,119 -> 00:23:27,480] 就是旅游对我很重要
[00:23:27,480 -> 00:23:27,920] 嗯
[00:23:27,920 -> 00:23:29,640] 欢迎男生女生都跟我一起
[00:23:30,039 -> 00:23:30,759] 大家一起吧
[00:23:30,759 -> 00:23:32,599] 就是你对旅行的认知
[00:23:32,839 -> 00:23:34,000] 旅行对于你的意义
[00:23:34,000 -> 00:23:35,440] 就是present你自己嘛
[00:23:35,440 -> 00:23:36,519] 但是旅行这个事情
[00:23:36,519 -> 00:23:38,160] 它不是一个特别重的一个东西
[00:23:38,160 -> 00:23:40,559] 就是每个人其实对旅行都会很有兴趣
[00:23:40,920 -> 00:23:42,480] 所以你讲自己的这个兴趣爱好
[00:23:42,480 -> 00:23:44,000] 别人不会觉得你在过度的
[00:23:44,680 -> 00:23:46,000] 嗯哈哈哈就是他们确实是一个行业的哈哈哈所以你讲自己的这个兴趣爱好别人不会觉得你在过度的
[00:23:48,000 -> 00:23:49,000] 他们确实是一个行业的
[00:23:51,000 -> 00:23:52,000] 聊了就有逻辑了
[00:23:53,000 -> 00:23:54,000] 旅行很重要这是个什么行业
[00:23:54,000 -> 00:23:55,000] 我很爱旅行
[00:23:55,000 -> 00:23:57,000] 你来我们公司吧
[00:23:57,000 -> 00:23:58,000] 增长的行业
[00:23:58,000 -> 00:23:59,000] 我们公司也有那个
[00:23:59,000 -> 00:24:01,000] 需求转化对吧
[00:24:01,000 -> 00:24:02,000] 对象转化
[00:24:02,000 -> 00:24:03,000] 就是100个
[00:24:03,000 -> 00:24:05,799] 怎么样子给100个用户留下印象然后形成一个转化形成转化对吧对象转化就是100个把怎么样子给100个用户留下印象
[00:24:05,799 -> 00:24:07,519] 然后形成一个转化
[00:24:07,519 -> 00:24:08,200] 形成转化
[00:24:08,200 -> 00:24:08,960] OK好
[00:24:08,960 -> 00:24:10,160] 接着说
[00:24:10,160 -> 00:24:10,759] 差不多了
[00:24:10,759 -> 00:24:12,559] 就是旅行对我很重要
[00:24:12,559 -> 00:24:14,079] 然后我其实很爱旅行
[00:24:14,079 -> 00:24:14,880] 很爱玩
[00:24:14,880 -> 00:24:16,480] 但是我也很开放的
[00:24:16,480 -> 00:24:18,000] 愿意跟大家一起玩
[00:24:18,000 -> 00:24:20,359] 不管男生女生都很愿意
[00:24:21,920 -> 00:24:23,799] 我连这个视频的名字都要写什么
[00:24:23,799 -> 00:24:27,000] 叫孙总的愛情講座
[00:24:27,000 -> 00:24:29,000] 就這樣
[00:24:29,000 -> 00:24:30,000] 其實不是
[00:24:30,000 -> 00:24:32,000] 這個事情的本質就是
[00:24:32,000 -> 00:24:34,000] 你願意抱著一個開放的心態
[00:24:34,000 -> 00:24:35,000] 跟大家一起玩
[00:24:35,000 -> 00:24:36,000] 其實就這樣
[00:24:36,000 -> 00:24:37,000] 然後發出一個邀請
[00:24:37,000 -> 00:24:38,000] 剩下的就看緣分
[00:24:38,000 -> 00:24:40,000] 不要去為結果去做任何預設
[00:24:40,000 -> 00:24:41,000] 就挺好的
[00:24:41,000 -> 00:24:43,000] 就這樣
[00:24:43,000 -> 00:24:44,000] 確實是這樣
[00:24:44,000 -> 00:24:46,000] 然後就把這個東西西表达出来
[00:24:46,000 -> 00:24:49,000] 是 但我觉得
[00:24:49,000 -> 00:24:51,000] 有时候
[00:24:51,000 -> 00:24:54,000] 就你自己旅行也挺好的
[00:24:54,000 -> 00:24:55,000] 就
[00:24:55,000 -> 00:24:57,000] 又要解释是吧
[00:24:57,000 -> 00:24:58,000] 又要补充
[00:24:58,000 -> 00:25:00,000] 补充完了转化率又下去了
[00:25:02,000 -> 00:25:03,000] 就当当系的
