[00:00:00,000 -> 00:00:01,919] 去年我们来一个特别简单的一场
[00:14:12,519 -> 00:14:13,639] 大家有句話什麼
[00:14:13,639 -> 00:14:15,320] 稍走三十年彎路
[00:14:15,320 -> 00:14:17,120] 我覺得如果我有那個問題的話
[00:14:17,120 -> 00:14:17,799] 我會的
[00:14:17,799 -> 00:14:20,720] 我就不會說對不好意思
[00:14:20,720 -> 00:14:21,960] 但是如果我沒有
[00:14:22,159 -> 00:14:23,840] 不覺得我有那個問題的話
[00:14:23,840 -> 00:14:25,200] 我也不太會去問
[00:14:25,200 -> 00:14:27,600] 就有觀眾比如說有觀眾問這個問題
[00:14:27,600 -> 00:14:29,100] 然後我覺得這不是我的問題
[00:14:29,100 -> 00:14:30,399] 那我可能也就說算了吧
[00:14:30,399 -> 00:14:31,399] 我不是想想
[00:14:31,399 -> 00:14:33,100] 因為你很難說非常真誠
[00:14:33,100 -> 00:14:35,200] 非常真心的對這個問題產生好奇
[00:14:35,200 -> 00:14:35,700] 對
[00:14:35,700 -> 00:14:36,100] 是
[00:14:36,100 -> 00:14:36,399] 對
[00:14:36,399 -> 00:14:39,000] 就是相當於採訪了五分鐘完了
[00:14:39,500 -> 00:14:40,899] 整個的意義就是在於採訪
[00:14:40,899 -> 00:14:42,200] 不是在於回答這個問題
[00:14:42,200 -> 00:14:43,000] 嗯
[00:14:43,299 -> 00:14:43,700] 好啦
[00:14:43,700 -> 00:14:44,899] 就是剛才這個故事
[00:14:44,899 -> 00:14:47,519] 我覺得就是雖然他小但是其实很大
[00:14:47,519 -> 00:14:48,799] 但是这么多年的智慧
[00:14:48,799 -> 00:14:50,720] 感觉变成了一些简单的瞬间
[00:14:50,720 -> 00:14:53,080] 就我觉得这些对话
[00:14:53,360 -> 00:14:55,080] 呃我很想看
[00:14:55,399 -> 00:14:57,919] 但是你是不是应该也开始做一些
[00:14:57,919 -> 00:14:58,679] 这样的分享了
[00:14:58,679 -> 00:15:00,639] 那其实我们现在也在探讨
[00:15:00,639 -> 00:15:02,519] 我们可以把这些视频
[00:15:02,519 -> 00:15:04,720] 把这些对话记录下来
[00:15:04,840 -> 00:15:07,279] 然后未来呢可以給我們朋友孩子們
[00:15:07,279 -> 00:15:09,320] 然後也可以分享給網上的朋友們看
[00:15:09,360 -> 00:15:12,120] 太好了是那個愛旅行的四重奏
[00:15:12,159 -> 00:15:14,000] 對我們用我們的視頻號
[00:15:14,000 -> 00:15:15,840] 愛旅行的四重奏在YouTube
[00:15:15,840 -> 00:15:17,000] 還有微信上都有
[00:15:17,240 -> 00:15:19,000] 就是視頻號和YouTube
[00:15:19,000 -> 00:15:21,080] 大家歡迎去關注
[00:15:21,080 -> 00:15:22,440] 然後你們那個Multiple Fire
[00:15:22,440 -> 00:15:23,679] 估計你也會寫一些文章
[00:15:23,679 -> 00:15:25,000] 去分享自己的一些想法對吧
[00:15:25,000 -> 00:15:26,000] 是的
[00:15:26,000 -> 00:15:27,000] 好的 太好了
[00:15:27,000 -> 00:15:29,000] 大家如果感興趣的話就去多多關注
[00:15:29,000 -> 00:15:31,000] 那我們這期視頻就到這
[00:15:31,000 -> 00:15:32,000] 下期再見
[00:15:32,000 -> 00:15:33,000] 下次見
[00:15:33,000 -> 00:15:34,000] 拜拜
