[00:00:00,000 -> 00:00:02,359] 我们认为在未来其实所有的企业
[00:15:41,299 -> 00:15:41,799] 对吧
[00:15:41,799 -> 00:15:43,200] 那还有一些赛道上面
[00:15:43,200 -> 00:15:45,240] 我们看到这个创始人的大厂
[00:15:45,240 -> 00:15:49,159] 他的思路往往有的时候有点这种拿锤子找钉子的感觉
[00:15:49,159 -> 00:15:49,559] 对
[00:15:49,559 -> 00:15:53,399] 他可能思考的不是那么客户需要
[00:15:53,399 -> 00:15:54,720] 或者是不是那么fundamental
[00:15:54,720 -> 00:15:56,720] 你看在北美这边其实有很多的这种
[00:15:56,720 -> 00:15:58,320] 大厂企业出来的创业者
[00:15:58,320 -> 00:16:00,759] 他同样他做不下去
[00:16:00,759 -> 00:16:02,799] 然后他没办法又回到大厂里面
[00:16:02,799 -> 00:16:05,759] Pro and Cons肯定就是好处与坏处肯定都有
[00:16:05,759 -> 00:16:12,000] 我们是肯定不会拒绝去看任何一种角色的这种创业者
[00:16:12,000 -> 00:16:13,440] 很多基金我们交流下来
[00:16:13,440 -> 00:16:19,360] 大家普遍是希望在创始人群体里面和高效群体里面去涨创业者
[00:16:19,360 -> 00:16:22,879] 因为硅谷这几年我觉得大厂创业的盛态我觉得不是那么好
[00:16:22,879 -> 00:16:26,299] 因为本身美国的经济是这样的一个方面
[00:16:26,299 -> 00:16:29,299] 另一个就是大厂他们现在的这些股权的设计
[00:16:29,299 -> 00:16:34,500] 辞职需要pay for的一些机会成本其实相对高的
[00:16:34,500 -> 00:16:39,000] 绝大部分的人其实是有成长的诉求
[00:16:39,000 -> 00:16:41,000] 但是成长的诉求不一定是创业
[00:16:41,000 -> 00:16:42,500] 尤其是在大厂里面
[00:16:42,500 -> 00:16:45,519] 我觉得大厂的朋友你在自己的路径上面
[00:16:45,519 -> 00:16:50,440] 不管是走business side还是走technical的路径
[00:16:50,440 -> 00:16:52,600] 你往上去成长 这个也是很make sense的
[00:16:52,600 -> 00:16:54,679] 我们现在看到很多硅谷的高管
[00:16:54,679 -> 00:16:56,399] 越来越多的是华人出现
[00:16:56,399 -> 00:16:59,519] 不管是什么状态的创始人
[00:16:59,519 -> 00:17:03,679] 只要你有出海的星星之火
[00:17:03,679 -> 00:17:05,440] 有这个想法就是你说curiosity
[00:17:05,440 -> 00:17:09,720] 他理解这个全球化这件事情的重要性
[00:17:09,720 -> 00:17:12,519] 那我觉得就就一定能找到一些位置
[00:17:12,519 -> 00:17:15,119] 就是刚刚问的问题是替大家问的
[00:17:15,119 -> 00:17:17,599] 但是其实答案就是大厂只是个标签
[00:17:17,599 -> 00:17:18,519] 不能定一个人
[00:17:18,519 -> 00:17:20,400] 它只是一个人的小部分的一个标签
[00:17:20,720 -> 00:17:23,279] 在那之外就是那些东西更重要
[00:17:23,279 -> 00:17:26,500] 然后在这里边可能是更容易成功的创业者
[00:17:26,500 -> 00:17:27,500] 是对市场有理解
[00:17:27,500 -> 00:17:28,500] 对需求有理解
[00:17:28,500 -> 00:17:31,000] 如果你只是对技术有理解
[00:17:31,000 -> 00:17:33,000] 那ok除非你技术吊打所有人
[00:17:33,000 -> 00:17:36,000] 更多的还是鼓励大家去理解用户
[00:17:36,000 -> 00:17:38,000] 理解市场理解生态
[00:17:38,000 -> 00:17:40,000] 我们最后希望我们所有的企业都能
[00:17:40,000 -> 00:17:42,500] 消费品企业都能像可口可乐一样
[00:17:42,500 -> 00:17:43,000] 对吧
[00:17:43,000 -> 00:17:46,240] 这个这个这个SaaS企业都能像可口可乐一样SARS企业都能像AWS
[00:17:46,240 -> 00:17:48,319] 像Salesforce一样
[00:17:48,680 -> 00:17:49,880] 这是一个愿景
[00:17:49,880 -> 00:17:51,039] 这是最后的目标
[00:17:51,039 -> 00:17:53,279] 但是中间的路径其实千开万别
[00:17:53,279 -> 00:17:55,640] 整个的大幕全部
[00:17:56,640 -> 00:17:57,680] 就复盘一下
[00:17:57,680 -> 00:18:00,000] 其实里面有很多故事可以讲
[00:18:00,000 -> 00:18:02,839] 107的出海同学活的人都在这
[00:18:02,839 -> 00:18:04,079] 大家可以慢慢听
[00:18:04,079 -> 00:18:04,799] 对
[00:18:04,799 -> 00:18:05,000] 以后大家有机会也可以关注我们的楚海同学会反正都在这儿大家可以慢慢听对对对
[00:18:05,000 -> 00:18:08,000] 以后大家有机会也可以关注我们的楚海同学会
[00:18:08,000 -> 00:18:09,000] 好啊
[00:18:09,000 -> 00:18:13,000] 非常感谢今天的这么深度的采访
[00:18:13,000 -> 00:18:14,000] 感谢你
[00:18:14,000 -> 00:18:17,000] 我今天其实是过来跟你学习来的
