[00:00:00,000 -> 00:00:01,879] 你稍微聊一下这种颜色进度什么的
[00:12:40,519 -> 00:12:41,679] 紅色寶石啊
[00:12:41,679 -> 00:12:44,600] 那他總要新的東西都補充嘛
[00:12:44,600 -> 00:12:45,480] 玩遊戲一樣的也不能一輩子只玩一個遊戲偶爾肯定會玩別的遊戲嘛黑啊 红色宝石啊嗯那他总要新的东西都补充嘛玩游戏一样的
[00:12:45,480 -> 00:12:46,840] 也不能一辈子只玩一个游戏
[00:12:46,840 -> 00:12:48,480] 偶尔肯定会玩别的游戏嘛
[00:12:48,480 -> 00:12:50,120] 所以他一直在补充市场的
[00:12:50,120 -> 00:12:51,960] 那我最后再问最后一个问题
[00:12:51,960 -> 00:12:53,679] 就是钻石有很多人造钻石
[00:12:53,679 -> 00:12:55,000] 那财宝人造的多吗
[00:12:55,000 -> 00:12:58,960] 因为我们也能看到很多很便宜的那种红蓝的那些
[00:12:58,960 -> 00:12:59,799] 多
[00:12:59,799 -> 00:13:01,360] 那个就叫合成了
[00:13:01,360 -> 00:13:02,440] 合成了
[00:13:02,440 -> 00:13:04,320] 那它容易分辨吗
[00:13:05,159 -> 00:13:06,840] 我们一眼就能看出来合成的合成 就是合成了那它容易分辨嗎我們一眼就能看出來
[00:13:06,840 -> 00:13:08,679] 合成的祖母綠呢
[00:13:08,679 -> 00:13:10,879] 乾淨的很多
[00:13:10,879 -> 00:13:11,960] 也就是說
[00:13:11,960 -> 00:13:14,440] 它通體可以做的很乾淨
[00:13:14,440 -> 00:13:16,799] 那它也可以把裡面的裂紋都
[00:13:16,799 -> 00:13:18,600] 在合成過程中它可以模擬出來
[00:13:18,600 -> 00:13:20,639] 如果拿一個真的跟一個假的
[00:13:20,639 -> 00:13:22,639] 你大概都能感覺的出來
[00:13:22,639 -> 00:13:25,000] 你可能你只要走過十家珠寶店
[00:13:25,000 -> 00:13:26,000] 你再回來看真假
[00:13:26,000 -> 00:13:27,000] 你大概還是有感覺
[00:13:27,000 -> 00:13:28,000] 你再配合證書啊
[00:13:28,000 -> 00:13:30,000] 再配合人家的靠譜的商家
[00:13:30,000 -> 00:13:32,000] 或者靠譜的品牌店啊
[00:13:32,000 -> 00:13:34,000] 那人家肯定不會以假論證給你買貨
[00:13:34,000 -> 00:13:35,000] 就學到靠譜的話
[00:13:35,000 -> 00:13:36,000] 不太容易買到假貨
[00:13:36,000 -> 00:13:37,000] 對對對
[00:13:37,000 -> 00:13:39,000] 但是就是這裡邊的價格水分
[00:13:39,000 -> 00:13:40,000] 就看大家自己的認知了
[00:13:40,000 -> 00:13:41,000] 是的
[00:13:41,000 -> 00:13:42,000] 是的
[00:13:42,000 -> 00:13:43,000] 說白了就是合成
[00:13:43,000 -> 00:13:45,899] 它可以不停的生長
[00:13:45,899 -> 00:13:46,700] 謝謝露露
[00:13:46,700 -> 00:13:48,299] 今天我們學到了好多
[00:13:48,299 -> 00:13:48,899] 謝謝大家
[00:13:48,899 -> 00:13:49,600] 我們下下見
[00:13:49,600 -> 00:13:51,899] 還有一期關於鑽石的視頻
