[00:00:00,000 -> 00:00:04,480] 其实在GPT的大模型里面的知识是非常大的
[00:16:06,279 -> 00:16:08,399] 然后发现他觉得这样可以他才去做的
[00:16:08,399 -> 00:16:12,240] 而不是通过试错来试出来的
[00:16:12,240 -> 00:16:14,440] 大家如果说是一个merchant learning scientist
[00:16:14,440 -> 00:16:16,720] 你就可以代入到merchant learning的工作方式
[00:16:16,720 -> 00:16:19,679] 你可以知道过去的merchant learning是不可能做这种东西的
[00:16:19,679 -> 00:16:21,559] 因为他没有办法得到这样的数据
[00:16:21,559 -> 00:16:24,600] 过去的merchant learning你只能通过1000个乌鸦
[00:16:24,600 -> 00:16:25,279] 1万个乌鸦1万个乌鸦
[00:16:25,279 -> 00:16:26,159] 100万个乌鸦
[00:16:26,159 -> 00:16:27,200] 反复的去
[00:16:27,480 -> 00:16:28,600] randomly尝试
[00:16:28,600 -> 00:16:29,399] 各种各样的pattern
[00:16:29,399 -> 00:16:30,159] 找到了以后
[00:16:30,159 -> 00:16:31,240] 然后再进化
[00:16:31,240 -> 00:16:32,159] 可是这样的代价
[00:16:32,159 -> 00:16:32,679] 就是必须要
[00:16:32,679 -> 00:16:34,200] 你要死这么多个乌鸦
[00:16:34,240 -> 00:16:35,679] 你是没有办法去
[00:16:36,080 -> 00:16:37,000] 在脑子里边
[00:16:37,000 -> 00:16:38,399] simulate出来不同的效果
[00:16:38,399 -> 00:16:39,159] 最后得到
[00:16:39,159 -> 00:16:40,679] 达成这个任务的
[00:16:40,679 -> 00:16:43,120] 就所谓的Deduce and Inference
[00:16:43,440 -> 00:16:45,879] 拆GPT是可以做到这件事情的
[00:16:45,879 -> 00:16:48,600] 而且他拆GPT就是这个
[00:16:48,600 -> 00:16:51,200] GPT3.5吧和GPT3和以前的
[00:16:51,200 -> 00:16:52,919] 我们训练的model有个很不一样的
[00:16:52,919 -> 00:16:54,279] 就是以前的大语言模型
[00:16:54,679 -> 00:16:56,759] 和很多哪怕现在的开源的大语言模型
[00:16:56,759 -> 00:16:57,440] 有很大的区别
[00:16:57,440 -> 00:16:59,639] 就是他可以做in context correction
[00:16:59,840 -> 00:17:01,840] 就是说你他跟你说了一个东西
[00:17:01,840 -> 00:17:03,240] 然后你跟他说你这说的不对
[00:17:03,240 -> 00:17:05,599] 他马上说我说的不对我来改
[00:17:05,599 -> 00:17:07,839] 这是一个非常强的推理能力
[00:17:07,839 -> 00:17:11,640] 这在这GPT3.5之前是没有一个模型
[00:17:11,640 -> 00:17:15,440] 哪怕GPT2和3都没有展现出来的能力
[00:17:15,440 -> 00:17:16,680] 展现出来了这个以后
[00:17:16,680 -> 00:17:19,440] 我们觉得GPT确实和过去是不一样的
[00:17:19,440 -> 00:17:23,240] 他有了一个真正的理解的能力在
[00:17:24,319 -> 00:17:28,680] 那接下来就遇到了就是去年我在出这个的时候的一个巨大的debate
[00:17:28,680 -> 00:17:31,319] 当然是乐坤为首和一大堆数据科学家
[00:17:31,319 -> 00:17:36,000] 一大堆这个machinery scientist都持这一派观点
[00:17:36,000 -> 00:17:38,480] 现在大家听到的这个争论越来越少了
[00:17:38,480 -> 00:17:39,920] 乐坤似乎也不这么想了
[00:17:39,920 -> 00:17:42,680] 但是是不是大家真的被说服了呢
[00:17:42,680 -> 00:17:46,119] 就是我们回来就去想GGBT是不是真的有意识
[00:17:46,480 -> 00:17:47,799] 这又是一个很重要的问题
[00:17:48,000 -> 00:17:49,400] 如果GBT能理解的话
[00:17:49,599 -> 00:17:50,640] GBT具备意识吗
[00:17:50,759 -> 00:17:53,599] 如果GBT能理解的话又具备意识
[00:17:53,839 -> 00:17:55,920] 它的模型我们又知道
[00:17:56,400 -> 00:17:57,559] 你在这样的一个
[00:17:57,559 -> 00:18:00,119] Auto Regressive Generative
[00:18:00,119 -> 00:18:02,240] Latent Language Models的范式之下
[00:18:02,240 -> 00:18:03,920] 能不能培养出来一个意识呢
[00:18:04,440 -> 00:18:07,279] 这就回到了一个哲学问题就是意识到底是什么
[00:18:07,279 -> 00:18:09,039] 其实我们不知道意识是什么
[00:18:09,039 -> 00:18:12,359] 这个是哲学的哲学给我们的启示
[00:18:12,359 -> 00:18:16,759] 哲学是说我们并不知道人类到底是否有意识
[00:18:16,759 -> 00:18:19,519] 然后我这里边有链接
[00:18:19,519 -> 00:18:22,839] 就是20世纪最重要的几个科学问题
[00:18:22,839 -> 00:18:24,039] 就是意识到底是什么
[00:18:24,039 -> 00:18:25,519] 人类到底是不是真的有意识
[00:18:25,519 -> 00:18:28,160] 但是在Cognitive Science里边
[00:18:28,480 -> 00:18:30,400] 我们就会发现了一个观点
[00:18:30,880 -> 00:18:34,880] 人其实和猴子和其他动物
[00:18:34,880 -> 00:18:35,920] Biological类
[00:18:36,119 -> 00:18:39,119] 其实不是特别的不一样
[00:18:39,119 -> 00:18:40,160] 就是说我们
[00:18:40,519 -> 00:18:42,799] 你如果光看我们和猴子的大脑的区别
[00:18:42,799 -> 00:18:43,440] 你不会觉得
[00:18:43,440 -> 00:18:44,440] 你不会得出一个结论
[00:18:44,440 -> 00:18:46,599] 说人类就是和猴子完全不一样的东西
[00:18:46,599 -> 00:18:50,000] 那这样看起来我们的意识其实是
[00:18:50,000 -> 00:18:50,880] emerged的
[00:18:50,880 -> 00:18:53,079] 这个是一个cognitive science的观点
[00:18:53,079 -> 00:18:54,920] 这个词大家就很熟悉了
[00:18:54,920 -> 00:18:58,799] 就是GPT虽然它的结构和其他的
[00:18:58,799 -> 00:19:00,160] Machine Learning没有那么不一样
[00:19:00,160 -> 00:19:01,920] 或者其他大语言模型那么不一样
[00:19:01,920 -> 00:19:04,519] 但是它似乎emerged出来了一些不一样的东西
[00:19:04,519 -> 00:19:07,880] 我们现在不要去深究就是为什么GPT不一样我们也不要去深究言模型那么不一样但是它似乎emerge出来了一些不一样的东西我们现在不要去深究为什么GPT不一样
[00:19:07,880 -> 00:19:09,599] 我们也不要去深究人类为什么不一样
[00:19:09,599 -> 00:19:13,000] 我们只要去关注它有可能是不一样的就好了
[00:19:13,000 -> 00:19:18,599] 第二个就是我们说GPT和以前是一个完全不一样的范式更新
[00:19:18,599 -> 00:19:21,559] GPT到底是一个什么样的东西
[00:19:21,759 -> 00:19:26,000] 这个其实我在我的视频里面总结Gates和Ultimate的说法
[00:19:26,000 -> 00:19:28,299] 就是GUI加Morris law for everything
[00:19:29,200 -> 00:19:30,480] 第一个就是它是一个
[00:19:30,480 -> 00:19:32,680] near perfect abstraction of
[00:19:32,880 -> 00:19:34,539] internet technologies
[00:19:34,539 -> 00:19:36,579] 就是我们其实在过往的
[00:19:36,940 -> 00:19:38,240] 呃这个计算机呢
[00:19:38,240 -> 00:19:40,980] 就是我们是在算力和storage和存储上
[00:19:40,980 -> 00:19:42,279] 进行了很多的
[00:19:42,740 -> 00:19:43,740] 颠覆和
[00:19:44,279 -> 00:19:45,319] advancement我们在数据的generation和利用上进行了很多的颠覆和advancement
[00:19:45,319 -> 00:19:48,200] 我们在数据的generation和利用上
[00:19:48,200 -> 00:19:49,400] 进行了很多进步
[00:19:49,400 -> 00:19:52,599] 然后我们是把这两个事给结合的很好
[00:19:52,599 -> 00:19:56,000] 那其实GUI它就解决了很多
[00:19:56,000 -> 00:19:58,119] specific purpose的东西
[00:19:58,119 -> 00:20:00,319] 比如说我现在在看的这些东西
[00:20:00,319 -> 00:20:01,920] 都是跟GUI相关的
[00:20:01,920 -> 00:20:03,119] 我去刷抖音
[00:20:03,119 -> 00:20:06,200] 抖音是一个GUI去解决我的
[00:20:06,200 -> 00:20:08,000] 就是产生视频
[00:20:08,000 -> 00:20:09,599] 然后产生我的喜好
[00:20:09,599 -> 00:20:12,000] 把该我喜欢的视频推送到我面前
[00:20:12,000 -> 00:20:13,500] 然后高效率的去刷
[00:20:13,500 -> 00:20:15,799] 它都被GUI解决的很好
[00:20:15,799 -> 00:20:16,900] 但是拆GPT呢
[00:20:16,900 -> 00:20:19,200] 它可以解决一个general purpose的东西
[00:20:19,200 -> 00:20:21,700] 就是说我之前我抖音想的很好
[00:20:21,700 -> 00:20:22,700] 但是我跟他说
[00:20:22,700 -> 00:20:25,000] 我想用抖音的这个能力去干一些别的事情
[00:20:25,200 -> 00:20:26,640] 那我就需要去编程
[00:20:26,640 -> 00:20:29,160] 但是这个编程的门槛是非常非常之高的
[00:20:29,359 -> 00:20:31,440] 现在Chai GPT呢是可以让我
[00:20:31,680 -> 00:20:34,519] 去用自然语言去调动一个编程
[00:20:34,799 -> 00:20:36,359] 这就是我左上角的这个例子
[00:20:36,359 -> 00:20:38,480] 就是你来做一个Linux terminal
[00:20:38,599 -> 00:20:40,119] 之后我们可能就跟Chai GPT说
[00:20:40,119 -> 00:20:41,279] 我要做一个什么的
[00:20:41,359 -> 00:20:44,440] GPT就可以帮助你调用算力存储数据
[00:20:44,720 -> 00:20:46,400] 来去实现你的目的
[00:20:46,400 -> 00:20:49,799] 我有另外一个比喻就是GUI是山
[00:20:49,799 -> 00:20:51,599] 然后GPT是水
[00:20:51,599 -> 00:20:54,599] 水涨船高迟早会淹没很多山的
[00:20:54,599 -> 00:20:59,500] 那我们接下来就是说就是intellectual
[00:20:59,500 -> 00:21:04,700] 就是就是我们智能智能的分发过去是非常非常之贵的
[00:21:04,700 -> 00:21:07,400] 因为智能是通过人
[00:21:07,400 -> 00:21:09,440] 然后人能面对的人是有限的
[00:21:09,440 -> 00:21:11,720] 可是我们接下来就可以进行智能的分发
[00:21:11,720 -> 00:21:13,839] 把智能分发的编制成本降为0
[00:21:13,839 -> 00:21:16,319] 那一个医生我就在过去也说了
[00:21:16,319 -> 00:21:18,160] 就是医生律师等等的这些人
[00:21:18,160 -> 00:21:20,559] 他可以同时服务无限度的人
[00:21:20,559 -> 00:21:23,000] 而不只需要服务他面前的用户
[00:21:23,000 -> 00:21:25,480] 我希望在一两年之后
[00:21:25,680 -> 00:21:28,599] 我的GPT是可以做一个非常非常好的
[00:21:28,720 -> 00:21:30,599] 数据分析师或者数据科学家的
[00:21:30,759 -> 00:21:31,880] 这就是刚刚说的
[00:21:31,880 -> 00:21:33,559] 就是你做出来一个Everman之后
[00:21:33,559 -> 00:21:35,519] 你给他再加一个差不多的大脑
[00:21:35,680 -> 00:21:37,839] 那他其实自动的就可以去
[00:21:38,079 -> 00:21:39,240] 做很多很多的任务
[00:21:39,240 -> 00:21:40,480] 这个就是那个
[00:21:40,640 -> 00:21:41,400] outrun对吧
[00:21:41,400 -> 00:21:43,839] 但是这是一个好版的outrun
[00:21:43,839 -> 00:21:46,720] 就是就是曾经如果说是完美的情况下
[00:21:46,720 -> 00:21:48,720] 奥创所能干的是什么事情
[00:21:48,720 -> 00:21:49,920] 就是这样的一个事情
[00:21:49,920 -> 00:21:51,920] 就是一下子出现了
[00:21:51,920 -> 00:21:54,559] Unlimited Element
[00:21:54,559 -> 00:21:57,359] Element自己一个人能干的事情是有限的
[00:21:57,359 -> 00:21:59,359] 我相信有了奥创大军以后
[00:21:59,359 -> 00:22:01,359] Thanos是不可能打过他们的
[00:22:01,359 -> 00:22:03,680] 就像在飞猴女巫的宇宙里
[00:22:03,680 -> 00:22:05,400] 就是有光明会的那个宇宙一样
[00:22:05,400 -> 00:22:06,960] 那接下来就是如何
[00:22:07,400 -> 00:22:09,400] 这个它有多难制造
[00:22:09,599 -> 00:22:11,720] 这个我就简单的跳过吧
[00:22:11,720 -> 00:22:13,640] 因为其实我已经说过很多遍了
[00:22:14,000 -> 00:22:16,240] 第四个就是我们应该怎么去使用它
[00:22:16,519 -> 00:22:18,119] 其实就是说你在
[00:22:18,559 -> 00:22:19,519] 浏览器刚出来的时候
[00:22:19,519 -> 00:22:20,680] 不要去再造一个浏览器
[00:22:20,680 -> 00:22:22,559] 而是应该去做网页
[00:22:22,839 -> 00:22:24,119] 这是回到刚才的那个文章
[00:22:24,119 -> 00:22:25,440] 我把最下面打开
[00:22:25,440 -> 00:22:28,359] 其实我们就是一年前看的
[00:22:28,359 -> 00:22:31,759] 今这一年的所有的变化和这个几乎是
[00:22:31,759 -> 00:22:33,119] 完全走在剧本上
[00:22:33,119 -> 00:22:34,920] 就是没有什么超出意想的东西
[00:22:34,920 -> 00:22:35,319] 为什么呢
[00:22:35,319 -> 00:22:37,160] 因为当时new bing和microsoft
[00:22:37,160 -> 00:22:39,519] copilot其实已经把这个路线
[00:22:39,519 -> 00:22:40,799] 探索的很好了
[00:22:40,799 -> 00:22:42,519] 就是你能access to tools
[00:22:42,519 -> 00:22:44,960] 然后这个prompt as a configuration
[00:22:45,359 -> 00:22:46,960] 你在开放这一层就是你能access to tools然后这个prompt as a configuration呃你在开放这一层
[00:22:47,160 -> 00:22:48,279] 就是你开放
[00:22:48,640 -> 00:22:50,559] chai gpt可以去调用别的东西
[00:22:50,559 -> 00:22:52,519] 你可以写代码你可以去改变系统
[00:22:52,839 -> 00:22:54,759] 然后你在开放给一些
[00:22:55,039 -> 00:22:56,839] 指定的指令给chai gpt
[00:22:56,839 -> 00:22:58,000] 那他就能干很多事
[00:22:58,000 -> 00:22:59,920] 那再往上呢是开放你的这个
[00:22:59,920 -> 00:23:01,200] element这个接口
[00:23:02,119 -> 00:23:04,079] 这我就不再多说了
[00:23:04,079 -> 00:23:05,279] 这个我们就直接看呃这一年的发布就好了不再多说了这个我们就直接看
[00:23:05,279 -> 00:23:07,279] 这一年的发布就好了
[00:23:07,279 -> 00:23:10,319] 相信都已经说了很就是这一年的发布
[00:23:10,319 -> 00:23:14,559] 非常好的验证了我一年前的这些预测
[00:23:14,559 -> 00:23:15,599] 这里有一个问题了
[00:23:15,599 -> 00:23:20,000] 就是我们如果说调用Tri-GPT的能力很重要的话
[00:23:20,000 -> 00:23:21,920] 其实有一个问题就是你的prompt
[00:23:21,920 -> 00:23:25,079] 你要去让Tri-GPT完成各种各样的任务
[00:23:25,079 -> 00:23:29,119] 那到底是一个工程技巧还是一个PM技巧
[00:23:29,119 -> 00:23:31,799] 就是你是要教给Chai GPT怎么用呢
[00:23:31,799 -> 00:23:34,599] 还是你是要告诉Chai GPT做什么
[00:23:34,599 -> 00:23:38,400] 我的想法是在一开始你一定要有很强的工程能力
[00:23:38,400 -> 00:23:40,039] 去告诉Chai GPT怎么用
[00:23:40,039 -> 00:23:44,680] 然后在未来越来越重要的是告诉Chai GPT做什么
[00:23:49,119 -> 00:23:50,720] 我其实在这一年用ChaiGBT做了很多尤其是我的数据分析
[00:23:50,720 -> 00:23:55,559] 我发现就是像我的一个实习生一样去使用ChaiGBT
[00:23:55,559 -> 00:23:56,960] 你先提出问题
[00:23:56,960 -> 00:23:58,759] 然后跟他一起去来按思路
[00:23:58,759 -> 00:23:59,880] 然后看他的思路对不对
[00:23:59,880 -> 00:24:01,799] 如果他的思路和你的思路差不多的时候
[00:24:01,799 -> 00:24:03,079] 跟他说你现在去做
[00:24:03,079 -> 00:24:05,599] 做完了以后再跟他不断的反馈提高
[00:24:05,599 -> 00:24:08,160] 这里边有非常多的要告诉他GPT做什么
[00:24:08,160 -> 00:24:09,599] 他才能把这个东西做好
[00:24:09,599 -> 00:24:12,640] 那之后我相信随着我的调教变多的话
[00:24:12,640 -> 00:24:15,559] 如果说我已经把他非常好的调教了
[00:24:15,559 -> 00:24:17,200] 告诉他如何做了
[00:24:17,200 -> 00:24:19,680] 那我之后再告诉他你要去做什么就行了
[00:24:20,160 -> 00:24:22,000] 所以说总结一下的话
[00:24:22,000 -> 00:24:23,960] 就是一开始是有很多
[00:24:23,960 -> 00:24:26,359] 你要告诉这个大�学模型怎么做
[00:24:26,359 -> 00:24:28,440] 在未来更多的是告诉他做什么
[00:24:28,440 -> 00:24:31,000] 再说一些过往的历史吧
[00:24:31,000 -> 00:24:33,799] 就是XGBT这件事不是一个真的prediction
[00:24:33,799 -> 00:24:37,400] 它只不过是历史很多颠覆科技的重复
[00:24:37,400 -> 00:24:41,960] 这个颠覆科技的重复就是当你电脑出现的时候
[00:24:41,960 -> 00:24:43,599] 当互联网出现的时候
[00:24:43,599 -> 00:24:45,440] 当移动互联网出现的时候
[00:24:45,640 -> 00:24:48,279] 其实第一波都是把现有的东西
[00:24:48,279 -> 00:24:49,559] 放到新的科技上
[00:24:49,559 -> 00:24:50,480] 这个是Selecon Valley
[00:24:50,480 -> 00:24:51,880] 那个把radio on internet
[00:24:51,880 -> 00:24:53,559] 那个变成billionaire的
[00:24:53,559 -> 00:24:55,000] 那个asshole对吧
[00:24:55,000 -> 00:24:57,039] 呃就是他只不过把现有的东西
[00:24:57,039 -> 00:24:57,720] 放到了互联网
[00:24:57,720 -> 00:24:59,400] 然后就得到了巨大的财富
[00:24:59,519 -> 00:25:00,759] 但是在那之后
[00:25:00,759 -> 00:25:03,160] 最重要的就是10倍百倍的机会
[00:25:03,200 -> 00:25:07,319] 一定是新的科技做了过去科技所做不到的事情的
[00:25:07,319 -> 00:25:10,799] 就比如说Google在一开始的互联网上是没有用的
[00:25:10,799 -> 00:25:13,039] 因为那个时候互联网上都没有什么信息
[00:25:13,039 -> 00:25:16,759] 但是Google它作为一个internet的fundamental的科技
[00:25:16,759 -> 00:25:18,759] 它是随着互联网增加的
[00:25:18,759 -> 00:25:22,400] 就是你互联网的信息指数增加了以后
[00:25:22,400 -> 00:25:25,039] Google的有用程度也变得指数重要了
[00:25:25,039 -> 00:25:28,200] 所以说一开始我们会看到很多
[00:25:28,200 -> 00:25:30,440] 把现有的东西用代语模型去实现
[00:25:30,440 -> 00:25:32,480] 但是未来一定是代语模型去实现
[00:25:32,480 -> 00:25:34,359] 现在完全实现不了的东西
[00:25:34,359 -> 00:25:36,359] 然后这里边最重要的东西
[00:25:36,359 -> 00:25:38,799] 就是start with build simple things
[00:25:38,799 -> 00:25:40,079] that people really want
[00:25:40,079 -> 00:25:42,039] Instagram其实之前就是一个future app
[00:25:42,039 -> 00:25:43,920] 它不是一个social media或者怎么样
[00:25:43,920 -> 00:25:46,079] 现在的这些东西都是他做了一个
[00:25:46,079 -> 00:25:48,400] 人们真正需要的东西之后才出来的
[00:25:48,640 -> 00:25:50,599] 你没有人们需要的那个东西的话
[00:25:50,599 -> 00:25:51,400] 其他都是白谈
[00:25:51,400 -> 00:25:52,799] 你说那么多概念也没有用的
[00:25:53,000 -> 00:25:54,480] 然后这就是我的一下opinion了
[00:25:54,480 -> 00:25:56,480] 就是他到底是一个2b2c的机会
[00:25:56,759 -> 00:25:58,039] 它是Scannet吗
[00:25:58,039 -> 00:25:58,759] 我觉得不是
[00:25:58,759 -> 00:26:00,079] 但是它有可能是可以
[00:26:00,319 -> 00:26:00,720] crack
[00:26:00,720 -> 00:26:03,000] encryption的
[00:26:03,000 -> 00:26:07,000] GPG native application application到底是什么东西
[00:26:07,000 -> 00:26:11,000] 然后这里边这个personalized private search有多么的重要
[00:26:11,000 -> 00:26:14,000] 就是现在我们所说的retrieved
[00:26:14,000 -> 00:26:16,000] argumented generation
[00:26:16,000 -> 00:26:17,000] 对吧 RAG
[00:26:17,000 -> 00:26:20,000] 其实personalized private search
[00:26:20,000 -> 00:26:22,000] 就是这个retrieved这个环节非常重要的
[00:26:22,000 -> 00:26:24,000] 其实到现在这GPT都没有做得很好
[00:26:24,000 -> 00:26:26,119] 它也是一个未来非常重要的方向
[00:26:26,119 -> 00:26:29,480] 那个big tech在这里边的会benefit什么
[00:26:29,480 -> 00:26:30,079] 其实是的
[00:26:30,079 -> 00:26:31,599] 因为他们已经有了现有的场景
[00:26:31,599 -> 00:26:33,839] 他们其实可以把拆GPT在一开始用的很好
[00:26:34,119 -> 00:26:37,680] 最后一个问题就是人类和拆GPT的区别是什么
[00:26:37,680 -> 00:26:40,960] 就是拆GPT其实这个是乐坤去讲的一个
[00:26:40,960 -> 00:26:42,640] 我觉得他这点反而讲的很对
[00:26:42,640 -> 00:26:45,839] 就是拆GPT他其实可以知道很多东西
[00:26:45,839 -> 00:26:48,200] 但是问题他不知道什么东西是对的
[00:26:48,200 -> 00:26:50,599] 所以说需要人去告诉他什么东西是对的
[00:26:50,599 -> 00:26:52,960] 而且这个时候其实没有一个绝对的正确
[00:26:52,960 -> 00:26:55,319] 而只不过是什么东西对我更有用而已
[00:26:55,319 -> 00:26:58,359] 所以说他一直需要人去告诉他什么东西对我更有用
[00:26:59,559 -> 00:27:03,559] 那就是人类在这里边是需要知道什么东西真正有用的
[00:27:03,799 -> 00:27:07,039] 然后去知道这个世界上缺的是什么
[00:27:07,400 -> 00:27:08,720] 有一词叫做Eureka
[00:27:08,720 -> 00:27:11,319] 就是阿基米德发明福利定律的那件
[00:27:11,319 -> 00:27:13,200] 或者发现福利定律的事情
[00:27:13,400 -> 00:27:15,480] 其实Eureka就是人类独特的能力
[00:27:15,480 -> 00:27:17,759] 然后这里边大家仔细去想一下Eureka的话
[00:27:17,759 -> 00:27:19,519] 会发现有两个步骤
[00:27:19,519 -> 00:27:22,160] 第一个就是你要能找到答案
[00:27:22,519 -> 00:27:26,440] 但是第二个是你要发现答案是重要的
[00:27:26,799 -> 00:27:28,400] 猜猜比提拉很有可能
[00:27:28,400 -> 00:27:31,240] 他通过自己的特别强大的算力
[00:27:31,240 -> 00:27:32,319] 他能找到答案
[00:27:32,319 -> 00:27:34,839] 问题是他只不过是他找到的
[00:27:34,839 -> 00:27:36,599] 所有答案中的其中一个
[00:27:36,960 -> 00:27:39,640] 你要能知道这个答案是多么重要的话
[00:27:39,640 -> 00:27:43,519] 那还是需要人的这种直觉去知道
[00:27:43,960 -> 00:27:45,599] 我在这1000个答案里边
[00:27:45,599 -> 00:27:47,000] 这个答案是真正重要的
[00:27:47,000 -> 00:27:47,799] 那个答案
[00:27:47,799 -> 00:27:49,200] 我们回到乔布斯
[00:27:49,200 -> 00:27:51,920] 其实乔布斯说的这些东西就是这些crazy ones
[00:27:51,920 -> 00:27:53,440] 他们就是知道这个答案
[00:27:53,440 -> 00:27:56,200] 并且能把这个答案通过自己的conviction
[00:27:56,200 -> 00:27:58,799] 然后去通过自己的行动去把它实现出来
[00:27:58,799 -> 00:28:00,799] 他们是真正change the world
[00:28:00,799 -> 00:28:03,559] 所以说你如果只是停留在一些表面的思考的话
[00:28:03,559 -> 00:28:05,279] 那确实可以被拆式背景取代的
[00:28:05,279 -> 00:28:07,039] 然后这就是最后一个点了
[00:28:07,039 -> 00:28:09,920] 其实just make something people want
[00:28:09,920 -> 00:28:11,599] 是这里边所有的答案
[00:28:11,599 -> 00:28:15,920] 你在代语言模型中的代语言时代怎么样子去抓住机会
[00:28:15,920 -> 00:28:17,759] just make something people want
[00:28:17,759 -> 00:28:22,960] 好的 这是一些appendix去讲
[00:28:22,960 -> 00:28:26,000] 这里边就是
[00:28:26,000 -> 00:28:28,000] 技术的演进到底是什么样子的
[00:28:28,000 -> 00:28:30,000] 这就是我给大家画的一些东西
[00:28:30,000 -> 00:28:32,000] 不在这里面讲了 如果大家感兴趣的话可以去看
[00:28:32,000 -> 00:28:34,000] 好的
[00:28:34,000 -> 00:28:36,000] 这里就是我们
[00:28:36,000 -> 00:28:38,000] Vision Pro的
[00:28:38,000 -> 00:28:40,000] 一个
[00:28:40,000 -> 00:28:42,000] 看看刚才东西有没有录上
[00:28:46,839 -> 00:28:49,240] 希望大家喜欢
[00:28:49,240 -> 00:28:51,839] 或者说觉得这是一个有用的东西
[00:28:51,839 -> 00:28:53,319] 我的视频到那边去了
[00:28:53,599 -> 00:28:54,880] 那就先这样吧
[00:28:56,640 -> 00:28:58,319] 好了 我们下次见
[00:28:58,319 -> 00:28:59,000] 拜拜
