[00:00:00,000 -> 00:00:12,000] 你从Facebook跳去了这家Star
[00:14:43,879 -> 00:14:45,440] 有好有坏我觉得这一点我进去反而给engineer提供了很多灵活度
[00:14:46,240 -> 00:14:46,399] 有好有坏
[00:14:48,960 -> 00:14:51,840] 我觉得这一点我进去反而是我不太适应的我第一反应是你们怎么不做细致一点的规划
[00:14:51,840 -> 00:14:53,039] 这是我第一个问题
[00:14:53,039 -> 00:14:58,080] 你觉得他能做细致一点的规划能帮助他们做得更好吗
[00:14:58,080 -> 00:15:01,440] 我觉得能首先解决的第一个大问题是ownership
[00:15:01,440 -> 00:15:03,279] 其实startup的ownership挺混乱的
[00:15:03,279 -> 00:15:06,679] 你可以说是现在的scope其实很大
[00:15:06,679 -> 00:15:08,240] 很多东西可以做对吧
[00:15:08,240 -> 00:15:10,399] 但是其实很多人你没有一个明确的
[00:15:10,399 -> 00:15:12,000] 话分的职责的话分的时候
[00:15:12,279 -> 00:15:13,080] 一个是纠结
[00:15:13,120 -> 00:15:14,000] 你不知道怎么纠结
[00:15:14,000 -> 00:15:14,679] 对吧
[00:15:14,679 -> 00:15:15,840] 第二个其实是一点
[00:15:15,840 -> 00:15:17,679] 大家很多人想法是一致的
[00:15:17,679 -> 00:15:19,200] 这块东西大家都知道
[00:15:19,200 -> 00:15:19,639] impact大
[00:15:19,639 -> 00:15:21,080] 大家都觉得这个东西该做
[00:15:21,080 -> 00:15:22,600] 很多人都会jump in到一起
[00:15:22,600 -> 00:15:23,840] 去抢一个东西做
[00:15:23,840 -> 00:15:25,120] 其实不是想抢
[00:15:25,120 -> 00:15:26,559] 就大家刚刚想到一块了
[00:15:26,600 -> 00:15:27,919] 因为没有很明确的ownership
[00:15:27,919 -> 00:15:28,759] 很神奇
[00:15:29,320 -> 00:15:30,559] 我们以为是大厂的问题
[00:15:30,559 -> 00:15:31,840] 没想到这个是startup
[00:15:31,840 -> 00:15:32,200] 对
[00:15:32,200 -> 00:15:33,799] 其实startup到一定规模
[00:15:33,799 -> 00:15:35,200] 其实问题都差不多
[00:15:35,879 -> 00:15:38,159] 并没有说天差地别
[00:15:38,679 -> 00:15:40,080] 但是我听了还是挺
[00:15:41,159 -> 00:15:42,159] 挺surprise的
[00:15:42,480 -> 00:15:45,279] startup会比大厂更chill
[00:15:45,279 -> 00:15:47,480] 对这个是一点可能是比facebookchill吧
[00:15:47,480 -> 00:15:51,200] 我感觉对这个也不好说
[00:15:51,200 -> 00:15:53,039] 可能我过一段时间再update吧
[00:15:53,039 -> 00:15:55,639] 对因为现在也没什么太牛
[00:15:55,639 -> 00:15:58,720] 到时候我就远程才发力了
[00:15:58,720 -> 00:16:03,200] 对然后还有一点就是我觉得我的impose的心状又回来了
[00:16:03,639 -> 00:16:06,759] 因为作为一个比较senior的engineer
[00:16:06,759 -> 00:16:07,720] 你加入一个startup
[00:16:07,720 -> 00:16:09,519] 大家对你expectation是挺高的
[00:16:10,120 -> 00:16:12,519] 然后这个setup又像我回到我之前说的
[00:16:12,519 -> 00:16:16,200] 我第二年第三年第一次去当tech lead的感觉
[00:16:16,639 -> 00:16:18,200] 就是大家都比我懂
[00:16:18,559 -> 00:16:19,960] 但是级别都没我高
[00:16:19,960 -> 00:16:20,440] 你在干什么
[00:16:20,440 -> 00:16:22,120] 比你懂business还是比你懂技术
[00:16:22,120 -> 00:16:23,519] 其实都懂一些
[00:16:23,799 -> 00:16:25,440] 对我感觉他们在这个行业在这公司青年了很久他们懂的iness還是比你懂技術其實都懂一些我感覺他們在這個行業
[00:16:25,440 -> 00:16:26,840] 在這公司青年了很久
[00:16:26,840 -> 00:16:28,200] 他們懂的東西比我多
[00:16:28,200 -> 00:16:30,159] 那你怎麼辦
[00:16:30,720 -> 00:16:32,360] 但是其實說實在我現在不太怕了
[00:16:32,360 -> 00:16:33,600] 我可能皮比較厚了
[00:16:33,600 -> 00:16:35,639] 對 我沒有像以前那麼焦慮
[00:16:35,639 -> 00:16:37,519] 我現在要做的第一件事情
[00:16:37,519 -> 00:16:40,120] 我是identify大家有什麼東西沒做的
[00:16:40,120 -> 00:16:41,000] 我在找niche
[00:16:41,440 -> 00:16:42,960] 找什麼地方就是我
[00:16:42,960 -> 00:16:45,240] 經驗內我能看到我能提供帮助的
[00:16:45,679 -> 00:16:47,320] 赶紧落地一些东西
[00:16:47,320 -> 00:16:49,080] 对是很好的一个方式
[00:16:49,080 -> 00:16:53,279] 这个我觉得这也是我一个learning
[00:16:54,080 -> 00:16:59,039] 我一开始其实也是mild imposter syndrome的
[00:16:59,039 -> 00:17:00,679] 我刚去facebook C call都写不了
[00:17:00,679 -> 00:17:02,840] 怎么做一个data scientist C call写不了
[00:17:02,840 -> 00:17:04,119] 我之前是写python的
[00:17:04,119 -> 00:17:06,319] 我在内马讯是冫python寫scala
[00:17:06,319 -> 00:17:10,079] 就是SQL都是有BIE或者BA幫我們寫
[00:17:10,079 -> 00:17:10,759] 對啊
[00:17:10,759 -> 00:17:12,720] 但這裡該有impose的系統
[00:17:12,720 -> 00:17:13,440] 你該有
[00:17:13,440 -> 00:17:13,920] 對
[00:17:13,920 -> 00:17:15,960] 但是然後我開始做了以後
[00:17:15,960 -> 00:17:17,200] 我是從頭學的
[00:17:17,359 -> 00:17:21,039] 然後很多IC34都比我寫的6
[00:17:21,039 -> 00:17:21,720] 要快了
[00:17:21,720 -> 00:17:22,000] 對
[00:17:22,000 -> 00:17:24,039] 然後他們的data quality也比我好
[00:17:24,039 -> 00:17:26,000] 然後我就很擔心說
[00:17:26,000 -> 00:17:27,559] 我有沒有輸出一個IC5的
[00:17:27,559 -> 00:17:29,680] 這個對應的complexity
[00:17:29,680 -> 00:17:32,400] 或者說是就是夠不夠好
[00:17:32,400 -> 00:17:35,240] 但是我後來發現我不要去focus夠不夠好
[00:17:35,240 -> 00:17:36,799] 不要focus夠不夠複雜
[00:17:36,799 -> 00:17:38,599] 就focus on夠不夠useful
[00:17:38,599 -> 00:17:40,119] 只要我這個東西是useful的
[00:17:40,119 -> 00:17:41,000] 那我就去做
[00:17:41,000 -> 00:17:43,720] 對 我覺得這個想法挺對的
[00:17:43,720 -> 00:17:46,799] 對 我覺得確實也是我要focus在的地方
[00:17:46,799 -> 00:17:50,519] 然后还有一点我就觉得很多东西是可以transfer的
[00:17:50,519 -> 00:17:54,559] 就是很多你的skills transfer可以从大厂拿过来的
[00:17:54,960 -> 00:17:56,440] 比如说我自己做的比较好
[00:17:56,440 -> 00:17:57,079] 我喜欢做的
[00:17:57,079 -> 00:17:59,279] 其实我特别喜欢做coaching和recruiting
[00:17:59,279 -> 00:18:02,759] 然后这一点东西在startup很多人是不愿意做的
[00:18:02,759 -> 00:18:05,480] 就startup的engineer有很多人是非常technical
[00:18:05,480 -> 00:18:06,200] 非常geeky的
[00:18:06,200 -> 00:18:08,440] 他就喜欢做technical problem
[00:18:08,440 -> 00:18:09,359] 搞定这个事情
[00:18:09,359 -> 00:18:10,799] 我就特别有成就感
[00:18:10,799 -> 00:18:11,200] 对
[00:18:11,200 -> 00:18:14,240] 然后像在hypergolf这个stage的company
[00:18:14,799 -> 00:18:17,279] 他反而需要一些people更好的人
[00:18:17,279 -> 00:18:18,880] 就people skill更好的人进来
[00:18:18,880 -> 00:18:19,640] 等等
[00:18:19,640 -> 00:18:23,599] 你是作为一个工作了4年的人
[00:18:23,599 -> 00:18:27,799] 你说你的coaching很又爱coaching又会coaching
[00:18:27,799 -> 00:18:33,319] 4年经验并不等于说4年的历练
[00:18:33,319 -> 00:18:34,200] 是的
[00:18:34,200 -> 00:18:35,000] 这个很奇怪
[00:18:35,359 -> 00:18:37,880] 你作为一个这么年轻的小年轻
[00:18:37,880 -> 00:18:42,039] 然后你coach的人都他妈的比你大5岁10岁
[00:18:42,039 -> 00:18:42,559] 没有那么多
[00:18:42,680 -> 00:18:44,279] 但是很多都比你大
[00:18:44,279 -> 00:18:45,680] 你觉得你很擅长口水
[00:18:45,680 -> 00:18:47,799] 然后大家愿意听听你口水
[00:18:48,079 -> 00:18:50,160] 其实我可能跟context有关
[00:18:50,160 -> 00:18:52,359] 因为其实我自己在facebook做很多的事情
[00:18:52,480 -> 00:18:54,759] 就是我首先coach最多的是junior
[00:18:56,160 -> 00:18:58,000] 很多junior很关心的怎么爬梯子
[00:18:58,000 -> 00:18:59,559] 怎么样be productive对吧
[00:18:59,559 -> 00:19:01,519] ok这个我觉得我是很有发言权的
[00:19:01,519 -> 00:19:05,680] 然后我自己coach过performance很一般的人
[00:19:05,799 -> 00:19:07,279] 然后performance很高的人
[00:19:07,279 -> 00:19:09,759] 就是至少我觉得他们给我的反馈
[00:19:09,759 -> 00:19:11,039] 就是都受到帮助了
[00:19:11,079 -> 00:19:12,759] 而且我觉得做一个好coach
[00:19:12,759 -> 00:19:14,200] 最重要的是be supportive
[00:19:14,240 -> 00:19:16,279] 然后我自己是愿意花时间
[00:19:16,440 -> 00:19:18,079] 去听他们的那个苦恼
[00:19:18,079 -> 00:19:19,680] 然后去帮他们提供一些方案的
[00:19:19,920 -> 00:19:22,400] 所以我觉得我擅长的是这些东西
[00:19:22,440 -> 00:19:23,079] 好的
[00:19:23,400 -> 00:19:24,920] 我们视频的bonus
[00:19:24,920 -> 00:19:27,480] 就是接下来小伙伴可以在留言里边
[00:19:27,480 -> 00:19:29,440] 提一下你们的问题给柯西
[00:19:29,440 -> 00:19:32,799] 然后我们根据问题我们可以邀请柯西来给大家进行
[00:19:32,799 -> 00:19:33,720] 下次再解答
[00:19:33,720 -> 00:19:34,119] 对的
[00:19:34,119 -> 00:19:34,880] 下次再见
[00:19:34,880 -> 00:19:35,400] 好的
[00:19:35,640 -> 00:19:36,720] 我们今天就到这
[00:19:36,880 -> 00:19:38,960] 我稍微总结一下作为一个柯代表
[00:19:38,960 -> 00:19:40,200] 柯代表要总结吗
[00:19:40,200 -> 00:19:42,200] 上次我们讲了话重点
[00:19:42,200 -> 00:19:46,000] 柯西在Facebook的几次起起伏伏
[00:19:46,000 -> 00:19:47,640] 他有一个很快的career path
[00:19:47,640 -> 00:19:50,440] 但是这是从一个普通的出身开始的
[00:19:50,440 -> 00:19:50,680] 对
[00:19:50,680 -> 00:19:53,519] 然后但是因为得到了这个机会
[00:19:53,519 -> 00:19:55,480] 他并且抓住了这个机会
[00:19:55,519 -> 00:19:57,359] 去得到了一个很快速的成长
[00:19:57,400 -> 00:20:00,519] 但是之后也遇到了迷茫痛苦和
[00:20:00,559 -> 00:20:04,759] 这个就是可能这个就是躺平的这个这个时候
[00:20:04,759 -> 00:20:06,220] 对佛系阶段对
[00:20:06,220 -> 00:20:11,059] 但是有有了有了下来机会还是抓住了在这里边
[00:20:11,059 -> 00:20:14,259] 我觉得就是take risk非常非常重要
[00:20:14,259 -> 00:20:15,940] take calculated risk对吧
[00:20:15,940 -> 00:20:17,460] 你不要盲目的take risk
[00:20:17,460 -> 00:20:19,019] 如果这个东西有很大的upside
[00:20:19,019 -> 00:20:21,059] 然后你的退路又是有的话
[00:20:21,059 -> 00:20:22,099] 那你就去做吧
[00:20:22,099 -> 00:20:23,619] 对be hungry很重要
[00:20:23,619 -> 00:20:25,759] 那接下来就是去 startup
[00:20:25,799 -> 00:20:30,000] 我觉得你的去找 startup的心态
[00:20:30,039 -> 00:20:31,839] 然后和方法都非常好
[00:20:32,119 -> 00:20:34,200] 我觉得很值得大家借鉴一下
[00:20:34,519 -> 00:20:35,359] 到底好不好
[00:20:35,400 -> 00:20:36,559] 就等几年后就知道了
[00:20:36,559 -> 00:20:37,279] 一年以后说
[00:20:37,279 -> 00:20:39,519] 大家如果现在不确定的话
[00:20:39,640 -> 00:20:40,599] 我们一年以后再参谋一下
[00:20:40,599 -> 00:20:42,160] 对可能说不定又回到facebook
[00:20:43,039 -> 00:20:44,079] 那也挺好的
[00:20:44,079 -> 00:20:44,359] 是吧
[00:20:44,359 -> 00:20:46,839] 我觉得不确定的时候最好的说不定一年以后就已经约�一下可能说不定又回到facebook哈哈哈哈那也那也挺好的是吧我觉得就是这不确定的时候最好的
[00:20:46,839 -> 00:20:48,759] 说不定一年以后就已经约不到你了
[00:20:48,759 -> 00:20:49,880] 那有可能再说吧
[00:20:49,880 -> 00:20:50,759] 哈哈哈
[00:20:50,759 -> 00:20:51,839] 到时候可能找我秘书
[00:20:51,839 -> 00:20:53,640] 狗狗狗瞎往物复
[00:20:53,640 -> 00:20:54,279] 好好好
[00:20:54,279 -> 00:20:55,200] 嗯好的
[00:20:55,200 -> 00:20:56,640] 那我们今天就到这里
[00:20:56,640 -> 00:20:57,400] 再说一遍
[00:20:57,400 -> 00:21:00,119] 如果大家对这个科西的故事感兴趣
[00:21:00,119 -> 00:21:02,000] 然后你有一些职业上的困难
[00:21:02,000 -> 00:21:03,039] 困扰什么的话
[00:21:03,039 -> 00:21:03,319] 啊
[00:21:03,319 -> 00:21:05,799] 欢迎留言也可以给我发信息吗
[00:21:05,799 -> 00:21:07,160] YouTube不知道能不能发信息
[00:21:07,160 -> 00:21:09,359] 那就去linkedin上找柯西
[00:21:09,359 -> 00:21:12,799] 我把它的放到视频的description里面
[00:21:12,799 -> 00:21:14,359] 大家去问一下也行
[00:21:14,359 -> 00:21:15,799] 好那就这样
[00:21:15,799 -> 00:21:16,319] 谢谢大家
