[00:00:00,000 -> 00:00:01,600] Hello 大家好
[00:15:40,000 -> 00:15:44,159] 把我們遊戲的數據上升拉升百分之多少百分之多少對吧
[00:15:44,159 -> 00:15:47,100] 運營港可能是在這上面會很straight forward
[00:15:47,100 -> 00:15:49,799] 但是對於項目管理同學的話
[00:15:49,799 -> 00:15:51,899] 項目管理同學有兩種
[00:15:51,899 -> 00:15:54,299] 一個是研發項目管理
[00:15:54,299 -> 00:15:57,399] 他們的指標可能也會很好定義一點
[00:15:57,399 -> 00:16:00,799] 他們可能就是說這個版本
[00:16:00,799 -> 00:16:02,899] 我假設有200-300個需求
[00:16:02,899 -> 00:16:04,799] 200-300個需求
[00:16:04,799 -> 00:16:08,080] 我其實我項目管理最終的目的
[00:16:08,080 -> 00:16:10,559] 就是讓這些東西順利的落地
[00:16:10,559 -> 00:16:14,759] 然後我更高的要求是讓這些東西很有效率的進行落地
[00:16:14,759 -> 00:16:17,559] 並且他們的Quality bar能提升多少
[00:16:17,559 -> 00:16:19,360] 其實對於研發項的項目管理
[00:16:19,360 -> 00:16:20,960] 他們其實這目標也很好定
[00:16:20,960 -> 00:16:23,559] 就是我每個版本要deliver多少的需求
[00:16:23,559 -> 00:16:27,919] 然後以及我需求的Quality bar要從百分之多少提升到百分之多少
[00:16:27,919 -> 00:16:29,120] 我覺得這個也是蠻好定的
[00:16:29,120 -> 00:16:35,360] 但是說回來就是項目管理如果除了拋開研發項目管理以外
[00:16:35,360 -> 00:16:38,879] 還有一個就是在騰訊內部的話會有一個合作項的項目管理
[00:16:38,879 -> 00:16:41,279] 就是我剛才說的那些事情
[00:16:41,279 -> 00:16:42,240] PMO嗎
[00:16:42,240 -> 00:16:43,840] 會有點像
[00:16:43,840 -> 00:16:44,960] 對會有點像
[00:16:44,960 -> 00:16:48,600] 就是它是它說白了就是去整合信息
[00:16:48,600 -> 00:16:54,799] 然後以及在這些信息當中去尋找一些能幫助產品策略
[00:16:54,799 -> 00:16:55,799] 調優的一些點
[00:16:55,799 -> 00:16:58,299] 那從這個角度來講的話
[00:16:58,299 -> 00:17:01,399] 我覺得定KPI可能也是因為我經驗不足
[00:17:01,399 -> 00:17:04,599] 我也其實也不是特別清楚到底怎麼去定義
[00:17:04,599 -> 00:17:07,400] 那個定義一個指標會比較好一點
[00:17:07,400 -> 00:17:08,299] 怎麼量化你的價值
[00:17:08,299 -> 00:17:09,200] 對怎麼量化
[00:17:09,200 -> 00:17:10,799] 清楚的感受到了你的價值
[00:17:10,799 -> 00:17:13,099] 你的合作方也清楚感受到了你的價值
[00:17:13,099 -> 00:17:14,900] 但是大家暫時還不好把它量化出來
[00:17:14,900 -> 00:17:17,599] 對對他可能量化的話
[00:17:17,599 -> 00:17:19,099] 以我現在經驗
[00:17:19,099 -> 00:17:21,200] 我是覺得可能不是那麼好的量化
[00:17:21,200 -> 00:17:23,799] 他可能是一個更長遠的
[00:17:23,799 -> 00:17:26,799] 更長遠的一個才看得出来一个效果的东西
[00:17:26,799 -> 00:17:30,299] 比如说一年之后我们这个产品会变成什么样
[00:17:30,299 -> 00:17:31,599] 然后你把它拆解下来的话
[00:17:31,599 -> 00:17:34,200] 可能对于合作型项目管理
[00:17:34,200 -> 00:17:37,099] 或者你刚说的PMO就是在里面有一些input
[00:17:37,099 -> 00:17:39,599] 工作痛苦指数
[00:17:39,599 -> 00:17:42,400] 有一个好的PMO的话
[00:17:42,400 -> 00:17:44,900] 这个工作痛苦指数就是会大幅下降
[00:17:44,900 -> 00:17:46,359] 你说的这个这个点我觉得还蛮有意思的有一個好的PMO的話這個工作痛苦指數就是會大幅下降哎你說的這個
[00:17:46,359 -> 00:17:48,400] 哎這個點我覺得還蠻有意思的
[00:17:48,400 -> 00:17:50,480] 工作痛苦指數這就很主觀嘛
[00:17:50,480 -> 00:17:51,759] 所以說
[00:17:51,759 -> 00:17:54,880] 不過確實我覺得這是一個很重要的點
[00:17:54,880 -> 00:17:56,519] 以及就是這種效率
[00:17:56,519 -> 00:17:57,559] 從組織的效率提升
[00:17:57,559 -> 00:18:00,920] 可能未必馬上會呈現在產品上
[00:18:00,920 -> 00:18:02,079] 是吧
[00:18:02,079 -> 00:18:05,039] 但是這個組織效率的提升是一個實打實的東西
[00:18:05,039 -> 00:18:07,440] 只不過有的東西它很難measure
[00:18:07,440 -> 00:18:09,000] 然後它就變得很難量化
[00:18:09,000 -> 00:18:11,279] 但是這個東西本身是存在的
[00:18:11,279 -> 00:18:12,000] 好的呀
[00:18:12,000 -> 00:18:16,279] 我覺得這個就是這兩個東西都講得很清楚
[00:18:16,279 -> 00:18:18,920] 但是我這可能一個好奇的點啊
[00:18:18,920 -> 00:18:23,960] 就是你聽起來不管是當時讀書和這個找工作
[00:18:23,960 -> 00:18:27,839] 然後你轉工作都對自己想干什么特别清楚
[00:18:27,839 -> 00:18:30,440] 这个我觉得不是一个常常发生的事情
[00:18:30,440 -> 00:18:33,759] 好像很多人包括我自己在这上面都很大的struggle
[00:18:39,400 -> 00:18:41,640] 其实当时我是很没有目的感的
[00:18:41,640 -> 00:18:43,799] 而且你们贵阴天啊
[00:18:43,799 -> 00:18:45,380] 是著名的party school
[00:18:45,380 -> 00:18:46,180] 对对是的
[00:18:46,180 -> 00:18:47,579] 有party很多吗
[00:18:47,579 -> 00:18:49,180] 蛮多的
[00:18:49,180 -> 00:18:51,140] 就我们那边的人都特别爱玩
[00:18:51,140 -> 00:18:52,380] 然后包括在
